Exc,Code,Units,Buy price,Buy date,Buy amount,True buy amount,Sell price,Sell amount,True sell amount,Sell date,Profit,True Profit,Days,"Actual
%","%
p.a.",*,Transacted π,Gross π
,GSK,106,$36.86,9 Jan 18,"$3,906.63","$3,916.05",$39.72,"$4,210.32","$4,200.78",5 Apr 18,$303.69,$284.73,86,7.29%,30.9%,,"$31,852.61","$33,346.54"
,SBUX,100,$57.45,30 Jan 18,"$5,745.00","$5,754.42",$60.09,"$6,009.00","$5,999.42",12 Apr 18,$264.00,$245.00,72,4.26%,21.6%,,,
,AMZN,3,"$1,572.00",20 Mar 18,"$4,716.00","$4,725.42","$1,590.00","$4,770.00","$4,765.17",27 Apr 18,$54.00,$39.75,38,0.84%,8.1%,,,
,AMZN,3,"$1,443.53",5 Apr 18,"$4,330.59","$4,340.01","$1,590.00","$4,770.00","$4,765.17",27 Apr 18,$439.41,$425.16,22,9.82%,162.9%,News,Liquid available,"$26,854.89"
,SBUX,150,$57.92,30 Apr 18,"$8,688.00","$8,697.42",$59.00,"$8,850.00","$8,840.44",25 Oct 18,$162.00,$143.02,178,1.65%,3.4%,,Amount invested,"$68,131.17"
,AMZN,4,"$1,540.00",19 Nov 18,"$6,160.00","$6,169.42","$1,725.00","$6,900.00","$6,893.62",31 Jan 19,$740.00,$724.20,73,11.76%,58.8%,News,Sum (total),"$94,986.06"
,NFLX,16,$264.00,10 Dec 18,"$4,224.00","$4,233.42",$318.00,"$5,088.00","$5,078.50",10 Jan 19,$864.00,$845.08,31,20.01%,235.6%,News,,
,AMZN,2,"$1,627.98",14 Dec 18,"$3,255.96","$3,265.40","$1,725.00","$3,450.00","$3,446.81",31 Jan 19,$194.04,$181.41,48,5.57%,42.37%,,,25
,AAPL,30,$169.40,4 Feb 19,"$5,082.00","$5,091.42",$193.40,"$5,802.00","$5,792.49",21 Mar 19,$720.00,$701.07,45,13.80%,111.89%,News,,
,SPOT,28,$139.33,4 Feb 19,"$3,901.24","$3,911.21",$153.50,"$4,298.00","$4,288.48",20 Jun 19,$396.76,$377.27,136,9.67%,25.95%,,,
,TSLA,28,$269.00,27 Mar 19,"$7,532.00","$7,541.42",$289.00,"$8,092.00","$8,082.46",1 Apr 19,$560.00,$541.04,5,7.18%,524.37%,,,
