fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-17,-0.07,-0.05,-0.02,-40.0,77.62,-277.2142857142857,-277.2142857142857
1996-06-30,1996-07-17,-0.02,-0.04,0.02,50.0,77.62,-970.25,-970.25
1996-09-30,1996-10-16,0.0018,-0.01,0.0118,118.0,77.62,10780.555555555557,10780.555555555557
1996-12-31,1997-01-15,-0.03,-0.02,-0.01,-50.0,77.62,-646.8333333333334,2221.564484126984
1997-03-31,1997-04-16,-0.05,-0.04,-0.01,-25.0,77.62,-388.1,2193.843055555556
1997-06-30,1997-07-16,-0.02,-0.02,0.0,0.0,77.62,-970.25,2193.843055555556
1997-09-30,1997-10-15,-0.0114,,,,77.62,-1702.1929824561405,-926.8440789473684
1997-12-31,1998-01-14,0.01,0.01,0.0,0.0,77.62,1940.5,-280.01074561403516
1998-03-31,1998-04-15,0.01,0.01,0.0,0.0,77.62,1940.5,302.13925438596493
1998-06-30,1998-07-15,0.01,0.01,0.0,0.0,77.62,1940.5,1029.826754385965
1998-09-30,1998-10-14,0.01,0.02,-0.01,-50.0,77.62,1940.5,1940.5
1998-12-31,1999-01-13,0.01,0.01,0.0,0.0,77.62,1940.5,1940.5
1999-03-31,1999-04-14,0.01,0.01,0.0,0.0,77.62,1940.5,1940.5
1999-06-30,1999-07-14,0.01,0.01,0.0,0.0,77.62,1940.5,1940.5
1999-09-30,1999-10-13,0.02,0.02,0.0,0.0,77.62,970.25,1697.9375
1999-12-31,2000-01-19,0.01,0.01,0.0,0.0,102.81,2570.25,1855.375
2000-03-31,2000-04-19,0.01,0.01,0.0,0.0,135.81,3395.25,2219.0625
2000-06-30,2000-07-18,0.01,0.01,0.0,0.0,52.38,1309.5,2061.3125
2000-09-30,2000-10-18,0.01,0.01,0.0,0.0,25.75,643.75,1979.6875
2000-12-31,2000-12-31,-0.0097,,,,14.88,-383.50515463917526,1241.2487113402062
2001-03-31,2001-04-18,0.01,,,,22.07,551.75,530.3737113402062
2001-06-30,2001-07-18,0.003,,,,23.25,1937.5,687.3737113402062
2001-09-30,2001-10-18,0.0034,,,,15.54,1142.6470588235295,812.0979760460887
2001-12-31,2002-01-16,0.01,0.01,0.0,0.0,21.9,547.5,1044.8492647058824
2002-03-31,2002-04-18,0.002,,,,24.46,3057.5,1671.2867647058824
2002-06-30,2002-07-16,0.01,0.01,0.0,0.0,17.06,426.49999999999994,1293.5367647058824
2002-09-30,2002-10-16,-0.0022,,,,14.5,-1647.7272727272725,595.9431818181819
2002-12-31,2003-01-15,-0.0004,,,,14.33,-8956.25,-1779.994318181818
2003-03-31,2003-04-16,0.0007,,,,14.14,5050.0,-1281.869318181818
2003-06-30,2003-07-16,0.0009,,,,19.06,5294.444444444444,-64.88320707070682
2003-09-30,2003-10-15,0.01,,,,20.72,518.0,476.5486111111113
2003-12-31,2004-01-14,0.01,0.01,0.0,0.0,21.37,534.25,2849.1736111111113
2004-03-31,2004-04-14,0.01,0.01,0.0,0.0,27.04,676.0,1755.673611111111
2004-06-30,2004-07-14,0.01,0.01,0.0,0.0,32.54,813.5,635.4375
2004-09-30,2004-10-13,0.02,0.01,0.01,100.0,38.75,484.375,627.03125
