fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-08,0.31,0.29,0.02,6.8966,40.31,32.50806451612903,32.50806451612903
1996-06-30,1996-07-10,0.3,0.3,0.0,0.0,40.31,33.59166666666667,33.59166666666667
1996-09-30,1996-10-08,0.27,0.27,0.0,0.0,40.31,37.32407407407408,37.32407407407408
1996-12-31,1997-01-16,0.33,0.33,0.0,0.0,40.31,30.53787878787879,33.49042101118714
1997-03-31,1997-04-09,0.35,0.34,0.01,2.9412,40.31,28.792857142857148,32.56161916786917
1997-06-30,1997-07-10,0.34,0.34,0.0,0.0,40.31,29.639705882352946,31.57362897179074
1997-09-30,1997-10-08,0.31,0.31,0.0,0.0,40.31,32.50806451612903,30.36962658230448
1997-12-31,1998-01-16,0.37,0.37,0.0,0.0,40.31,27.236486486486488,29.5442785069564
1998-03-31,1998-04-09,0.38,0.38,0.0,0.0,40.31,26.519736842105264,28.97599843176843
1998-06-30,1998-07-09,0.38,0.37,0.01,2.7027,40.31,26.519736842105264,28.196006171706514
1998-09-30,1998-10-08,0.34,0.34,0.0,0.0,40.31,29.639705882352946,27.478916513262487
1998-12-31,1999-01-15,0.41,0.41,0.0,0.0,40.31,24.57926829268293,26.8146119648116
1999-03-31,1999-04-08,0.44,0.43,0.01,2.3256,40.31,22.903409090909093,25.910530027012555
1999-06-30,1999-07-09,0.42,0.42,0.0,0.0,40.31,23.99404761904762,25.279107721248145
1999-09-30,1999-10-11,0.38,0.38,0.0,0.0,40.31,26.519736842105264,24.499115461186225
1999-12-31,2000-01-18,0.43,0.43,0.0,0.0,36.31,21.11046511627908,23.631914667085265
2000-03-31,2000-04-11,0.44,0.44,0.0,0.0,35.19,19.99431818181818,22.90464193981253
2000-06-30,2000-07-12,0.44,0.44,0.0,0.0,44.56,25.31818181818182,23.235675489596083
2000-09-30,2000-10-10,0.42,0.42,0.0,0.0,47.56,28.30952380952381,23.68312223145072
2000-12-31,2001-01-16,0.48,0.48,0.0,0.0,48.44,25.229166666666668,24.71279761904762
2001-03-31,2001-04-12,0.47,0.47,0.0,0.0,47.19,25.10106382978724,25.98948403103988
2001-06-30,2001-07-12,0.45,0.45,0.0,0.0,48.0,26.666666666666664,26.326605243161094
2001-09-30,2001-10-10,0.44,0.44,0.0,0.0,52.79,29.99431818181818,26.747803836234688
2001-12-31,2002-01-16,0.52,0.52,0.0,0.0,55.75,26.802884615384613,27.141233323414173
2002-03-31,2002-04-09,0.54,0.54,0.0,0.0,53.24,24.64814814814815,27.0280044030044
2002-06-30,2002-07-11,0.49,0.49,0.0,0.0,37.3,19.03061224489796,25.118990797562223
2002-09-30,2002-10-09,0.48,0.48,0.0,0.0,40.4,21.041666666666668,22.880827918774347
2002-12-31,2003-01-16,0.55,0.56,-0.01,-1.7857,40.0,18.18181818181818,20.725561310382737
2003-03-31,2003-04-09,0.51,0.51,0.0,0.0,37.61,18.436274509803923,19.17259290079668
2003-06-30,2003-07-10,0.52,0.52,0.0,0.0,43.76,21.038461538461537,19.67455522418757
2003-09-30,2003-10-09,0.53,0.53,0.0,0.0,42.55,20.07075471698113,19.4318272367662
2003-12-31,2004-01-16,0.65,0.65,0.0,0.0,46.6,17.923076923076923,19.36714192208088
2004-03-31,2004-04-08,0.57,0.56,0.01,1.7857,41.1,18.026315789473685,19.26465224199832
2004-06-30,2004-07-09,0.54,0.54,0.0,0.0,40.76,18.870370370370367,18.722629449975525
2004-09-30,2004-10-14,0.53,0.53,0.0,0.0,42.36,19.98113207547169,18.70022378959817
2004-12-31,2005-01-18,0.67,0.67,0.0,0.0,46.65,17.406716417910445,18.571133663306547
2005-03-31,2005-04-12,0.58,0.58,0.0,0.0,46.62,20.094827586206897,19.08826161248985
2005-06-30,2005-07-13,0.58,0.57,0.01,1.7544,49.01,21.125,19.65191901989726
2005-09-30,2005-10-19,0.58,0.58,0.0,0.0,42.4,18.27586206896552,19.225601518270715
2005-12-31,2006-01-25,0.76,0.76,0.0,0.0,39.43,12.970394736842104,18.11652109800363
2006-03-31,2006-04-19,0.57,0.57,0.0,0.0,42.47,18.62719298245614,17.749612447065942
2006-06-30,2006-07-19,0.62,0.57,0.05,8.7719,43.61,17.58467741935484,16.86453180190465
2006-09-30,2006-10-18,0.58,0.58,0.0,0.0,48.56,20.931034482758623,17.528324905352928
2006-12-31,2007-01-24,0.75,0.74,0.01,1.3514,48.71,16.236666666666668,18.344892887809067
2007-03-31,2007-04-18,0.55,0.52,0.03,5.7692,55.8,25.36363636363636,20.02900373310412
2007-06-30,2007-07-18,0.69,0.68,0.01,1.4706,53.55,19.40217391304348,20.48337785652628
2007-09-30,2007-10-17,0.67,0.66,0.01,1.5152,55.21,20.60074626865672,20.400805803000804
2007-12-31,2008-01-23,0.93,0.92,0.01,1.087,56.15,15.094086021505376,20.11516064171048
2008-03-31,2008-04-16,0.63,0.62,0.01,1.6129,55.15,21.88492063492064,19.24548170953155
2008-06-30,2008-07-16,0.84,0.79,0.05,6.3291,52.97,15.764880952380953,18.33615846936592
2008-09-30,2008-10-15,0.79,0.77,0.02,2.5974,57.58,18.22151898734177,17.741351649037185
2008-12-31,2009-01-21,1.06,1.06,0.0,0.0,53.37,12.587264150943396,17.114646181396687
2009-03-31,2009-04-15,0.73,0.7,0.03,4.2857,47.7,16.335616438356166,15.72732013225557
2009-06-30,2009-07-15,0.89,0.89,0.0,0.0,47.04,13.213483146067416,15.089470680677188
2009-09-30,2009-10-14,0.92,0.9,0.02,2.2222,49.47,13.442934782608695,13.894824629493918
2009-12-31,2010-01-27,1.18,1.17,0.01,0.8547,53.99,11.4385593220339,13.607648422266545
2010-03-31,2010-04-21,0.81,0.8,0.01,1.25,52.68,16.25925925925926,13.588559127492315
2010-06-30,2010-07-21,1.01,1.0,0.01,1.0,46.78,11.57920792079208,13.179990321173484
2010-09-30,2010-10-20,1.05,1.04,0.01,0.9615,52.24,12.438095238095238,12.92878043504512
2010-12-31,2011-01-26,1.3,1.29,0.01,0.7752,47.91,9.213461538461535,12.372505989152028
2011-03-31,2011-04-20,0.91,0.9,0.01,1.1111,49.05,13.475274725274724,11.676509855655894
2011-06-30,2011-07-20,1.12,1.11,0.01,0.9009,52.62,11.745535714285712,11.718091804029305
2011-09-30,2011-10-19,1.18,1.17,0.01,0.8547,51.14,10.834745762711863,11.31725443518346
2011-12-31,2012-01-25,1.45,1.44,0.01,0.6944,56.23,9.694827586206896,11.437595947119798
2012-03-31,2012-04-18,1.03,1.0,0.03,3.0,61.29,14.87621359223301,11.78783066385937
2012-06-30,2012-07-18,1.23,1.22,0.01,0.8197,64.47,13.103658536585366,12.127361369434285
2012-09-30,2012-10-17,1.3,1.28,0.02,1.5625,69.08,13.284615384615384,12.739828774910164
2012-12-31,2013-01-23,1.51,1.5,0.01,0.6667,65.5,10.844370860927151,13.027214593590228
2013-03-31,2013-04-17,0.42,0.41,0.01,2.439,35.31,21.017857142857142,14.56262548124626
2013-06-30,2013-07-17,0.46,0.44,0.02,4.5455,35.03,19.03804347826087,16.046221716665137
2013-09-30,2013-10-16,0.55,0.51,0.04,7.8431,33.19,15.086363636363634,16.4966587796022
2013-12-31,2014-01-22,0.58,0.58,0.0,0.0,38.33,16.521551724137932,17.915953995404898
2014-03-31,2014-04-16,0.41,0.36,0.05,13.8889,38.51,23.48170731707317,18.531916538958903
2014-06-30,2014-07-16,0.54,0.51,0.03,5.8824,40.9,18.935185185185183,18.50620196568998
2014-09-30,2014-10-22,0.62,0.59,0.03,5.0847,41.59,16.770161290322584,18.92715137917972
2014-12-31,2015-01-29,0.71,0.68,0.03,4.4118,45.02,15.85211267605634,18.75979161715932
2015-03-31,2015-04-22,0.47,0.42,0.05,11.9048,46.33,24.6436170212766,19.05026904321017
2015-06-30,2015-07-22,0.52,0.5,0.02,4.0,49.08,23.596153846153843,20.21551120845234
2015-09-30,2015-10-21,0.54,0.53,0.01,1.8868,40.22,18.62037037037037,20.678063478464285
2015-12-31,2016-01-28,0.62,0.61,0.01,1.6393,44.91,18.108870967741936,21.242253051385685
2016-03-31,2016-04-20,0.41,0.39,0.02,5.1282,41.83,25.50609756097561,21.45787318631044
2016-06-30,2016-07-20,0.55,0.53,0.02,3.7736,39.31,17.868181818181817,20.02588017931744
2016-09-30,2016-10-19,0.59,0.58,0.01,1.7241,42.29,17.91949152542373,19.85066046808077
2016-12-31,2017-01-25,0.65,0.65,0.0,0.0,38.41,14.77307692307692,19.01671195691452
2017-03-31,2017-04-19,0.48,0.43,0.05,11.6279,44.41,23.13020833333333,18.42273965000395
2017-06-30,2017-07-20,0.62,0.61,0.01,1.6393,48.61,19.600806451612904,18.855895808361723
2017-09-30,2017-10-18,0.66,0.65,0.01,1.5385,53.36,20.21212121212121,19.42905323003609
2017-12-31,2018-01-24,0.74,0.73,0.01,1.3699,57.07,19.280405405405407,20.55588535061821
2018-03-31,2018-04-18,0.59,0.58,0.01,1.7241,59.92,25.38983050847457,21.120790894403527
2018-06-30,2018-07-18,0.73,0.71,0.02,2.8169,60.99,20.886986301369863,21.442335856842767
2018-09-30,2018-10-17,0.75,0.75,0.0,0.0,74.12,24.706666666666667,22.56597222047913
2018-12-31,2019-01-23,0.81,0.81,0.0,0.0,72.33,22.32407407407408,23.326889387646293
2019-03-31,2019-04-17,0.63,0.61,0.02,3.2787,79.66,31.61111111111111,24.88220953830543
2019-06-30,2019-07-17,0.82,0.8,0.02,2.5,84.49,25.759146341463413,26.10024954832881
2019-09-30,2019-10-16,0.84,0.84,0.0,0.0,83.67,24.901785714285715,26.14902931023358
2019-12-31,2020-01-22,0.95,0.95,0.0,0.0,86.86,22.857894736842105,26.282484475925585
2020-03-31,2020-04-16,0.65,0.58,0.07,12.069,78.91,30.35,25.967206698147805
2020-06-30,2020-07-16,0.57,0.42,0.15,35.7143,91.43,40.10087719298247,29.55263941102757
2020-09-30,2020-10-21,0.98,0.91,0.07,7.6923,108.83,27.762755102040817,30.267881757966343
2020-12-31,2021-01-27,1.45,1.35,0.1,7.4074,109.49,18.877586206896552,29.27280462547996
2021-03-31,2021-04-20,1.32,1.27,0.05,3.937,119.84,22.69696969696969,27.359547049722384
2021-06-30,2021-07-22,1.17,1.02,0.15,14.7059,115.93,24.771367521367523,23.527169631818644
2021-09-30,2021-10-20,1.4,0.95,0.45,47.3684,118.13,21.09464285714286,21.86014157059416
2021-12-31,2022-01-26,1.32,1.21,0.11,9.0909,140.74,26.65530303030303,23.80457077644578
2022-03-31,2022-04-20,1.73,1.47,0.26,17.6871,118.36,17.104046242774565,22.406339912897
2022-06-30,2022-07-20,1.43,1.13,0.3,26.5487,108.65,18.994755244755247,20.962186843743925
2022-09-30,2022-10-19,1.15,0.94,0.21,22.3404,96.76,21.034782608695654,20.947221781632123
2022-12-31,2023-01-25,1.03,0.92,0.11,11.9565,109.79,26.648058252427184,20.94541058716316
2023-03-31,2023-04-19,1.03,0.99,0.04,4.0404,101.26,24.57766990291262,22.813816502197675
2023-06-30,2023-07-20,1.08,1.05,0.03,2.8571,109.02,25.236111111111107,24.37415546878664
2023-09-30,2023-10-18,1.14,1.1,0.04,3.6364,96.85,21.23903508771929,24.42521858854255
