fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-09,0.09,0.15,-0.06,-40.0,20.31,56.41666666666666,56.41666666666666
1996-06-30,1996-07-10,-0.16,-0.11,-0.05,-45.4545,20.31,-31.734375,-31.734375
1996-09-30,1996-10-07,-0.12,-0.18,0.06,33.3333,20.31,-42.3125,-42.3125
1996-12-31,1997-01-13,-0.07,-0.1,0.03,30.0,20.31,-72.53571428571428,-22.541480654761905
1997-03-31,1997-04-07,0.05,-0.01,0.06,600.0,20.31,101.54999999999998,-11.258147321428574
1997-06-30,1997-07-08,0.04,0.1,-0.06,-60.0,20.31,126.9375,28.40982142857142
1997-09-30,1997-10-07,-0.11,-0.05,-0.06,-120.0,20.31,-46.15909090909091,27.4481737012987
1997-12-31,1998-01-13,-0.04,-0.07,0.03,42.8571,20.31,-126.9375,13.847727272727273
1998-03-31,1998-04-07,-0.19,-0.12,-0.07,-58.3333,20.31,-26.723684210526315,-18.220693779904305
1998-06-30,1998-07-08,-0.22,-0.11,-0.11,-100.0,20.31,-23.079545454545453,-55.72495514354066
1998-09-30,1998-10-06,0.01,-0.07,0.08,114.2857,20.31,507.75,82.75231758373205
1998-12-31,1999-01-13,0.04,0.09,-0.05,-55.5556,20.31,126.9375,146.221067583732
1999-03-31,1999-04-14,-0.4,-0.38,-0.02,-5.2632,20.31,-12.693749999999998,149.72855113636362
1999-06-30,1999-07-14,-0.55,-0.64,0.09,14.0625,20.31,-9.23181818181818,153.19048295454544
1999-09-30,1999-10-06,-0.36,-0.46,0.1,21.7391,20.31,-14.104166666666666,22.726941287878784
1999-12-31,2000-01-20,0.11,-0.01,0.12,1200.0,28.94,65.77272727272728,7.43574810606061
2000-03-31,2000-04-12,0.57,0.26,0.31,119.2308,59.0,25.877192982456144,17.07848385167464
2000-06-30,2000-07-19,0.61,0.56,0.05,8.9286,77.25,31.65983606557377,27.30139741352264
2000-09-30,2000-10-11,0.64,0.62,0.02,3.2258,24.0,9.375,33.1711890801893
