fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1997-06-30,1997-07-10,-0.02,-0.03,0.01,33.3333,69.13,-864.1249999999999,-864.1249999999999
1997-09-30,1997-10-27,-0.03,-0.03,0.0,0.0,69.13,-576.0833333333334,-576.0833333333334
1997-12-31,1998-01-22,-0.03,-0.04,0.01,25.0,69.13,-576.0833333333334,-576.0833333333334
1998-03-31,1998-04-27,-0.03,-0.04,0.01,25.0,69.13,-576.0833333333334,-648.09375
1998-06-30,1998-07-22,-0.07,-0.07,0.0,0.0,69.13,-246.8928571428571,-493.78571428571433
1998-09-30,1998-10-28,-0.08,-0.1,0.02,20.0,69.13,-216.03124999999997,-403.77269345238096
1998-12-31,1999-01-26,-0.07,-0.09,0.02,22.2222,69.13,-246.8928571428571,-321.4750744047619
1999-03-31,1999-04-28,-0.01,-0.01,0.0,0.0,69.13,-1728.2499999999998,-609.5167410714284
1999-06-30,1999-07-21,-0.01,-0.01,0.0,0.0,69.13,-1728.2499999999998,-979.8560267857142
1999-09-30,1999-10-27,-0.01,-0.01,0.0,0.0,69.13,-1728.2499999999998,-1357.910714285714
1999-12-31,2000-02-02,-0.03,-0.02,-0.01,-50.0,76.13,-634.4166666666666,-1454.7916666666665
2000-03-31,2000-04-26,-0.02,-0.02,0.0,0.0,67.0,-837.5,-1232.1041666666665
2000-06-30,2000-07-26,-0.02,-0.02,0.0,0.0,36.31,-453.875,-913.5104166666665
2000-09-30,2000-10-24,-0.01,-0.01,0.0,0.0,38.44,-960.9999999999999,-721.6979166666666
2000-12-31,2001-01-30,-0.01,-0.01,0.0,0.0,15.56,-389.0,-660.34375
2001-03-31,2001-04-24,-0.01,-0.01,0.0,0.0,10.23,-255.75,-514.90625
2001-06-30,2001-07-23,-0.01,-0.01,0.0,0.0,14.15,-353.75,-489.875
2001-09-30,2001-10-23,-0.01,-0.01,0.0,0.0,6.01,-150.25,-287.1875
2001-12-31,2002-01-22,0.09,-0.07,0.16,228.5714,10.82,30.055555555555557,-182.42361111111111
2002-03-31,2002-04-23,-0.01,-0.09,0.08,88.8889,14.8,-370.0,-210.98611111111111
2002-06-30,2002-07-23,-0.01,-0.06,0.05,83.3333,13.55,-338.75,-207.23611111111111
2002-09-30,2002-10-24,-0.0924,-0.04,-0.0524,-131.0,15.93,-43.10064935064935,-180.44877344877344
2002-12-31,2003-01-23,0.01,0.01,0.0,0.0,18.89,472.25,-69.90016233766234
