fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-18,0.27,0.27,0.0,0.0,149.0,137.96296296296296,137.96296296296296
1996-06-30,1996-07-22,0.31,0.31,0.0,0.0,149.0,120.16129032258064,120.16129032258064
1996-09-30,1996-10-28,0.32,0.32,0.0,0.0,149.0,116.40625,116.40625
1996-12-31,1997-01-27,0.3,0.3,0.0,0.0,149.0,124.16666666666667,124.67429248805257
1997-03-31,1997-04-24,0.31,0.31,0.0,0.0,149.0,120.16129032258064,120.22387432795699
1997-06-30,1997-07-28,0.36,0.35,0.01,2.8571,149.0,103.47222222222223,116.05160730286738
1997-09-30,1997-10-27,0.37,0.36,0.01,2.7778,149.0,100.67567567567568,112.1189637217863
1997-12-31,1998-01-26,0.35,0.34,0.01,2.9412,149.0,106.42857142857143,107.68443991226249
1998-03-31,1998-04-23,0.37,0.36,0.01,2.7778,149.0,100.67567567567568,102.81303625053626
1998-06-30,1998-07-27,0.42,0.41,0.01,2.439,149.0,88.69047619047619,99.11759974259975
1998-09-30,1998-10-26,0.42,0.42,0.0,0.0,149.0,88.69047619047619,96.12129987129987
1998-12-31,1999-01-25,0.39,0.39,0.0,0.0,149.0,95.51282051282051,93.39236214236215
1999-03-31,1999-04-22,0.43,0.41,0.02,4.878,149.0,86.62790697674419,89.88041996762928
1999-06-30,1999-07-26,0.47,0.47,0.0,0.0,149.0,79.25531914893618,87.52163070724427
1999-09-30,1999-10-25,0.47,0.47,0.0,0.0,149.0,79.25531914893618,85.16284144685926
1999-12-31,2000-01-24,0.44,0.44,0.0,0.0,166.3,94.48863636363637,84.90679540956322
2000-03-31,2000-04-24,0.48,0.47,0.01,2.1277,148.9,77.55208333333334,82.63783949871052
2000-06-30,2000-07-24,0.54,0.53,0.01,1.8868,52.13,24.13425925925926,68.85757452629129
2000-09-30,2000-10-23,0.54,0.55,-0.01,-1.8182,60.75,28.124999999999996,56.074994739057246
2000-12-31,2001-01-22,0.5,0.5,0.0,0.0,54.94,27.47,39.32033564814815
2001-03-31,2001-03-31,0.3504,,,,41.3,29.466324200913242,27.29889586504312
2001-06-30,2001-07-23,0.13,0.13,0.0,0.0,38.8,74.61538461538461,39.919177204074465
2001-09-30,2001-10-22,0.22,0.3,-0.08,-26.6667,29.38,33.38636363636363,41.23451811316537
2001-12-31,2002-01-28,0.22,0.24,-0.02,-8.3333,35.69,40.55681818181818,44.50622265861992
