fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-23,0.16,0.15,0.01,6.6667,25.69,40.140625,40.140625
1996-06-30,1996-07-25,0.2,0.19,0.01,5.2632,25.69,32.1125,32.1125
1996-09-30,1996-11-26,0.16,0.16,0.0,0.0,25.69,40.140625,40.140625
1996-12-31,1997-01-28,0.33,0.31,0.02,6.4516,25.69,19.46212121212121,32.9639678030303
1997-03-31,1997-04-23,0.16,0.15,0.01,6.6667,25.69,40.140625,32.9639678030303
1997-06-30,1997-07-22,0.23,0.22,0.01,4.5455,25.69,27.92391304347826,31.916821063899867
1997-09-30,1997-11-18,0.2,0.2,0.0,0.0,25.69,32.1125,29.90978981389987
1997-12-31,1998-01-27,0.37,0.35,0.02,5.7143,25.69,17.35810810810811,29.3837865378966
1998-03-31,1998-04-22,0.17,0.17,0.0,0.0,25.69,37.77941176470589,28.793483229073065
1998-06-30,1998-07-21,0.2,0.21,-0.01,-4.7619,25.69,32.1125,29.840629968203498
1998-09-30,1998-11-03,0.14,0.15,-0.01,-6.6667,25.69,45.875,33.2812549682035
1998-12-31,1999-01-27,0.23,0.24,-0.01,-4.1667,25.69,27.92391304347826,35.92270620204604
1999-03-31,1999-04-27,0.13,0.12,0.01,8.3333,25.69,49.40384615384615,38.8288147993311
1999-06-30,1999-07-22,0.2,0.2,0.0,0.0,25.69,32.1125,38.8288147993311
1999-09-30,1999-11-04,0.1,0.11,-0.01,-9.0909,25.69,64.225,43.4163147993311
1999-12-31,2000-01-24,0.25,0.2,0.05,25.0,29.25,29.25,43.747836538461534
2000-03-31,2000-05-03,0.15,0.14,0.01,7.1429,41.25,68.75,48.584375
2000-06-30,2000-08-03,0.28,0.24,0.04,16.6667,38.81,34.651785714285715,49.21919642857143
2000-09-30,2000-11-09,0.2,0.17,0.03,17.6471,38.25,47.8125,45.11607142857143
2000-12-31,2001-02-06,0.28,0.25,0.03,12.0,28.94,25.83928571428571,44.26339285714285
2001-03-31,2001-04-24,0.17,0.14,0.03,21.4286,28.6,42.05882352941176,37.5905987394958
2001-06-30,2001-08-02,0.23,0.22,0.01,4.5455,28.89,31.40217391304348,36.77819578918523
2001-09-30,2001-11-08,0.06,0.07,-0.01,-14.2857,18.62,77.58333333333334,44.220904122518576
2001-12-31,2002-01-31,0.15,0.11,0.04,36.3636,20.72,34.53333333333333,46.39441602728048
2002-03-31,2002-04-25,0.13,0.1,0.03,30.0,22.9,44.03846153846153,46.88932552954292
2002-06-30,2002-08-01,0.17,0.17,0.0,0.0,18.36,27.0,45.788782051282055
2002-09-30,2002-11-07,0.11,0.11,0.0,0.0,15.14,34.409090909090914,34.995221445221446
2002-12-31,2003-01-30,0.17,0.16,0.01,6.25,16.31,23.98529411764705,32.358211641299874
2003-03-31,2003-05-01,0.11,0.11,0.0,0.0,17.02,38.68181818181818,31.019050802139034
2003-06-30,2003-07-31,0.19,0.16,0.03,18.75,19.75,25.98684210526316,30.76576132845483
2003-09-30,2003-11-20,0.17,0.15,0.02,13.3333,20.17,29.661764705882355,29.57892977765269
2003-12-31,2004-02-11,0.33,0.23,0.1,43.4783,23.33,17.674242424242422,28.00116685430153
2004-03-31,2004-05-12,0.26,0.21,0.05,23.8095,24.99,24.02884615384615,24.33792384730852
2004-06-30,2004-08-10,0.31,0.27,0.04,14.8148,25.49,20.556451612903224,22.980326224218537
2004-09-30,2004-11-18,0.19,0.18,0.01,5.5556,22.55,29.67105263157895,22.98264820564269
2004-12-31,2005-01-31,0.34,0.29,0.05,17.2414,27.8,20.44117647058824,23.67438171722914
2005-03-31,2005-05-11,0.32,0.32,0.0,0.0,28.73,22.4453125,23.2784983037676
2005-06-30,2005-08-09,0.42,0.38,0.04,10.5263,25.18,14.98809523809524,21.886409210065604
2005-09-30,2005-11-17,0.23,0.18,0.05,27.7778,24.13,26.22826086956521,21.025711269562173
2005-12-31,2006-02-06,0.35,0.3,0.05,16.6667,23.97,17.12142857142857,20.195774294772256
2006-03-31,2006-05-09,0.37,0.31,0.06,19.3548,27.89,18.8445945945946,19.295594818420906
2006-06-30,2006-08-09,0.53,0.44,0.09,20.4545,30.0,14.150943396226417,19.0863068579537
2006-09-30,2006-11-09,0.36,0.34,0.02,5.8824,30.91,21.46527777777778,17.89556108500684
2006-12-31,2007-02-07,0.49,0.39,0.1,25.641,34.27,17.484693877551024,17.986377411537454
2007-03-31,2007-05-08,0.43,0.38,0.05,13.1579,34.43,20.01744186046512,18.279589228005083
2007-06-30,2007-08-01,0.58,0.55,0.03,5.4545,34.14,14.715517241379311,18.42073268929331
2007-09-30,2007-11-08,0.42,0.41,0.01,2.439,34.65,20.625,18.210663244848863
2007-12-31,2008-02-05,0.63,0.52,0.11,21.1538,32.28,12.80952380952381,17.04187072784206
2008-03-31,2008-05-06,0.58,0.51,0.07,13.7255,31.38,13.525862068965518,15.41897577996716
2008-06-30,2008-07-30,0.62,0.61,0.01,1.6393,31.2,12.580645161290322,14.885257759944912
2008-09-30,2008-11-06,0.43,0.49,-0.06,-12.2449,30.69,17.843023255813954,14.1897635738984
2008-12-31,2009-02-03,0.41,0.51,-0.1,-19.6078,22.69,13.83536585365854,14.446224084932082
2009-03-31,2009-05-05,0.43,0.4,0.03,7.5,18.16,10.558139534883722,13.704293451411631
2009-06-30,2009-07-30,0.52,0.5,0.02,4.0,23.33,11.216346153846152,13.363218699550591
2009-09-30,2009-11-12,0.46,0.41,0.05,12.1951,27.46,14.92391304347826,12.633441146466668
2009-12-31,2010-02-09,0.47,0.38,0.09,23.6842,32.25,17.154255319148938,13.463163512839268
2010-03-31,2010-05-11,0.48,0.45,0.03,6.6667,34.91,18.182291666666664,15.369201545785003
2010-06-30,2010-08-10,0.67,0.58,0.09,15.5172,31.5,11.75373134328358,15.50354784314436
2010-09-30,2010-11-11,0.45,0.46,-0.01,-2.1739,33.1,18.38888888888889,16.36979180449702
2010-12-31,2011-02-08,0.68,0.56,0.12,21.4286,37.51,13.790441176470589,15.528838268827432
2011-03-31,2011-05-10,0.49,0.57,-0.08,-14.0351,43.09,21.984693877551024,16.47943882154852
2011-06-30,2011-08-09,0.78,0.73,0.05,6.8493,39.04,12.512820512820513,16.669211113932754
2011-09-30,2011-11-10,0.59,0.54,0.05,9.2593,30.16,12.779661016949154,15.26690414594782
2011-12-31,2012-02-07,0.8,0.71,0.09,12.6761,37.5,11.71875,14.748981351830173
2012-03-31,2012-05-08,0.58,0.55,0.03,5.4545,43.78,18.870689655172416,13.97048029623552
2012-06-30,2012-08-07,1.01,0.93,0.08,8.6022,48.5,12.004950495049505,13.843512791792769
2012-09-30,2012-11-08,0.68,0.68,0.0,0.0,52.07,19.14338235294117,15.434443125790777
2012-12-31,2013-02-05,0.79,0.76,0.03,3.9474,49.79,15.75632911392405,16.44383790427179
2013-03-31,2013-05-07,0.79,0.77,0.02,2.5974,56.69,17.939873417721518,16.21113384490906
2013-06-30,2013-08-06,1.03,1.01,0.02,1.9802,63.93,15.516990291262136,17.08914379396222
2013-09-30,2013-11-07,0.77,0.76,0.01,1.3158,64.49,20.93831168831169,17.537876127804847
2013-12-31,2014-02-05,1.04,0.92,0.12,13.0435,76.4,18.365384615384617,18.190140003169983
2014-03-31,2014-05-06,1.11,0.96,0.15,15.625,80.07,18.03378378378378,18.213617594685555
2014-06-30,2014-08-05,1.28,1.17,0.11,9.4017,85.74,16.74609375,18.52089345937002
2014-09-30,2014-11-06,0.89,0.89,0.0,0.0,89.03,25.00842696629213,19.53842227886513
2014-12-31,2015-02-03,1.27,1.07,0.2,18.6916,94.19,18.541338582677163,19.58241077068827
2015-03-31,2015-05-05,1.23,1.11,0.12,10.8108,104.89,21.31910569105691,20.403741247506552
2015-06-30,2015-08-04,1.45,1.42,0.03,2.1127,114.14,19.679310344827588,21.13704539621345
2015-09-30,2015-11-05,1.2,1.14,0.06,5.2632,102.2,21.291666666666668,20.207855321307083
2015-12-31,2016-02-09,1.63,1.45,0.18,12.4138,105.08,16.116564417177916,19.60166177993227
2016-03-31,2016-05-10,1.36,1.4,-0.04,-2.8571,99.31,18.25551470588235,18.83576403363863
2016-06-30,2016-08-09,1.62,1.61,0.01,0.6211,97.82,15.095679012345675,17.689856200518154
2016-09-30,2016-11-10,1.1,1.16,-0.06,-5.1724,92.86,21.10454545454545,17.643075897487847
2016-12-31,2017-02-07,1.55,1.49,0.06,4.0268,104.22,16.809677419354838,17.81635414803208
2017-03-31,2017-05-09,1.5,1.41,0.09,6.383,113.39,18.898333333333333,17.977058804894824
2017-06-30,2017-08-08,1.58,1.55,0.03,1.9355,106.25,16.81170886075949,18.40606626699828
2017-09-30,2017-11-09,1.07,1.13,-0.06,-5.3097,98.57,23.03037383177569,18.88752336130584
2017-12-31,2018-02-06,1.89,1.61,0.28,17.3913,107.51,14.220899470899472,18.240328874192
2018-03-31,2018-05-08,1.84,1.7,0.14,8.2353,100.44,13.64673913043478,16.927430323467362
2018-06-30,2018-08-07,1.87,1.95,-0.08,-4.1026,104.81,14.012032085561495,16.22751112966786
2018-09-30,2018-11-08,1.48,1.34,0.14,10.4478,116.24,19.635135135135133,15.37870145550772
2018-12-31,2019-02-05,1.84,1.55,0.29,18.7097,109.65,14.898097826086955,15.548001044304591
2019-03-31,2019-05-08,1.61,1.58,0.03,1.8987,112.51,17.470496894409937,16.503940485298383
2019-06-30,2019-08-06,1.35,1.75,-0.4,-22.8571,141.65,26.23148148148148,19.55880283427837
2019-09-30,2019-11-07,1.07,0.95,0.12,12.6316,130.32,30.44859813084112,22.262168583204872
2019-12-31,2020-02-04,1.53,1.44,0.09,6.25,144.63,23.63235294117647,24.44573236197725
2020-03-31,2020-05-05,0.6,0.89,-0.29,-32.5843,96.6,40.25,30.14060813837477
2020-06-30,2020-08-04,0.08,-0.64,0.72,112.5,111.51,348.46875,110.6999252680044
2020-09-30,2020-11-12,-0.2,-0.7,0.5,71.4286,124.08,-155.1,64.31277573529412
2020-12-31,2021-02-11,0.32,-0.41,0.73,178.0488,181.18,141.546875,93.79140625
2021-03-31,2021-05-13,0.79,0.27,0.52,192.5926,184.52,58.39240506329114,98.3270075158228
2021-06-30,2021-08-12,0.8,0.55,0.25,45.4545,175.77,54.928125,24.941851265822784
2021-09-30,2021-11-10,0.37,0.51,-0.14,-27.451,169.17,114.30405405405403,92.2928647793363
2021-12-31,2022-02-09,1.06,0.63,0.43,68.254,154.89,36.53066037735849,66.03881112367591
2022-03-31,2022-05-11,1.08,1.19,-0.11,-9.2437,137.16,31.75,59.37820985785313
2022-06-30,2022-08-10,1.09,0.96,0.13,13.5417,94.4,21.65137614678899,51.05902264455038
2022-09-30,2022-11-08,0.3,0.55,-0.25,-45.4545,94.33,78.60833333333333,42.1350924643702
2022-12-31,2023-02-08,0.99,0.78,0.21,26.9231,86.88,21.939393939393938,38.487275854879066
2023-03-31,2023-05-10,0.93,0.93,0.0,0.0,100.13,26.916666666666664,37.27894252154573
2023-06-30,2023-08-09,1.03,0.95,0.08,8.4211,89.28,21.66990291262136,37.283574213003824
