fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
2014-03-31,2014-04-16,6.27,6.35,-0.08,-1.2598,556.97,22.207735247208934,22.207735247208934
2014-06-30,2014-07-17,6.08,6.57,-0.49,-7.4581,575.28,23.65460526315789,23.65460526315789
2014-09-30,2014-10-16,0.3175,6.33,-6.0125,-94.9842,577.36,454.6141732283465,454.6141732283465
2014-12-31,2015-01-29,0.344,6.93,-6.586,-95.0361,526.4,382.5581395348837,220.75866331839924
2015-03-31,2015-04-23,0.3285,6.71,-6.3815,-95.1043,548.0,417.04718417047184,319.468525549215
2015-06-30,2015-07-16,0.3495,0.337,0.0125,3.7092,520.51,372.3247496423462,406.6360616440121
2015-09-30,2015-10-22,0.3675,0.3605,0.007,1.9417,608.42,413.891156462585,396.4553074525717
2015-12-31,2016-02-01,0.4335,0.405,0.0285,7.037,758.88,437.6470588235294,410.2275372747331
2016-03-31,2016-04-21,0.375,0.398,-0.023,-5.7789,744.95,496.6333333333334,430.1240745654485
2016-06-30,2016-07-28,0.421,0.4015,0.0195,4.8568,692.1,410.98574821852736,439.78932420949377
2016-09-30,2016-10-27,0.453,0.432,0.021,4.8611,777.29,428.9679911699779,443.5585328863421
2016-12-31,2017-01-26,0.468,0.4835,-0.0155,-3.2058,771.82,412.29700854700855,437.2210203172118
2017-03-31,2017-04-27,0.3865,0.3695,0.017,4.6008,829.56,536.5847347994825,447.208870683749
2017-06-30,2017-07-24,0.2505,0.2235,0.027,12.0805,908.73,906.9161676646706,571.1914755452849
2017-09-30,2017-10-26,0.4785,0.4165,0.062,14.886,959.11,501.1024033437826,589.2250785887361
2017-12-31,2018-02-01,0.485,0.498,-0.013,-2.6104,1046.4,539.3814432989691,620.9961872767262
2018-03-31,2018-04-23,0.6665,0.466,0.2005,43.0258,1031.79,387.0180045011253,583.6045047021369
2018-06-30,2018-07-23,0.227,0.477,-0.25,-52.4109,1115.65,1228.6894273127757,664.047819614163
2018-09-30,2018-10-25,0.653,0.52,0.133,25.5769,1195.31,457.6225114854517,653.1778466495805
2018-12-31,2019-02-04,0.6385,0.541,0.0975,18.0222,1035.61,405.4855129209084,619.7038640550652
2019-03-31,2019-04-29,0.475,0.5315,-0.0565,-10.6303,1194.43,628.6473684210526,680.1112050350471
2019-06-30,2019-07-25,0.7105,0.5665,0.144,25.4192,1097.95,386.3300492610837,469.5213605221241
2019-09-30,2019-10-28,0.506,0.623,-0.117,-18.7801,1219.0,602.2727272727273,505.683914468943
2019-12-31,2020-02-03,0.7675,0.6295,0.138,21.9222,1337.02,435.5114006514658,513.1903864015824
2020-03-31,2020-04-28,0.4935,0.519,-0.0255,-4.9133,1162.81,589.062816616008,503.2942484503212
2020-06-30,2020-07-30,0.51,0.42,0.09,21.4286,1413.61,692.9460784313725,579.9482557428935
2020-09-30,2020-10-29,0.82,0.56,0.26,46.4286,1469.6,448.0487804878049,541.3922690466628
2020-12-31,2021-02-02,1.12,0.8,0.32,40.0,1751.88,391.0446428571428,530.2755795980821
2021-03-31,2021-04-27,1.31,0.79,0.52,65.8228,2068.63,394.7767175572519,481.704054833393
2021-06-30,2021-07-27,1.36,0.96,0.4,41.6667,2506.32,460.7205882352941,423.6476822843735
2021-09-30,2021-10-26,1.4,1.17,0.23,19.6581,2665.31,475.9482142857143,430.6225407338508
2021-12-31,2022-02-01,1.53,1.38,0.15,10.8696,2893.59,472.80882352941177,451.063585901918
2022-03-31,2022-04-26,1.23,1.29,-0.06,-4.6512,2792.99,567.680894308943,494.2896300898408
2022-06-30,2022-07-26,1.21,1.3,-0.09,-6.9231,2187.45,451.952479338843,492.0976028657281
2022-09-30,2022-10-25,1.06,1.25,-0.19,-15.2,96.15,22.67688679245283,378.77977099241264
2022-12-31,2023-02-02,1.05,1.19,-0.14,-11.7647,88.73,21.12619047619048,265.8591127291073
2023-03-31,2023-04-25,1.17,1.06,0.11,10.3774,104.0,22.222222222222225,129.49444470742714
2023-06-30,2023-07-25,1.44,1.34,0.1,7.4627,120.97,21.00173611111111,21.75675890049416
