fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-02-29,1996-05-14,0.09,0.09,0.0,0.0,76.25,211.8055555555556,211.8055555555556
1996-05-31,1996-08-13,0.12,0.12,0.0,0.0,76.25,158.85416666666669,158.85416666666669
1996-08-31,1996-11-12,0.1,0.1,0.0,0.0,76.25,190.625,190.625
1997-01-31,1997-02-25,0.12,0.11,0.01,9.0909,76.25,158.85416666666669,180.03472222222223
1997-04-30,1997-05-20,0.12,0.11,0.01,9.0909,76.25,158.85416666666669,166.796875
1997-07-31,1997-08-19,0.16,0.15,0.01,6.6667,76.25,119.140625,156.86848958333334
1997-10-31,1997-11-18,0.13,0.13,0.0,0.0,76.25,146.6346153846154,145.87089342948718
1998-01-31,1998-02-24,0.14,0.14,0.0,0.0,76.25,136.16071428571428,140.1975303342491
1998-04-30,1998-05-19,0.15,0.14,0.01,7.1429,76.25,127.08333333333334,132.25482200091574
1998-07-31,1998-08-18,0.21,0.2,0.01,5.0,76.25,90.77380952380952,125.16311813186816
1998-10-31,1998-11-17,0.17,0.17,0.0,0.0,76.25,112.13235294117646,116.5375525210084
1999-01-31,1999-02-23,0.19,0.17,0.02,11.7647,76.25,100.32894736842104,107.5796107916851
1999-04-30,1999-05-18,0.22,0.19,0.03,15.7895,76.25,86.64772727272727,97.47070927653355
1999-07-31,1999-08-17,0.29,0.29,0.0,0.0,76.25,65.73275862068967,91.21044655075362
1999-10-31,1999-11-16,0.25,0.23,0.02,8.6957,76.25,76.25,82.23985831545949
2000-01-31,2000-02-22,0.25,0.24,0.01,4.1667,56.63,56.63,71.31512147335422
2000-04-30,2000-05-16,0.27,0.27,0.0,0.0,56.13,51.97222222222222,62.64624521072797
2000-07-31,2000-08-15,0.36,0.37,-0.01,-2.7027,51.75,35.9375,55.19743055555556
2000-10-31,2000-11-14,0.28,0.28,0.0,0.0,43.0,38.39285714285714,45.73314484126984
2001-01-31,2001-02-07,0.2,0.2,0.0,0.0,48.2,60.25,46.63814484126984
2001-04-30,2001-05-15,0.27,0.25,0.02,8.0,47.1,43.61111111111111,44.54786706349206
2001-07-31,2001-08-14,0.39,0.37,0.02,5.4054,50.37,32.28846153846153,43.63560744810744
2001-10-31,2001-11-13,0.33,0.33,0.0,0.0,38.23,28.962121212121207,41.27792346542346
2002-01-31,2002-02-26,0.3,0.28,0.02,7.1429,50.09,41.741666666666674,36.65084013209013
2002-04-30,2002-05-21,0.36,0.33,0.03,9.0909,46.37,32.201388888888886,33.798409576534574
2002-07-31,2002-08-20,0.5,0.47,0.03,6.383,30.88,15.44,29.58629419191919
2002-10-31,2002-11-19,0.4,0.4,0.0,0.0,28.88,18.05,26.85826388888889
2003-01-31,2003-02-25,0.3,0.27,0.03,11.1111,20.9,17.416666666666668,20.777013888888888
2003-04-30,2003-05-20,0.39,0.37,0.02,5.4054,28.13,18.03205128205128,17.234679487179488
2003-07-31,2003-08-19,0.56,0.54,0.02,3.7037,31.2,13.928571428571429,16.856822344322342
2003-10-31,2003-11-18,0.5,0.46,0.04,8.6957,37.07,18.535,16.978072344322346
2004-01-31,2004-02-24,0.42,0.39,0.03,7.6923,35.47,21.11309523809524,17.902179487179488
2004-04-30,2004-05-18,0.49,0.43,0.06,13.9535,35.19,17.95408163265306,17.88268707482993
2004-07-31,2004-08-17,0.7,0.64,0.06,9.375,33.72,12.042857142857144,17.41125850340136
2004-10-31,2004-11-16,0.6,0.57,0.03,5.2632,41.08,17.116666666666667,17.05667517006803
2005-01-31,2005-02-22,0.47,0.47,0.0,0.0,41.26,21.9468085106383,17.265103488203792
2005-04-30,2005-05-17,0.57,0.55,0.02,3.6364,35.37,15.513157894736842,16.654872553724736
2005-07-31,2005-08-16,0.82,0.79,0.03,3.7975,42.86,13.067073170731708,16.91092656069338
2005-10-31,2005-11-15,0.72,0.68,0.04,5.8824,41.04,14.25,16.194259894026715
2006-01-31,2006-02-21,0.6,0.56,0.04,7.1429,40.55,16.895833333333332,14.93151609970047
2006-04-30,2006-05-16,0.7,0.67,0.03,4.4776,40.54,14.47857142857143,14.672869483159118
2006-07-31,2006-08-15,0.9,0.92,-0.02,-2.1739,34.71,9.641666666666667,13.816517857142856
2006-10-31,2006-11-14,0.73,0.75,-0.02,-2.6667,37.33,12.784246575342465,13.450079500978472
2007-01-31,2007-02-20,0.5,0.5,0.0,0.0,40.74,20.37,14.31862116764514
2007-04-30,2007-05-15,0.48,0.59,-0.11,-18.6441,37.87,19.72395833333333,15.629967893835616
2007-07-31,2007-08-14,0.77,0.72,0.05,6.9444,37.17,12.068181818181818,16.236596681714403
2007-10-31,2007-11-13,0.59,0.6,-0.01,-1.6667,31.51,13.35169491525424,16.378458766692347
2008-01-31,2008-02-26,0.4,0.43,-0.03,-6.9767,30.64,19.15,16.073458766692347
2008-04-30,2008-05-20,0.41,0.37,0.04,10.8108,28.8,17.5609756097561,15.532713085798038
2008-07-31,2008-08-19,0.71,0.61,0.1,16.3934,23.83,8.390845070422536,14.61337889885822
2008-10-31,2008-11-18,0.45,0.38,0.07,18.4211,23.59,13.105555555555554,14.551844058933549
2009-01-31,2009-02-24,0.19,0.15,0.04,26.6667,21.53,28.32894736842105,16.846580901038813
2009-04-30,2009-05-19,0.35,0.29,0.06,20.6897,26.32,18.8,17.156336998599784
2009-07-31,2009-08-18,0.64,0.59,0.05,8.4746,25.94,10.1328125,17.59182885599415
2009-10-31,2009-11-17,0.41,0.36,0.05,13.8889,25.09,15.298780487804878,18.14013508905648
2010-01-31,2010-02-23,0.24,0.17,0.07,41.1765,28.39,29.572916666666668,18.45112741361789
2010-04-30,2010-05-18,0.45,0.4,0.05,12.5,35.23,19.57222222222222,18.644182969173443
2010-07-31,2010-08-17,0.72,0.71,0.01,1.4085,28.51,9.899305555555555,18.58580623306233
2010-10-31,2010-11-16,0.51,0.48,0.03,6.25,30.71,15.053921568627452,18.52459150326797
2011-01-31,2011-02-22,0.36,0.31,0.05,16.129,36.77,25.534722222222225,17.515042892156863
2011-04-30,2011-05-17,0.5,0.49,0.01,2.0408,37.15,18.575,17.26573733660131
2011-07-31,2011-08-16,0.86,0.83,0.03,3.6145,34.25,9.95639534883721,17.280009784921724
2011-10-31,2011-11-15,0.6,0.58,0.02,3.4483,35.8,14.916666666666666,17.245696059431527
2012-01-31,2012-02-21,0.5,0.42,0.08,19.0476,44.39,22.195,16.410765503875968
2012-04-30,2012-05-15,0.65,0.65,0.0,0.0,51.79,19.91923076923077,16.746823196183662
2012-07-31,2012-08-14,1.01,0.97,0.04,4.1237,52.18,12.915841584158416,17.486684755013965
2012-10-31,2012-11-13,0.74,0.7,0.04,5.7143,61.38,20.736486486486488,18.94163970996892
2013-01-31,2013-02-26,0.67,0.64,0.03,4.6875,66.92,24.970149253731343,19.63542702340176
2013-04-30,2013-05-21,0.83,0.77,0.06,7.7922,73.35,22.093373493975903,20.17896270458804
2013-07-31,2013-08-20,1.24,1.21,0.03,2.4793,79.03,15.933467741935484,20.933369244032303
2013-10-31,2013-11-19,0.95,0.9,0.05,5.5556,77.89,20.497368421052634,20.87358972767384
2014-01-31,2014-02-25,0.73,0.71,0.02,2.8169,76.85,26.31849315068493,21.21067570191224
2014-04-30,2014-05-20,0.96,0.99,-0.03,-3.0303,79.51,20.705729166666668,20.86376462008493
2014-07-31,2014-08-19,1.52,1.45,0.07,4.8276,80.85,13.297697368421051,20.20482202670632
