fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-17,0.55,0.6,-0.05,-8.3333,96.75,43.97727272727273,43.97727272727273
1996-06-30,1996-07-25,0.63,0.61,0.02,3.2787,96.75,38.392857142857146,38.392857142857146
1996-09-30,1996-10-21,0.61,0.61,0.0,0.0,96.75,39.65163934426229,39.65163934426229
1996-12-31,1997-01-21,0.98,0.99,-0.01,-1.0101,96.75,24.681122448979597,36.67572291584294
1997-03-31,1997-04-23,0.59,0.58,0.01,1.7241,96.75,40.99576271186441,35.93034541199086
1997-06-30,1997-07-21,0.73,0.71,0.02,2.8169,96.75,33.13356164383562,34.61552153723548
1997-09-30,1997-10-20,0.69,0.68,0.01,1.4706,96.75,35.05434782608696,33.46619865769165
1997-12-31,1998-01-20,1.08,1.07,0.01,0.9346,96.75,22.39583333333333,32.89487637878008
1998-03-31,1998-04-20,0.53,0.53,0.0,0.0,96.75,45.636792452830186,34.05513381402153
1998-06-30,1998-07-20,0.77,0.75,0.02,2.6667,96.75,31.412337662337663,33.624827818647034
1998-09-30,1998-10-20,0.78,0.77,0.01,1.2987,96.75,31.009615384615383,32.613644708279146
1998-12-31,1999-01-21,1.24,1.22,0.02,1.6393,96.75,19.506048387096776,31.891198471720003
1999-03-31,1999-04-21,0.78,0.7,0.08,11.4286,96.75,31.009615384615383,28.2344042046663
1999-06-30,1999-07-19,0.91,0.88,0.03,3.4091,96.75,26.57967032967033,27.02623737149947
1999-09-30,1999-10-20,0.9,0.89,0.01,1.1236,96.75,26.875,25.992583525345623
1999-12-31,2000-01-19,1.12,1.06,0.06,5.6604,107.87,24.078125,27.13560267857143
2000-03-31,2000-04-18,0.83,0.78,0.05,6.4103,118.37,35.65361445783133,28.29660244687542
2000-06-30,2000-07-19,1.06,1.0,0.06,6.0,109.56,25.839622641509436,28.11159052483519
2000-09-30,2000-10-17,1.08,1.08,0.0,0.0,112.62,26.069444444444443,27.9102016359463
2000-12-31,2001-01-17,1.48,1.46,0.02,1.3699,85.0,14.358108108108109,25.48019741297333
2001-03-31,2001-04-18,1.0,0.98,0.02,2.0408,96.18,24.045,22.5780437985155
2001-06-30,2001-07-18,1.21,1.15,0.06,5.2174,113.5,23.450413223140497,21.980741443923264
2001-09-30,2001-10-16,0.9,0.89,0.01,1.1236,92.71,25.752777777777776,21.901574777256595
2001-12-31,2002-01-17,1.33,1.32,0.01,0.7576,120.96,22.736842105263158,23.99625827654536
2002-03-31,2002-04-17,0.68,0.68,0.0,0.0,102.86,37.81617647058823,27.439052394192416
2002-06-30,2002-07-17,0.89,0.83,0.06,7.2289,67.6,18.988764044943817,26.32364009964325
2002-09-30,2002-10-16,0.99,0.96,0.03,3.125,58.31,14.724747474747476,23.56663252388567
2002-12-31,2003-01-16,1.34,1.3,0.04,3.0769,77.5,14.458955223880595,21.49716080354003
2003-03-31,2003-04-14,0.79,0.8,-0.01,-1.25,78.43,24.81962025316456,18.24802174918411
2003-06-30,2003-07-16,0.97,0.98,-0.01,-1.0204,82.5,21.262886597938145,18.816552387432694
