fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
2005-09-30,2005-11-30,0.0099,,,,39.25,991.161616161616,991.161616161616
2005-12-31,2006-02-23,0.05,0.05,0.0,0.0,36.35,181.75,181.75
2006-03-31,2006-05-02,0.07,0.06,0.01,16.6667,69.05,246.60714285714283,246.60714285714283
2006-06-30,2006-07-26,0.1,0.1,0.0,0.0,57.94,144.85,391.0921897546897
2006-09-30,2006-11-02,0.15,0.14,0.01,7.1429,75.07,125.11666666666666,174.58095238095237
2006-12-31,2007-02-07,0.16,0.15,0.01,6.6667,107.9,168.59375,171.2918898809524
2007-03-31,2007-05-02,0.14,0.14,0.0,0.0,122.21,218.23214285714283,164.19813988095237
2007-06-30,2007-07-26,0.15,0.15,0.0,0.0,147.85,246.41666666666666,189.58980654761905
2007-09-30,2007-10-25,0.19,0.18,0.01,5.5556,154.0,202.6315789473684,208.9685346177945
2007-12-31,2008-01-31,0.18,0.18,0.0,0.0,192.5,267.36111111111114,233.66037489557226
2008-03-31,2008-05-02,0.26,0.26,0.0,0.0,130.5,125.48076923076923,210.47253148897886
2008-06-30,2008-08-04,0.24,0.24,0.0,0.0,114.0,118.75,178.5558648223122
2008-09-30,2008-10-30,0.21,0.21,0.0,0.0,80.68,96.04761904761907,151.90987484737485
2008-12-31,2009-02-10,0.16,0.17,-0.01,-5.8824,82.44,128.8125,117.27272206959707
2009-03-31,2009-05-05,0.22,0.19,0.03,15.7895,74.47,84.625,107.05877976190476
2009-06-30,2009-08-04,0.22,0.23,-0.01,-4.3478,114.24,129.8181818181818,109.82582521645023
2009-09-30,2009-11-03,0.24,0.23,0.01,4.3478,97.19,101.23958333333333,111.12381628787878
2009-12-31,2010-02-10,0.22,0.23,-0.01,-4.3478,112.3,127.61363636363636,110.82410037878788
2010-03-31,2010-05-05,0.27,0.26,0.01,3.8462,112.18,103.87037037037037,115.63544297138047
2010-06-30,2010-08-04,0.3,0.28,0.02,7.1429,113.03,94.19166666666668,106.72881418350168
2010-09-30,2010-11-01,0.28,0.27,0.01,3.7037,104.72,93.49999999999999,104.79391835016835
2010-12-31,2011-02-09,0.27,0.27,0.0,0.0,119.15,110.32407407407408,100.47152777777778
2011-03-31,2011-05-04,0.35,0.34,0.01,2.9412,123.54,88.24285714285715,96.56464947089947
2011-06-30,2011-08-03,0.34,0.33,0.01,3.0303,124.71,91.6985294117647,95.94136515717398
2011-09-30,2011-11-02,0.37,0.35,0.02,5.7143,118.26,79.9054054054054,92.54271650852533
2011-12-31,2012-02-08,0.35,0.34,0.01,2.9412,120.55,86.10714285714286,86.48848370429252
2012-03-31,2012-05-02,0.4,0.4,0.0,0.0,137.42,85.88749999999999,85.89964441857823
2012-06-30,2012-08-01,0.39,0.38,0.01,2.6316,135.98,87.16666666666666,84.76667873230373
2012-09-30,2012-11-05,0.36,0.34,0.02,5.8824,131.92,91.6111111111111,87.69310515873016
2012-12-31,2013-02-06,0.35,0.35,0.0,0.0,123.81,88.4357142857143,88.275248015873
2013-03-31,2013-05-01,0.41,0.39,0.02,5.1282,160.09,97.6158536585366,91.20733643050716
2013-06-30,2013-08-06,0.44,0.43,0.01,2.3256,178.02,101.14772727272728,94.70260158202231
2013-09-30,2013-11-05,0.39,0.37,0.02,5.4054,181.42,116.29487179487178,100.8735417529625
2013-12-31,2014-02-11,0.4,0.39,0.01,2.5641,224.92,140.575,113.9083631815339
2014-03-31,2014-05-08,0.52,0.52,0.0,0.0,197.83,95.11057692307692,113.28204399766898
2014-06-30,2014-08-07,0.42,0.4,0.02,5.0,188.9,112.4404761904762,116.10523122710622
2014-09-30,2014-11-04,0.43,0.4,0.03,7.5,195.05,113.40116279069768,115.3818039760627
2014-12-31,2015-02-05,0.52,0.51,0.01,1.9608,219.29,105.42788461538461,106.59502512990885
2015-03-31,2015-05-05,0.61,0.59,0.02,3.3898,233.27,95.60245901639345,106.71799565323799
2015-06-30,2015-08-05,0.58,0.55,0.03,5.4545,223.61,96.38362068965519,102.70378177803273
2015-09-30,2015-10-28,0.58,0.58,0.0,0.0,234.99,101.28879310344828,99.6756893562204
2015-12-31,2016-02-04,0.65,0.6,0.05,8.3333,256.26,98.56153846153846,97.95910281775883
2016-03-31,2016-05-04,0.74,0.73,0.01,1.3699,235.14,79.43918918918918,93.91828536095777
2016-06-30,2016-08-03,0.69,0.68,0.01,1.4706,255.96,92.73913043478262,93.00716279723963
2016-09-30,2016-11-01,0.64,0.64,0.0,0.0,269.36,105.21875,93.98965202137757
2016-12-31,2017-02-07,0.71,0.69,0.02,2.8986,56.42,19.866197183098592,74.3158167017676
2017-03-31,2017-05-03,0.74,0.73,0.01,1.3699,59.87,20.22635135135135,59.51260724230814
2017-06-30,2017-08-03,0.75,0.76,-0.01,-1.3158,65.92,21.973333333333333,41.82115796694582
2017-09-30,2017-11-02,0.73,0.7,0.03,4.2857,68.7,23.527397260273975,21.398319782014312
2017-12-31,2018-02-06,0.73,0.72,0.01,1.3889,70.56,24.164383561643838,22.472866376650625
2018-03-31,2018-05-03,0.9,0.88,0.02,2.2727,72.52,20.144444444444442,22.452389649923894
