fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-16,0.3,0.29,0.01,3.4483,105.1,87.58333333333333,87.58333333333333
1996-06-30,1996-07-16,0.3,0.29,0.01,3.4483,105.1,87.58333333333333,87.58333333333333
1996-09-30,1996-10-16,0.28,0.28,0.0,0.0,105.1,93.8392857142857,93.8392857142857
1996-12-31,1997-01-21,0.21,0.21,0.0,0.0,105.1,125.11904761904762,98.53125
1997-03-31,1997-04-15,0.34,0.34,0.0,0.0,105.1,77.27941176470587,95.95526960784314
1997-06-30,1997-07-15,0.34,0.34,0.0,0.0,105.1,77.27941176470587,93.37928921568628
1997-09-30,1997-10-14,0.32,0.32,0.0,0.0,105.1,82.109375,90.44681153711484
1997-12-31,1998-01-20,0.24,0.23,0.01,4.3478,105.1,109.47916666666669,86.5368412990196
1998-03-31,1998-04-14,0.37,0.37,0.0,0.0,105.1,71.01351351351352,84.97036673622151
1998-06-30,1998-07-14,0.38,0.37,0.01,2.7027,105.1,69.14473684210526,82.93669800557136
1998-09-30,1998-10-13,0.35,0.35,0.0,0.0,105.1,75.07142857142857,81.1772113984285
1998-12-31,1999-01-26,0.25,0.25,0.0,0.0,105.1,105.1,80.08241973176183
1999-03-31,1999-04-20,0.41,0.4,0.01,2.5,105.1,64.08536585365853,78.35038281679809
1999-06-30,1999-07-20,0.42,0.41,0.01,2.439,105.1,62.55952380952381,76.70407955865272
1999-09-30,1999-10-19,0.4,0.39,0.01,2.5641,105.1,65.68749999999999,74.35809741579558
1999-12-31,2000-01-25,0.28,0.28,0.0,0.0,93.25,83.25892857142857,68.89782955865272
2000-03-31,2000-04-18,0.47,0.45,0.02,4.4444,70.25,37.36702127659575,62.21824341438703
2000-06-30,2000-07-18,0.47,0.46,0.01,2.1739,101.9,54.20212765957447,60.128894376899694
2000-09-30,2000-10-17,0.45,0.44,0.01,2.2727,93.94,52.18888888888888,56.75424159912191
2000-12-31,2001-01-23,0.33,0.32,0.01,3.125,105.1,79.62121212121211,55.84481248656781
2001-03-31,2001-04-17,0.5,0.52,-0.02,-3.8462,87.47,43.735,57.43680716741887
2001-06-30,2001-07-17,0.51,0.53,-0.02,-3.7736,49.96,24.49019607843137,50.00882427213308
2001-09-30,2001-10-16,0.5,0.48,0.02,4.1667,55.42,27.71,43.88910204991088
2001-12-31,2002-01-22,0.39,0.39,0.0,0.0,59.1,37.88461538461539,33.45495286576169
2002-03-31,2002-04-16,0.59,0.58,0.01,1.7241,64.61,27.3771186440678,29.36548252677864
2002-06-30,2002-07-16,0.6,0.58,0.02,3.4483,50.5,21.041666666666668,28.50335017383746
2002-09-30,2002-10-15,0.57,0.59,-0.02,-3.3898,54.08,23.71929824561404,27.505674735240973
2002-12-31,2003-01-21,0.46,0.47,-0.01,-2.1277,53.71,29.190217391304348,25.33207523691321
2003-03-31,2003-04-15,0.69,0.68,0.01,1.4706,57.87,20.967391304347828,23.72964340198322
2003-06-30,2003-07-15,0.7,0.69,0.01,1.4493,51.7,18.464285714285715,23.085298163887984
2003-09-30,2003-10-14,0.69,0.68,0.01,1.4706,49.52,17.94202898550725,21.64098084886129
2003-12-31,2004-01-20,0.57,0.56,0.01,1.7857,51.66,22.657894736842103,20.007900185245724
2004-03-31,2004-04-13,0.83,0.8,0.03,3.75,50.72,15.27710843373494,18.5853294675925
2004-06-30,2004-07-13,0.82,0.79,0.03,3.7975,55.7,16.981707317073173,18.214684868289368
2004-09-30,2004-10-12,0.78,0.76,0.02,2.6316,56.33,18.05448717948718,18.24279941678435
2004-12-31,2005-01-25,0.67,0.64,0.03,4.6875,63.42,23.66417910447761,18.494370508693223
2005-03-31,2005-04-19,0.97,0.92,0.05,5.4348,67.16,17.309278350515463,19.00241298788836
2005-06-30,2005-07-19,0.93,0.91,0.02,2.1978,65.0,17.473118279569892,19.12526572851253
2005-09-30,2005-10-18,0.87,0.86,0.01,1.1628,63.28,18.183908045977013,19.157620945135
2005-12-31,2006-01-24,0.73,0.73,0.0,0.0,60.1,20.58219178082192,18.38712411422108
2006-03-31,2006-04-18,0.99,0.98,0.01,1.0204,59.22,14.954545454545457,17.79844089022857
2006-06-30,2006-07-18,0.98,0.97,0.01,1.0309,59.92,15.285714285714286,17.251589891764667
2006-09-30,2006-10-17,0.98,0.93,0.05,5.3763,64.94,16.566326530612244,16.847194512923476
2006-12-31,2007-01-23,0.81,0.79,0.02,2.5316,66.02,20.37654320987654,16.795782370187133
2007-03-31,2007-04-17,1.16,1.05,0.11,10.4762,60.26,12.987068965517242,16.30391324793008
2007-06-30,2007-07-17,1.05,1.0,0.05,5.0,61.62,14.67142857142857,16.15034181935865
2007-09-30,2007-10-16,1.06,0.99,0.07,7.0707,66.14,15.599056603773583,15.908524337648984
2007-12-31,2008-01-22,0.88,0.86,0.02,2.3256,66.7,18.94886363636364,15.551604444270758
2008-03-31,2008-04-15,1.26,1.2,0.06,5.0,64.87,12.871031746031749,15.522595139399384
2008-06-30,2008-07-15,1.18,1.12,0.06,5.3571,64.34,13.631355932203393,15.26257697959309
2008-09-30,2008-10-14,1.17,1.11,0.06,5.4054,69.28,14.803418803418804,15.063667529504396
2008-12-31,2009-01-20,0.94,0.92,0.02,2.1739,59.83,15.912234042553193,14.304510131051783
2009-03-31,2009-04-14,1.26,1.22,0.04,3.2787,52.6,10.436507936507937,13.695879178670832
2009-06-30,2009-07-14,1.15,1.12,0.03,2.6786,56.8,12.347826086956522,13.374996717359114
2009-09-30,2009-10-13,1.2,1.13,0.07,6.1947,60.89,12.685416666666669,12.84549618317108
2009-12-31,2010-01-26,1.02,0.97,0.05,5.1546,64.41,15.786764705882351,12.81412884900337
2010-03-31,2010-04-20,1.29,1.27,0.02,1.5748,65.2,12.635658914728682,13.363916593558557
2010-06-30,2010-07-20,1.21,1.21,0.0,0.0,59.06,12.202479338842975,13.327579906530168
2010-09-30,2010-10-19,1.23,1.15,0.08,6.9565,61.96,12.59349593495935,13.30459972360334
2010-12-31,2011-01-25,1.03,1.03,0.0,0.0,61.85,15.012135922330096,13.110942527715276
2011-03-31,2011-04-19,1.35,1.26,0.09,7.1429,59.25,10.97222222222222,12.69508335458866
2011-06-30,2011-07-19,1.28,1.24,0.04,3.2258,66.52,12.992187499999998,12.892510394877917
2011-09-30,2011-10-18,1.24,1.21,0.03,2.4793,63.69,12.840725806451612,12.95431786275098
2011-12-31,2012-01-24,1.13,1.09,0.04,3.6697,65.58,14.508849557522124,12.828496271548987
2012-03-31,2012-04-17,1.37,1.35,0.02,1.4815,65.96,12.036496350364962,13.094564803584674
2012-06-30,2012-07-17,1.3,1.29,0.01,0.7752,67.56,12.992307692307692,13.094594851661595
2012-09-30,2012-10-16,1.25,1.21,0.04,3.3058,69.13,13.826,13.340913400048697
2012-12-31,2013-01-22,1.19,1.17,0.02,1.7094,70.1,14.72689075630252,13.395423699743793
2013-03-31,2013-04-16,1.44,1.4,0.04,2.8571,81.93,14.223958333333336,13.942289195485886
2013-06-30,2013-07-16,1.48,1.39,0.09,6.4748,86.63,14.633445945945946,14.352573758895453
2013-09-30,2013-10-15,1.36,1.32,0.04,3.0303,86.69,15.93566176470588,14.879989200071922
2013-12-31,2014-01-21,1.24,1.2,0.04,3.3333,91.59,18.46572580645161,15.814697962609191
2014-03-31,2014-04-15,1.54,1.48,0.06,4.0541,98.23,15.946428571428571,16.245315522133005
2014-06-30,2014-07-15,1.66,1.55,0.11,7.0968,104.62,15.756024096385543,16.525960059742903
2014-09-30,2014-10-14,1.5,1.45,0.05,3.4483,106.59,17.765,16.983294618566433
2014-12-31,2015-01-20,1.27,1.26,0.01,0.7937,104.57,20.584645669291337,17.513024584276362
2015-03-31,2015-04-14,1.56,1.54,0.02,1.2987,100.6,16.12179487179487,17.55686615936794
2015-06-30,2015-07-14,1.71,1.67,0.04,2.3952,97.46,14.248538011695906,17.179994638195527
2015-09-30,2015-10-13,1.49,1.45,0.04,2.7586,93.35,15.662751677852349,16.654432557658616
2015-12-31,2016-01-26,1.44,1.42,0.02,1.4085,102.72,17.833333333333332,15.966604473669117
2016-03-31,2016-04-19,1.68,1.65,0.03,1.8182,108.2,16.101190476190478,15.961453374768016
2016-06-30,2016-07-19,1.74,1.68,0.06,3.5714,121.3,17.42816091954023,16.756359101729096
2016-09-30,2016-10-18,1.68,1.66,0.02,1.2048,118.13,17.578869047619047,17.23538844417077
2016-12-31,2017-01-24,1.58,1.56,0.02,1.2821,115.21,18.22943037974684,17.33441270577415
2017-03-31,2017-04-18,1.83,1.77,0.06,3.3898,124.55,17.01502732240437,17.562871917327623
2017-06-30,2017-07-18,1.83,1.8,0.03,1.6667,132.29,18.072404371584696,17.72393278033874
2017-09-30,2017-10-17,1.9,1.8,0.1,5.5556,130.01,17.10657894736842,17.60586025527608
2017-12-31,2018-01-23,1.74,1.72,0.02,1.1628,139.72,20.07471264367816,18.067180821258912
2018-03-31,2018-04-17,2.06,2.02,0.04,1.9802,128.15,15.552184466019416,17.701470107162674
2018-06-30,2018-07-17,2.1,2.07,0.03,1.4493,121.34,14.445238095238096,16.794678538076024
2018-09-30,2018-10-16,2.05,2.03,0.02,0.9852,139.69,17.035365853658536,16.776875264648552
2018-12-31,2019-01-22,1.97,1.95,0.02,1.0256,129.05,16.376903553299496,15.852422992053889
