fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
2006-03-31,2006-05-31,0.1267,,,,46.0,90.76558800315706,90.76558800315706
2006-06-30,2006-08-02,0.07,0.06,0.01,16.6667,48.0,171.42857142857142,171.42857142857142
2006-09-30,2006-11-01,0.14,0.11,0.03,27.2727,70.35,125.62499999999996,125.62499999999996
2006-12-31,2007-02-09,0.03,0.02,0.01,50.0,98.49,820.75,302.1422898579321
2007-03-31,2007-05-02,0.16,0.12,0.04,33.3333,106.24,166.0,320.95089285714283
2007-06-30,2007-08-01,0.14,0.13,0.01,7.6923,165.87,296.19642857142856,352.1428571428571
2007-09-30,2007-10-31,0.18,0.14,0.04,28.5714,153.37,213.0138888888889,373.9900793650794
2007-12-31,2008-01-31,0.09,0.07,0.02,28.5714,215.2,597.7777777777777,318.2470238095238
2008-03-31,2008-04-29,0.26,0.2,0.06,30.0,222.99,214.41346153846155,330.3503891941392
2008-06-30,2008-07-31,0.21,0.2,0.01,5.0,265.52,316.0952380952381,335.3250915750916
2008-09-30,2008-11-03,0.25,0.22,0.03,13.6364,177.33,177.33,326.4041193528693
2008-12-31,2009-02-05,0.19,0.16,0.03,18.75,142.93,188.06578947368425,223.976122276846
2009-03-31,2009-05-01,0.28,0.26,0.02,7.6923,167.48,149.53571428571425,207.75668546365915
2009-06-30,2009-07-30,0.27,0.24,0.03,12.5,167.31,154.91666666666666,167.4620426065163
2009-09-30,2009-11-03,0.35,0.29,0.06,20.6897,202.15,144.39285714285717,159.22775689223056
2009-12-31,2010-02-04,0.22,0.25,-0.03,-12.0,255.98,290.8863636363636,184.9329004329004
2010-03-31,2010-05-04,0.35,0.31,0.04,12.9032,254.0,181.42857142857144,192.9061147186147
2010-06-30,2010-08-03,0.35,0.33,0.02,6.0606,199.53,142.52142857142857,189.8073051948052
2010-09-30,2010-11-02,0.39,0.35,0.04,11.4286,224.0,143.5897435897436,189.6065268065268
