fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-18,0.22,0.22,0.0,0.0,41.69,47.375,47.375
1996-06-30,1996-07-18,0.3,0.29,0.01,3.4483,41.69,34.74166666666667,34.74166666666667
1996-09-30,1996-10-18,0.31,0.32,-0.01,-3.125,41.69,33.62096774193548,33.62096774193548
1996-12-31,1997-01-23,0.3,0.29,0.01,3.4483,41.69,34.74166666666667,37.6198252688172
1997-03-31,1997-04-17,0.25,0.25,0.0,0.0,41.69,41.69,36.19857526881721
1997-06-30,1997-07-17,0.32,0.32,0.0,0.0,41.69,32.5703125,35.65573672715054
1997-09-30,1997-10-17,0.32,0.33,-0.01,-3.0303,41.69,32.5703125,35.39307291666667
1997-12-31,1998-01-22,0.29,0.3,-0.01,-3.3333,41.69,35.939655172413794,35.692570043103444
1998-03-31,1998-04-17,0.26,0.26,0.0,0.0,41.69,40.08653846153846,35.291704658488065
1998-06-30,1998-07-20,0.33,0.33,0.0,0.0,41.69,31.58333333333333,35.0449598668214
1998-09-30,1998-10-19,0.35,0.34,0.01,2.9412,41.69,29.77857142857143,34.34702459896425
1998-12-31,1999-01-26,0.32,0.32,0.0,0.0,41.69,32.5703125,33.5046889308608
1999-03-31,1999-04-22,0.3,0.29,0.01,3.4483,41.69,34.74166666666667,32.16847098214286
1999-06-30,1999-07-22,0.37,0.37,0.0,0.0,41.69,28.16891891891892,31.31486737853925
1999-09-30,1999-10-21,0.39,0.39,0.0,0.0,41.69,26.72435897435897,30.55131426498614
1999-12-31,2000-01-26,0.35,0.36,-0.01,-2.7778,40.31,28.792857142857148,29.606950425700425
2000-03-31,2000-04-20,0.33,0.32,0.01,3.125,37.38,28.31818181818182,28.001079213579214
2000-06-30,2000-07-25,0.39,0.4,-0.01,-2.5,32.94,21.115384615384613,26.23769563769564
2000-09-30,2000-10-19,0.41,0.41,0.0,0.0,30.19,18.40853658536585,24.15874004044736
2000-12-31,2001-01-24,0.34,0.35,-0.01,-2.8571,34.0,25.0,23.21052575473307
