fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
2012-03-31,2012-05-30,0.0645,,,,38.2318,148.18527131782946,148.18527131782946
2012-06-30,2012-07-26,0.12,0.12,0.0,0.0,31.095,64.78125,64.78125
2012-09-30,2012-10-23,0.12,0.11,0.01,9.0909,21.99,45.8125,45.8125
2012-12-31,2013-01-30,0.17,0.15,0.02,13.3333,26.6197,39.146617647058825,74.48140974122208
2013-03-31,2013-05-01,0.12,0.13,-0.01,-7.6923,25.53,53.18750000000001,50.73196691176471
2013-06-30,2013-07-24,0.19,0.14,0.05,35.7143,24.81,32.64473684210526,42.69783862229102
2013-09-30,2013-10-30,0.25,0.19,0.06,31.5789,50.23,50.23,43.80221362229102
2013-12-31,2014-01-29,0.31,0.27,0.04,14.8148,54.649,44.07177419354839,45.03350275891341
2014-03-31,2014-04-23,0.34,0.24,0.1,41.6667,60.24,44.29411764705882,42.81015717067812
2014-06-30,2014-07-23,0.42,0.32,0.1,31.25,67.29,40.05357142857143,44.662365817294656
2014-09-30,2014-10-28,0.43,0.4,0.03,7.5,79.04,45.95348837209303,43.59323791031791
2014-12-31,2015-01-28,0.54,0.49,0.05,10.2041,78.02,36.12037037037037,41.60538695452341
2015-03-31,2015-04-22,0.42,0.4,0.02,5.0,82.215,48.93750000000001,42.76623254275872
2015-06-30,2015-07-29,0.5,0.47,0.03,6.383,85.765,42.8825,43.47346468561585
2015-09-30,2015-11-04,0.57,0.52,0.05,9.6154,89.73,39.35526315789474,41.82390838206628
2015-12-31,2016-01-27,0.79,0.68,0.11,16.1765,104.66,33.12025316455696,41.073879080612926
2016-03-31,2016-04-27,0.77,0.62,0.15,24.1935,114.1,37.04545454545454,38.10086771697656
2016-06-30,2016-07-27,0.97,0.82,0.15,18.2927,114.28,29.45360824742268,34.743644778832234
2016-09-30,2016-11-02,1.09,0.97,0.12,12.3711,128.27,29.4197247706422,32.25976018201909
2016-12-31,2017-02-01,1.41,1.31,0.1,7.6336,115.05,20.398936170212767,29.079430933433045
2017-03-31,2017-05-03,1.3,1.12,0.18,16.0714,142.05,27.317307692307693,26.64739422014633
2017-06-30,2017-07-26,1.32,1.13,0.19,16.8142,150.98,28.594696969696965,26.432666400714908
2017-09-30,2017-11-01,1.59,1.28,0.31,24.2188,170.87,26.86635220125786,25.79432325836882
2017-12-31,2018-01-31,2.21,1.95,0.26,13.3333,176.46,19.961538461538463,25.68497383120025
2018-03-31,2018-04-25,1.69,1.35,0.34,25.1852,159.79,23.63757396449704,24.76504039924758
2018-06-30,2018-07-25,1.74,1.72,0.02,1.1628,194.32,27.91954022988505,24.596251214294604
2018-09-30,2018-10-30,1.76,1.47,0.29,19.7279,162.44,23.07386363636364,23.64812907307105
2018-12-31,2019-01-30,2.38,2.19,0.19,8.6758,131.09,13.769957983193278,22.10023395348475
2019-03-31,2019-04-24,1.89,1.63,0.26,15.9509,168.7,22.314814814814813,21.7695441660642
2019-06-30,2019-07-24,1.99,1.88,0.11,5.8511,193.0,24.246231155778894,20.851216897537658
2019-09-30,2019-10-30,2.12,1.91,0.21,10.9948,178.08,21.0,20.332750988446747
2019-12-31,2020-01-29,2.56,2.53,0.03,1.1858,205.25,20.0439453125,21.901247820773428
2020-03-31,2020-04-29,1.71,1.75,-0.04,-2.2857,166.8,24.385964912280706,22.419035345139903
2020-06-30,2020-07-30,1.8,1.39,0.41,29.4964,227.07,31.5375,24.241852556195177
2020-09-30,2020-10-29,2.4,1.91,0.49,25.6545,261.9,27.28125,25.812165056195177
2020-12-31,2021-01-27,3.88,3.22,0.66,20.4969,273.16,17.600515463917528,25.20130759404956
2021-03-31,2021-04-28,3.3,2.37,0.93,39.2405,294.53,22.312878787878788,24.68303606294908
2021-06-30,2021-07-28,3.61,3.03,0.58,19.1419,347.71,24.07963988919668,22.818571035248247
2021-09-30,2021-10-25,3.22,3.19,0.03,0.9404,339.39,26.350155279503102,22.585797355124026
2021-12-31,2022-02-02,3.67,3.84,-0.17,-4.4271,336.35,22.912125340599456,23.913699824294504
2022-03-31,2022-04-27,2.72,2.56,0.16,6.25,222.36,20.4375,23.444855127324807
2022-06-30,2022-07-27,2.46,2.59,-0.13,-5.0193,161.25,16.38719512195122,21.521743935513445
2022-09-30,2022-10-26,1.64,1.89,-0.25,-13.2275,135.68,20.682926829268293,20.10493682295474
2022-12-31,2023-02-01,1.76,2.22,-0.46,-20.7207,120.34,17.09375,18.65034298780488
2023-03-31,2023-04-26,2.2,2.03,0.17,8.3744,211.94,24.084090909090907,19.56199071507761
2023-06-30,2023-07-26,2.98,2.92,0.06,2.0548,286.98,24.0755033557047,21.48406777351597
