fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-16,0.63,0.63,0.0,0.0,23.69,9.400793650793652,9.400793650793652
1996-06-30,1996-07-16,0.66,0.66,0.0,0.0,23.69,8.973484848484848,8.973484848484848
1996-09-30,1996-10-22,0.67,0.67,0.0,0.0,23.69,8.83955223880597,8.83955223880597
1996-12-31,1997-01-29,0.6,0.6,0.0,0.0,23.69,9.870833333333334,9.271166017854451
1997-03-31,1997-04-16,0.73,0.73,0.0,0.0,23.69,8.113013698630137,8.949221029813572
1997-06-30,1997-07-22,0.76,0.76,0.0,0.0,23.69,7.792763157894737,8.654040607166044
1997-09-30,1997-10-21,0.78,0.78,0.0,0.0,23.69,7.592948717948718,8.342389726951732
1997-12-31,1998-01-28,0.66,0.66,0.0,0.0,23.69,8.973484848484848,8.11805260573961
1998-03-31,1998-04-21,0.77,0.79,-0.02,-2.5316,23.69,7.691558441558442,8.012688791471687
1998-06-30,1998-07-21,0.82,0.82,0.0,0.0,23.69,7.222560975609757,7.870138245900441
1998-09-30,1998-10-20,0.81,0.83,-0.02,-2.4096,23.69,7.311728395061729,7.799833165178694
1998-12-31,1999-01-27,0.72,0.72,0.0,0.0,23.69,8.225694444444445,7.612885564168593
1999-03-31,1999-04-20,0.8,0.79,0.01,1.2658,23.69,7.403125,7.540777203778982
1999-06-30,1999-07-20,0.84,0.85,-0.01,-1.1765,23.69,7.050595238095239,7.497785769400354
1999-09-30,1999-10-19,0.84,0.87,-0.03,-3.4483,23.69,7.050595238095239,7.43250248015873
1999-12-31,2000-01-26,0.77,0.78,-0.01,-1.2821,23.0,7.467532467532467,7.242961985930736
2000-03-31,2000-04-18,0.89,0.9,-0.01,-1.1111,20.75,5.828651685393258,6.849343657279052
2000-06-30,2000-07-18,0.95,0.95,0.0,0.0,26.56,6.989473684210527,6.834063268807872
2000-09-30,2000-10-17,0.99,0.99,0.0,0.0,29.44,7.434343434343435,6.930000317869922
2000-12-31,2001-01-31,0.87,0.88,-0.01,-1.1364,44.0,12.64367816091954,8.22403674121669
2001-03-31,2001-04-17,0.95,0.94,0.01,1.0638,47.45,12.48684210526316,9.888584346184164
2001-06-30,2001-07-18,1.03,1.03,0.0,0.0,49.5,12.014563106796116,11.144856701830562
2001-09-30,2001-10-17,1.07,1.07,0.0,0.0,49.37,11.53504672897196,12.170032525487697
2001-12-31,2002-01-30,0.99,0.99,0.0,0.0,45.85,11.578282828282829,11.903683692328515
2002-03-31,2002-04-17,1.14,1.13,0.01,0.885,53.2,11.666666666666668,11.698639832679394
2002-06-30,2002-07-18,1.24,1.23,0.01,0.813,44.96,9.064516129032258,10.96112808823843
2002-09-30,2002-10-17,1.26,1.26,0.0,0.0,38.8,7.698412698412698,10.001969580598614
2002-12-31,2003-01-29,0.93,0.92,0.01,1.087,40.53,10.89516129032258,9.83118919610855
2003-03-31,2003-04-16,1.07,1.06,0.01,0.9434,29.96,7.0,8.664522529441884
2003-06-30,2003-07-17,1.26,1.19,0.07,5.8824,45.44,9.015873015873016,8.652361751152073
2003-09-30,2003-10-16,1.23,1.21,0.02,1.6529,43.8,8.902439024390244,8.953368332646459
2003-12-31,2004-01-28,1.06,1.06,0.0,0.0,54.42,12.83490566037736,9.438304425160156
2004-03-31,2004-04-20,1.16,1.13,0.03,2.6549,54.45,11.73491379310345,10.622032873436016
2004-06-30,2004-07-20,1.25,1.28,-0.03,-2.3438,50.05,10.01,10.870564619467764
2004-09-30,2004-10-19,1.24,1.25,-0.01,-0.8,47.04,9.483870967741936,11.015922605305686
2004-12-31,2005-01-26,1.08,1.06,0.02,1.8868,61.1,14.143518518518515,11.343075819840976
2005-03-31,2005-04-20,1.24,1.23,0.01,0.813,65.39,13.183467741935484,11.705214307048983
2005-06-30,2005-07-20,1.32,1.34,-0.02,-1.4925,64.66,12.24621212121212,12.264267337352017
2005-09-30,2005-10-19,1.38,1.33,0.05,3.7594,73.71,13.353260869565217,13.231614812807834
2005-12-31,2006-01-31,1.17,1.17,0.0,0.0,74.72,15.965811965811966,13.687188174631196
2006-03-31,2006-04-20,1.28,1.28,0.0,0.0,70.86,13.83984375,13.851282176647326
2006-06-30,2006-07-25,1.41,1.37,0.04,2.9197,73.43,13.019503546099292,14.04460503286912
2006-09-30,2006-10-25,1.39,1.41,-0.02,-1.4184,76.55,13.767985611510792,14.148286218355512
2006-12-31,2007-01-31,1.27,1.22,0.05,4.0984,85.82,16.893700787401574,14.380258423752917
2007-03-31,2007-04-19,1.03,1.05,-0.02,-1.9048,87.81,21.313106796116504,16.24857418528204
2007-06-30,2007-07-18,1.15,1.13,0.02,1.7699,70.14,15.247826086956524,16.80565482049635
2007-09-30,2007-10-17,1.21,1.14,0.07,6.1404,69.77,14.415289256198347,16.967480731668235
2007-12-31,2008-01-30,1.0,0.97,0.03,3.0928,75.58,18.895,17.467805534817842
2008-03-31,2008-04-24,0.37,0.37,0.0,0.0,22.2,15.0,15.889528835788717
2008-06-30,2008-07-31,0.46,0.45,0.01,2.2222,20.56,11.17391304347826,14.871050574919153
2008-09-30,2008-10-23,0.46,0.44,0.02,4.5455,19.84,10.782608695652174,13.962880434782608
2008-12-31,2009-01-29,0.37,0.37,0.0,0.0,15.06,10.175675675675675,11.783049353701529
2009-03-31,2009-04-22,0.39,0.38,0.01,2.6316,16.02,10.269230769230768,10.600357046009218
2009-06-30,2009-07-22,0.5,0.47,0.03,6.383,16.39,8.195,9.855628785139654
2009-09-30,2009-10-21,0.48,0.46,0.02,4.3478,17.81,9.276041666666666,9.478987027893275
2009-12-31,2010-01-28,0.39,0.4,-0.01,-2.5,19.63,12.583333333333332,10.080901442307692
2010-03-31,2010-04-21,0.42,0.4,0.02,5.0,20.52,12.214285714285715,10.567165178571427
2010-06-30,2010-07-21,0.5,0.5,0.0,0.0,20.04,10.02,11.023415178571428
2010-09-30,2010-10-20,0.54,0.52,0.02,3.8462,24.02,11.12037037037037,11.484497354497352
2010-12-31,2011-01-27,0.44,0.44,0.0,0.0,24.62,13.988636363636363,11.835823112073111
2011-03-31,2011-04-20,0.44,0.44,0.0,0.0,26.03,14.789772727272728,12.479694865319864
2011-06-30,2011-07-20,0.53,0.53,0.0,0.0,26.41,12.45754716981132,13.089081657772695
2011-09-30,2011-10-27,0.56,0.56,0.0,0.0,26.81,11.968749999999998,13.301176565180103
2011-12-31,2012-01-27,0.5,0.49,0.01,2.0408,29.65,14.825,13.51026747427101
2012-03-31,2012-04-26,0.49,0.49,0.0,0.0,30.87,15.75,13.750324292452827
2012-06-30,2012-07-24,0.59,0.57,0.02,3.5088,34.55,14.639830508474576,14.295895127118644
2012-09-30,2012-10-25,0.58,0.58,0.0,0.0,33.64,14.500000000000002,14.928707627118644
2012-12-31,2013-01-31,0.55,0.55,0.0,0.0,31.44,14.290909090909093,14.795184899845918
2013-03-31,2013-04-25,0.54,0.53,0.01,1.8868,34.3,15.879629629629628,14.827592307253324
2013-06-30,2013-07-23,0.62,0.63,-0.01,-1.5873,35.38,14.266129032258066,14.734166938199197
2013-09-30,2013-10-24,0.65,0.64,0.01,1.5625,34.35,13.211538461538462,14.412051553583812
2013-12-31,2014-01-30,0.57,0.58,-0.01,-1.7241,38.39,16.837719298245617,15.048754105417942
2014-03-31,2014-04-24,0.57,0.57,0.0,0.0,37.43,16.416666666666668,15.183013364677205
2014-06-30,2014-07-22,0.65,0.66,-0.01,-1.5152,41.94,16.13076923076923,15.649173414304991
2014-09-30,2014-10-30,0.69,0.68,0.01,1.4706,45.94,16.644927536231883,16.50752068297835
2014-12-31,2015-01-30,0.66,0.66,0.0,0.0,49.27,18.66287878787879,16.963810555386644
