fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-18,0.06,0.05,0.01,20.0,92.37,384.87500000000006,384.87500000000006
1996-06-30,1996-07-22,0.05,0.05,0.0,0.0,92.37,461.85,461.85
1996-09-30,1996-10-21,0.06,0.06,0.0,0.0,92.37,384.87500000000006,384.87500000000006
1996-12-31,1997-01-17,0.07,0.06,0.01,16.6667,92.37,329.8928571428571,390.3732142857143
1997-03-31,1997-04-17,0.1,0.08,0.02,25.0,92.37,230.925,351.88571428571424
1997-06-30,1997-07-17,0.1,0.1,0.0,0.0,92.37,230.925,294.1544642857143
1997-09-30,1997-10-20,0.09,0.09,0.0,0.0,92.37,256.58333333333337,262.0815476190476
1997-12-31,1998-01-21,0.11,0.1,0.01,10.0,92.37,209.9318181818182,232.0912878787879
1998-03-31,1998-04-22,0.13,0.12,0.01,8.3333,92.37,177.6346153846154,218.76869172494173
1998-06-30,1998-07-16,0.13,0.12,0.01,8.3333,92.37,177.6346153846154,205.44609557109558
1998-09-30,1998-10-20,0.14,0.12,0.02,16.6667,92.37,164.94642857142856,182.53686938061935
1998-12-31,1999-01-19,0.18,0.15,0.03,20.0,92.37,128.29166666666669,162.1268315018315
1999-03-31,1999-04-20,0.19,0.16,0.03,18.75,92.37,121.53947368421053,148.1030460767303
1999-06-30,1999-07-19,0.2,0.18,0.02,11.1111,92.37,115.4625,132.56001723057645
1999-09-30,1999-10-19,0.19,0.17,0.02,11.7647,92.37,121.53947368421053,121.70827850877194
1999-12-31,2000-01-18,0.24,0.21,0.03,14.2857,116.75,121.61458333333334,120.0390076754386
2000-03-31,2000-04-20,0.22,0.2,0.02,10.0,106.25,120.73863636363636,119.83879834529506
2000-06-30,2000-07-18,0.22,0.21,0.01,4.7619,80.0,90.9090909090909,113.70044607256779
2000-09-30,2000-10-18,0.23,0.21,0.02,9.5238,60.31,65.55434782608695,99.7041646080369
2000-12-31,2001-01-18,0.24,0.23,0.01,4.3478,43.38,45.18750000000001,80.59739377470356
2001-03-31,2001-04-19,0.22,0.21,0.01,4.7619,54.69,62.14772727272727,65.94966650197628
2001-06-30,2001-07-19,0.22,0.21,0.01,4.7619,73.0,82.95454545454545,63.96103013833992
2001-09-30,2001-10-18,0.22,0.2,0.02,10.0,51.79,58.85227272727273,62.28551136363637
2001-12-31,2002-01-17,0.25,0.21,0.04,19.0476,66.25,66.25,67.55113636363636
2002-03-31,2002-04-18,0.25,0.25,0.0,0.0,60.38,60.38,67.10920454545455
2002-06-30,2002-07-18,0.21,0.21,0.0,0.0,52.66,62.69047619047619,62.04318722943723
2002-09-30,2002-10-17,0.28,0.21,0.07,33.3333,43.74,39.05357142857142,57.093511904761904
2002-12-31,2003-01-16,0.27,0.23,0.04,17.3913,51.7,47.87037037037037,52.49860449735449
2003-03-31,2003-04-15,0.27,0.24,0.03,12.5,24.21,22.416666666666664,43.007771164021165
2003-06-30,2003-07-17,0.23,0.24,-0.01,-4.1667,25.64,27.869565217391305,34.30254342074994
2003-09-30,2003-10-23,0.3,0.29,0.01,3.4483,27.8,23.166666666666668,30.330817230273748
2003-12-31,2004-01-22,0.34,0.3,0.04,13.3333,27.37,20.125,23.394474637681157
2004-03-31,2004-04-22,0.34,0.29,0.05,17.2414,24.93,18.330882352941174,22.37302855924979
2004-06-30,2004-07-22,0.28,0.29,-0.01,-3.4483,28.56,25.499999999999996,21.78063725490196
2004-09-30,2004-10-21,0.31,0.3,0.01,3.3333,27.65,22.298387096774192,21.56356736242884
2004-12-31,2005-01-27,0.35,0.33,0.02,6.0606,26.72,19.085714285714285,21.303745933857414
2005-03-31,2005-04-28,0.32,0.32,0.0,0.0,24.17,18.8828125,21.44172847062212
2005-06-30,2005-07-21,0.32,0.31,0.01,3.2258,24.84,19.40625,19.91829097062212
2005-09-30,2005-10-27,0.31,0.3,0.01,3.3333,25.73,20.75,19.531194196428572
2005-12-31,2006-01-26,0.33,0.33,0.0,0.0,26.15,19.81060606060606,19.712417140151516
2006-03-31,2006-04-27,0.32,0.33,-0.01,-3.0303,27.21,21.2578125,20.306167140151516
2006-06-30,2006-07-20,0.31,0.3,0.01,3.3333,23.3,18.790322580645164,20.152185285312807
2006-09-30,2006-10-26,0.35,0.31,0.04,12.9032,27.35,19.53571428571429,19.848613856741377
2006-12-31,2007-01-25,0.26,0.23,0.03,13.0435,29.86,28.71153846153846,22.073846956974478
2007-03-31,2007-04-26,0.49,0.46,0.03,6.5217,27.87,14.219387755102042,20.31424077074999
2007-06-30,2007-07-19,0.39,0.39,0.0,0.0,29.47,18.89102564102564,20.339416535845107
2007-09-30,2007-10-25,0.45,0.39,0.06,15.3846,29.7701,16.538944444444443,19.590224075527644
2007-12-31,2008-01-24,0.5,0.46,0.04,8.6957,35.6,17.8,16.862339460143033
2008-03-31,2008-04-24,0.47,0.44,0.03,6.8182,28.38,15.095744680851064,17.081428691580285
2008-06-30,2008-07-17,0.46,0.47,-0.01,-2.1277,27.51,14.95108695652174,16.09644402045431
2008-09-30,2008-10-23,0.48,0.47,0.01,2.1277,26.69,13.901041666666668,15.436968326009868
2008-12-31,2009-01-22,0.47,0.49,-0.02,-4.0816,19.44,10.340425531914894,13.572074708988591
2009-03-31,2009-04-23,0.39,0.39,0.0,0.0,18.37,11.775641025641026,12.742048795186081
2009-06-30,2009-07-23,0.36,0.36,0.0,0.0,23.77,16.506944444444446,13.13101316716676
2009-09-30,2009-10-23,0.4,0.32,0.08,25.0,25.72,16.075,13.674502750500091
2009-12-31,2010-01-28,0.74,0.59,0.15,25.4237,30.48,10.297297297297298,13.663720691845693
2010-03-31,2010-04-22,0.45,0.42,0.03,7.1429,29.2875,16.270833333333332,14.78751876876877
2010-06-30,2010-07-22,0.51,0.46,0.05,10.8696,23.01,11.279411764705882,13.480635598834127
2010-09-30,2010-10-28,0.62,0.55,0.07,12.7273,24.49,9.875,11.930635598834128
2010-12-31,2011-01-27,0.77,0.68,0.09,13.2353,27.91,9.061688311688311,11.621733352431882
2011-03-31,2011-04-28,0.61,0.56,0.05,8.9286,25.39,10.405737704918034,10.155459445328058
2011-06-30,2011-07-21,0.69,0.58,0.11,18.9655,26.0,9.420289855072465,9.690678967919702
2011-09-30,2011-10-20,0.68,0.68,0.0,0.0,24.89,9.150735294117647,9.509612791449115
2011-12-31,2012-01-19,0.78,0.76,0.02,2.6316,25.96,8.320512820512821,9.324318918655242
2012-03-31,2012-04-19,0.6,0.57,0.03,5.2632,32.255,13.439583333333335,10.082780325759067
2012-06-30,2012-07-19,0.67,0.62,0.05,8.0645,30.59,11.414179104477611,10.581252638110353
2012-09-30,2012-10-18,0.53,0.56,-0.03,-5.3571,29.49,13.910377358490564,11.771163154203581
2012-12-31,2013-01-24,0.76,0.75,0.01,1.3333,26.7097,8.786085526315789,11.887556330654323
2013-03-31,2013-04-18,0.72,0.68,0.04,5.8824,28.61,9.934027777777779,11.011167441765435
2013-06-30,2013-07-18,0.66,0.75,-0.09,-12.0,34.36,13.015151515151514,11.411410544433911
2013-09-30,2013-10-24,0.62,0.54,0.08,14.8148,33.28,13.419354838709678,11.288654914488689
2013-12-31,2014-01-23,0.78,0.68,0.1,14.7059,37.41,11.990384615384613,12.089729686755897
2014-03-31,2014-04-24,0.68,0.63,0.05,7.9365,40.99,15.069852941176471,13.37368597760557
2014-06-30,2014-07-22,0.55,0.6,-0.05,-8.3333,41.7,18.954545454545453,14.858534462454054
2014-09-30,2014-10-23,0.54,0.49,0.05,10.2041,46.36,21.462962962962962,16.869436493517377
2014-12-31,2015-01-26,0.75,0.71,0.04,5.6338,46.45,15.483333333333334,17.742673673004553
2015-03-31,2015-04-23,0.61,0.51,0.1,19.6078,40.655,16.66188524590164,18.14068174918585
2015-06-30,2015-07-21,0.6,0.56,0.04,7.1429,44.15,18.395833333333332,18.001003718882817
2015-09-30,2015-10-22,0.67,0.59,0.08,13.5593,44.2,16.492537313432837,16.758397306500285
2015-12-31,2016-01-28,0.78,0.71,0.07,9.8592,55.48,17.78205128205128,17.333076793679773
2016-03-31,2016-04-21,0.62,0.64,-0.02,-3.125,55.23,22.27016129032258,18.735145804785006
2016-06-30,2016-07-19,0.69,0.58,0.11,18.9655,51.17,18.53985507246377,18.771151239567615
2016-09-30,2016-10-20,0.76,0.68,0.08,11.7647,57.6,18.94736842105263,19.384859016472564
2016-12-31,2017-01-26,0.84,0.79,0.05,6.3291,62.14,18.49404761904762,19.562858100721648
2017-03-31,2017-04-27,0.73,0.7,0.03,4.2857,65.86,22.554794520547947,19.63401640827799
2017-06-30,2017-07-20,0.98,0.71,0.27,38.0282,68.93,17.58418367346939,19.395098558529398
2017-09-30,2017-10-26,0.84,0.72,0.12,16.6667,74.49,22.169642857142858,20.200667167551952
2017-12-31,2018-01-31,0.96,0.86,0.1,11.6279,85.54,22.276041666666668,21.146165679456715
2018-03-31,2018-04-26,0.95,0.85,0.1,11.7647,91.27,24.018421052631577,21.51207231247762
2018-06-30,2018-07-19,1.13,1.08,0.05,4.6296,98.61,21.81637168141593,22.57011931446426
2018-09-30,2018-10-24,1.14,0.96,0.18,18.75,115.61,25.3530701754386,23.365976144038196
2018-12-31,2019-01-30,1.1,1.09,0.01,0.9174,101.57,23.084090909090907,23.567988454644254
2019-03-31,2019-04-24,1.14,1.0,0.14,14.0,119.02,26.10087719298246,24.088602489731976
2019-06-30,2019-07-18,1.37,1.21,0.16,13.2231,135.68,24.75912408759124,24.8242905912758
2019-09-30,2019-10-23,1.38,1.25,0.13,10.4,139.03,25.186594202898554,24.78267159814079
2019-12-31,2020-01-29,1.51,1.32,0.19,14.3939,157.7,26.109271523178805,25.538966751662763
2020-03-31,2020-04-29,1.4,1.26,0.14,11.1111,157.71,28.162500000000005,26.05437245341715
2020-06-30,2020-07-22,1.46,1.34,0.12,8.9552,203.51,34.84760273972603,28.57649211645085
2020-09-30,2020-10-27,1.82,1.54,0.28,18.1818,210.33,28.891483516483518,29.50271444484709
2020-12-31,2021-01-26,2.03,1.64,0.39,23.7805,222.42,27.391625615763548,29.823302967993275
2021-03-31,2021-04-27,1.95,1.78,0.17,9.5506,235.77,30.22692307692308,30.339408737224044
2021-06-30,2021-07-27,2.17,1.92,0.25,13.0208,270.9,31.209677419354836,29.429927407131245
2021-09-30,2021-10-26,2.27,2.07,0.2,9.6618,281.92,31.048458149779737,29.9691710654553
2021-12-31,2022-01-25,2.48,2.31,0.17,7.3593,336.32,33.903225806451616,31.597071113127313
2022-03-31,2022-04-26,2.22,2.19,0.03,1.3699,308.31,34.71959459459459,32.72023899254519
2022-06-30,2022-07-26,2.23,2.29,-0.06,-2.6201,256.83,28.792600896860986,32.115969861921734
