fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
2002-06-30,2002-08-28,-0.0939,,,,14.39,-38.312034078807244,-38.312034078807244
2002-09-30,2002-10-18,-0.0055,-0.01,0.0045,45.0,9.7,-440.9090909090909,-440.9090909090909
2002-12-31,2003-01-15,-0.0117,-0.01,-0.0017,-17.0,11.01,-235.25641025641025,-235.25641025641025
2003-03-31,2003-04-17,-0.0142,-0.01,-0.0042,-42.0,20.35,-358.27464788732397,-268.1880457829081
2003-06-30,2003-07-17,0.01,0.01,0.0,0.0,25.55,638.75,-98.92253726320627
2003-09-30,2003-10-15,0.01,0.01,0.0,0.0,33.56,839.0,221.05473546406645
2003-12-31,2004-01-21,0.01,0.01,0.0,0.0,54.69,1367.25,621.681338028169
2004-03-31,2004-04-15,-0.0161,,,,34.12,-529.8136645962733,578.7965838509317
2004-06-30,2004-07-15,0.02,0.02,0.0,0.0,36.0,450.0,531.6090838509317
2004-09-30,2004-10-14,0.05,0.05,0.0,0.0,15.42,77.1,341.1340838509317
2004-12-31,2005-01-24,0.02,0.01,0.01,100.0,12.33,154.125,37.85283385093169
2005-03-31,2005-04-21,-0.01,-0.03,0.02,66.6667,10.85,-271.25,102.49375
2005-06-30,2005-07-25,0.02,,,,16.41,205.125,41.275
2005-09-30,2005-10-19,0.03,0.02,0.01,50.0,25.99,216.58333333333331,76.14583333333333
2005-12-31,2006-01-24,0.02,0.02,0.0,0.0,27.06,338.25,122.17708333333331
2006-03-31,2006-04-24,0.01,0.01,0.0,0.0,28.99,724.75,371.1770833333333
2006-06-30,2006-07-24,0.03,0.03,0.0,0.0,27.21,226.75000000000003,376.5833333333333
2006-09-30,2006-10-23,0.03,0.02,0.01,50.0,22.78,189.83333333333334,369.89583333333337
2006-12-31,2007-01-24,0.03,0.02,0.01,50.0,25.86,215.5,339.20833333333337
2007-03-31,2007-04-18,0.02,0.02,0.0,0.0,23.19,289.875,230.48958333333334
2007-06-30,2007-07-23,0.05,0.03,0.02,66.6667,19.39,96.95,198.03958333333335
2007-09-30,2007-10-22,0.03,0.02,0.01,50.0,21.22,176.83333333333334,194.78958333333333
2007-12-31,2008-01-23,0.03,0.02,0.01,50.0,26.62,221.83333333333334,196.37291666666667
2008-03-31,2008-04-21,0.03,0.03,0.0,0.0,34.65,288.75,196.0916666666667
2008-06-30,2008-07-25,0.06,0.06,0.0,0.0,26.07,108.625,199.01041666666669
2008-09-30,2008-10-20,0.05,0.04,0.01,25.0,30.88,154.39999999999998,193.40208333333334
2008-12-31,2009-01-26,0.05,0.05,0.0,0.0,29.89,149.45,175.30624999999998
