fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-02-29,1996-03-14,0.05,0.05,0.0,0.0,56.31,281.55,281.55
1996-05-31,1996-07-09,0.07,0.06,0.01,16.6667,56.31,201.10714285714283,201.10714285714283
1996-08-31,1996-09-16,0.1,0.09,0.01,11.1111,56.31,140.775,140.775
1996-11-30,1996-12-18,0.08,0.07,0.01,14.2857,56.31,175.96875,199.85022321428568
1997-02-28,1997-03-20,0.1,0.09,0.01,11.1111,56.31,140.775,164.6564732142857
1997-05-31,1997-07-01,0.07,0.07,0.0,0.0,56.31,201.10714285714283,164.6564732142857
1997-08-31,1997-09-19,0.11,0.11,0.0,0.0,56.31,127.97727272727272,161.4570413961039
1997-11-30,1997-12-18,0.06,0.07,-0.01,-14.2857,56.31,234.62500000000003,176.1211038961039
1998-02-28,1998-03-18,0.03,0.03,0.0,0.0,56.31,469.25000000000006,258.2398538961039
1998-05-31,1998-06-30,0.01,,,,56.31,1407.75,559.9005681818181
1998-08-31,1998-09-17,0.07,0.06,0.01,16.6667,56.31,201.10714285714283,578.1830357142858
1998-11-30,1998-12-17,0.03,0.03,0.0,0.0,56.31,469.25000000000006,636.8392857142858
1999-02-28,1999-03-18,0.06,0.05,0.01,20.0,56.31,234.62500000000003,578.1830357142858
1999-05-31,1999-06-30,0.05,0.05,0.0,0.0,56.31,281.55,296.63303571428577
1999-08-31,1999-09-17,0.09,0.08,0.01,12.5,56.31,156.41666666666669,285.4604166666667
1999-11-30,1999-12-16,0.05,0.04,0.01,25.0,46.0,230.0,225.64791666666667
2000-02-29,2000-03-16,0.07,0.06,0.01,16.6667,28.44,101.57142857142856,192.3845238095238
2000-05-31,2000-06-29,0.06,0.06,0.0,0.0,42.5,177.08333333333334,166.26785714285717
2000-08-31,2000-09-14,0.1,0.09,0.01,11.1111,39.58,98.95,151.90119047619046
2000-11-30,2000-12-19,0.06,0.06,0.0,0.0,42.63,177.62500000000003,138.8074404761905
2001-02-28,2001-03-20,0.04,0.04,0.0,0.0,39.05,244.0625,174.43020833333335
2001-05-31,2001-06-28,0.08,0.07,0.01,14.2857,41.1,128.4375,162.26875
2001-08-31,2001-09-20,0.09,0.09,0.0,0.0,50.0,138.88888888888889,172.25347222222223
2001-11-30,2001-12-20,0.06,0.06,0.0,0.0,52.99,220.79166666666669,183.04513888888889
2002-02-28,2002-03-21,0.06,0.06,0.0,0.0,58.86,245.25,183.34201388888889
2002-05-31,2002-06-27,0.1,0.09,0.01,11.1111,53.75,134.375,184.8263888888889
2002-08-31,2002-09-18,0.1,0.1,0.0,0.0,43.18,107.95,177.09166666666667
2002-11-30,2002-12-19,0.07,0.07,0.0,0.0,44.78,159.92857142857142,161.87589285714284
2003-02-28,2003-03-19,0.06,0.06,0.0,0.0,46.37,193.2083333333333,148.8654761904762
2003-05-31,2003-06-26,0.12,0.12,0.0,0.0,55.99,116.64583333333334,144.43318452380953
2003-08-31,2003-09-18,0.12,0.11,0.01,9.0909,56.98,118.70833333333331,147.12276785714286
2003-11-30,2003-12-18,0.08,0.08,0.0,0.0,67.85,212.03125,160.1484375
2004-02-29,2004-03-18,0.09,0.09,0.0,0.0,73.53,204.25,162.90885416666669
2004-05-31,2004-06-24,0.14,0.14,0.0,0.0,71.03,126.83928571428572,165.45721726190476
2004-08-31,2004-09-20,0.15,0.14,0.01,7.1429,75.31,125.51666666666668,167.15930059523808
2004-11-30,2004-12-16,0.12,0.11,0.01,9.0909,84.66,176.375,158.2452380952381
