fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1999-04-30,1999-05-18,0.02,0.01,0.01,100.0,23.5,293.75,293.75
1999-07-31,1999-08-18,0.02,0.02,0.0,0.0,23.5,293.75,293.75
1999-10-31,1999-11-18,0.01,0.02,-0.01,-50.0,23.5,587.5,587.5
2000-01-31,2000-02-15,0.01,0.01,0.0,0.0,37.06,926.5,525.375
2000-04-30,2000-05-16,0.01,0.01,0.0,0.0,92.0,2300.0,1026.9375
2000-07-31,2000-08-21,0.01,0.01,0.0,0.0,60.0,1500.0,1328.5
2000-10-31,2000-11-09,0.01,0.01,0.0,0.0,62.14,1553.5,1570.0
2001-01-31,2001-02-15,0.01,0.02,-0.01,-50.0,51.63,1290.75,1661.0625
2001-04-30,2001-05-22,0.02,0.02,0.0,0.0,83.3,1041.25,1346.375
2001-07-31,2001-08-14,0.02,0.02,0.0,0.0,80.9,1011.25,1224.1875
2001-10-31,2001-11-08,0.02,0.02,0.0,0.0,42.86,535.75,969.75
2002-01-31,2002-02-14,0.04,0.03,0.01,33.3333,65.74,410.87499999999994,749.78125
2002-04-30,2002-05-22,0.04,0.04,0.0,0.0,34.81,217.5625,543.859375
2002-07-31,2002-08-15,0.01,0.01,0.0,0.0,11.07,276.75,360.234375
2002-10-31,2002-11-07,0.01,0.01,0.0,0.0,11.9,297.5,300.671875
2003-01-31,2003-02-13,0.01,0.02,-0.01,-50.0,10.32,258.0,262.453125
2003-04-30,2003-05-08,0.01,0.01,0.0,0.0,14.27,356.75,297.25
2003-07-31,2003-08-07,0.01,0.01,0.0,0.0,19.09,477.25,347.375
2003-10-31,2003-11-06,0.01,0.01,0.0,0.0,17.64,441.0,383.25
2004-01-31,2004-02-12,0.03,0.01,0.02,200.0,22.25,185.41666666666669,365.1041666666667
2004-04-30,2004-05-06,0.02,0.01,0.01,100.0,20.52,256.5,340.0416666666667
2004-07-31,2004-08-05,0.02,0.01,0.01,100.0,15.42,192.75,268.9166666666667
2004-10-31,2004-11-04,0.02,0.01,0.01,100.0,14.78,184.75,204.85416666666669
2005-01-31,2005-02-17,0.03,0.02,0.01,50.0,22.92,191.00000000000003,206.25
2005-04-30,2005-05-12,0.06,0.02,0.04,200.0,21.93,91.375,164.96875
2005-07-31,2005-08-11,0.03,0.03,0.0,0.0,27.47,228.91666666666666,174.01041666666666
2005-10-31,2005-11-09,0.04,0.03,0.01,33.3333,33.55,209.68749999999997,180.24479166666666
2006-01-31,2006-02-16,0.04,0.04,0.0,0.0,44.96,281.0,202.74479166666666
2006-04-30,2006-05-11,0.05,0.05,0.0,0.0,30.9,154.49999999999997,218.52604166666666
2006-07-31,2006-08-10,0.0375,,,,22.14,147.60000000000002,198.196875
2006-10-31,2006-11-09,0.07,0.06,0.01,16.6667,34.87,124.53571428571426,176.90892857142856
2007-01-31,2007-02-13,0.09,0.07,0.02,28.5714,30.65,85.13888888888889,127.94365079365079
2007-04-30,2007-05-10,0.07,0.06,0.01,16.6667,32.89,117.46428571428571,118.68472222222222
2007-07-31,2007-08-09,0.09,0.07,0.02,28.5714,45.76,127.11111111111111,113.56249999999999
2007-10-31,2007-11-08,0.11,0.09,0.02,22.2222,35.38,80.40909090909092,102.53084415584416
2008-01-31,2008-02-13,0.12,0.12,0.0,0.0,24.59,51.22916666666667,94.05341360028861
2008-04-30,2008-05-08,0.09,0.1,-0.01,-10.0,20.55,57.083333333333336,78.95817550505052
2008-07-31,2008-08-12,0.03,0.03,0.0,0.0,11.44,95.33333333333333,71.01373106060606
2008-10-31,2008-11-06,0.05,0.03,0.02,66.6667,8.76,43.8,61.86145833333333
2009-01-31,2009-02-10,-0.04,-0.02,-0.02,-100.0,7.95,-49.6875,36.63229166666667
2009-04-30,2009-05-07,-0.02,-0.03,0.01,33.3333,11.48,-143.5,-13.513541666666665
2009-07-31,2009-08-06,0.02,-0.01,0.03,300.0,12.93,161.625,3.0593749999999993
2009-10-31,2009-11-05,0.05,0.03,0.02,66.6667,11.96,59.800000000000004,7.059375000000003
2010-01-31,2010-02-17,0.06,0.05,0.01,20.0,16.57,69.04166666666667,36.741666666666674
2010-04-30,2010-05-13,0.06,0.05,0.01,20.0,15.71,65.45833333333334,88.98125
2010-07-31,2010-08-12,0.01,0.03,-0.02,-66.6667,9.19,229.74999999999997,106.0125
2010-10-31,2010-11-11,0.04,0.04,0.0,0.0,12.04,75.25,109.87500000000001
2011-01-31,2011-02-16,0.06,0.04,0.02,50.0,23.92,99.66666666666667,117.53125
2011-04-30,2011-05-12,0.06,0.05,0.01,20.0,20.0,83.33333333333334,122.0
2011-07-31,2011-08-11,0.06,0.06,0.0,0.0,14.57,60.708333333333336,79.73958333333334
2011-10-31,2011-11-10,0.07,0.06,0.01,16.6667,14.8,52.857142857142854,74.14136904761905
2012-01-31,2012-02-15,0.05,0.05,0.0,0.0,14.77,73.85,67.68720238095239
2012-04-30,2012-05-11,0.03,0.02,0.01,50.0,13.0,108.33333333333334,73.93720238095239
2012-07-31,2012-08-09,0.06,0.04,0.02,50.0,13.54,56.416666666666664,72.86428571428571
2012-10-31,2012-11-08,0.08,0.07,0.01,14.2857,11.975,37.421875,69.00546875
2013-01-31,2013-02-13,0.07,0.06,0.01,16.6667,12.26,43.78571428571428,61.48939732142857
2013-04-30,2013-05-09,0.03,0.02,0.01,50.0,13.77,114.75,63.093563988095234
2013-07-31,2013-08-08,0.04,0.03,0.01,33.3333,14.435,90.21875,71.54408482142857
2013-10-31,2013-11-07,0.05,0.05,0.0,0.0,15.189,75.945,81.17486607142857
2014-01-31,2014-02-12,0.06,0.05,0.01,20.0,15.7,65.41666666666667,86.58260416666667
2014-04-30,2014-05-06,0.05,0.04,0.01,25.0,18.47,92.35,80.98260416666666
2014-07-31,2014-08-07,0.06,0.05,0.01,20.0,17.5,72.91666666666667,76.65708333333333
2014-10-31,2014-11-06,0.08,0.07,0.01,14.2857,19.54,61.06249999999999,72.93645833333333
2015-01-31,2015-02-11,0.09,0.07,0.02,28.5714,19.205,53.34722222222222,69.91909722222222
2015-04-30,2015-05-07,0.06,0.06,0.0,0.0,22.195,92.47916666666667,69.95138888888889
2015-07-31,2015-08-06,0.04,0.03,0.01,33.3333,19.95,124.6875,82.89409722222223
2015-10-31,2015-11-05,0.11,0.06,0.05,83.3333,28.37,64.47727272727273,83.74779040404042
2016-01-31,2016-02-17,0.09,0.08,0.01,12.5,29.3,81.3888888888889,90.75820707070709
2016-04-30,2016-05-12,0.08,0.08,0.0,0.0,35.53,111.03125,95.39622790404042
2016-07-31,2016-08-11,0.1,0.09,0.01,11.1111,56.73,141.825,99.68060290404041
2016-10-31,2016-11-10,0.21,0.14,0.07,50.0,71.16,84.71428571428571,104.73985615079366
2017-01-31,2017-02-09,0.25,0.21,0.04,19.0476,109.18,109.18,111.68763392857143
2017-04-30,2017-05-09,0.2,0.16,0.04,25.0,106.64,133.29999999999998,117.25482142857142
2017-07-31,2017-08-10,0.23,0.17,0.06,35.2941,162.51,176.64130434782606,125.95889751552795
2017-10-31,2017-11-09,0.33,0.24,0.09,37.5,206.81,156.6742424242424,143.94888669301713
2018-01-31,2018-02-08,0.39,0.29,0.1,34.4828,245.8,157.56410256410257,156.04491233404275
2018-04-30,2018-05-10,0.51,0.4,0.11,27.5,224.9,110.24509803921569,150.28118684384668
2018-07-31,2018-08-16,0.49,0.44,0.05,11.3636,244.86,124.92857142857144,137.353003614033
2018-10-31,2018-11-15,0.46,0.47,-0.01,-2.1277,210.83,114.58152173913044,126.82982344275504
2019-01-31,2019-02-14,0.2,0.19,0.01,5.2632,143.75,179.6875,132.36067280172938
2019-04-30,2019-05-16,0.22,0.2,0.02,10.0,181.0,205.6818181818182,156.21985283738002
2019-07-31,2019-08-15,0.31,0.29,0.02,6.8966,168.72,136.06451612903226,159.00383901249523
2019-10-31,2019-11-14,0.45,0.39,0.06,15.3846,201.02,111.67777777777778,158.27790302215706
2020-01-31,2020-02-13,0.47,0.42,0.05,11.9048,236.43,125.76063829787235,144.79618759662515
2020-04-30,2020-05-21,0.45,0.42,0.03,7.1429,292.28,162.37777777777777,133.97017749561502
2020-07-31,2020-08-19,0.55,0.49,0.06,12.2449,424.59,192.99545454545452,148.2029120997206
2020-10-31,2020-11-18,0.73,0.64,0.09,14.0625,501.36,171.6986301369863,163.20812518952272
2021-01-31,2021-02-24,0.78,0.7,0.08,11.4286,529.48,169.7051282051282,174.1942476663367
2021-04-30,2021-05-26,0.92,0.82,0.1,12.1951,600.38,163.14673913043478,174.38648800450096
2021-07-31,2021-08-18,1.04,1.01,0.03,2.9703,194.99,46.87259615384615,137.85577340659887
2021-10-31,2021-11-17,1.17,1.11,0.06,5.4054,258.27,55.18589743589744,108.72759023132664
2022-01-31,2022-02-16,1.32,1.22,0.1,8.1967,244.86,46.375,77.8950581800446
2022-04-30,2022-05-25,1.36,1.29,0.07,5.4264,185.47,34.09375,45.6318108974359
2022-07-31,2022-08-24,0.51,1.26,-0.75,-59.5238,184.41,90.3970588235294,56.512926564856706
2022-10-31,2022-11-16,0.58,0.69,-0.11,-15.942,134.97,58.17672413793104,57.26063324036511
2023-01-31,2023-02-22,0.88,0.81,0.07,8.642,195.37,55.502840909090914,59.54259346763784
2023-04-30,2023-05-24,1.09,0.92,0.17,18.4783,289.1,66.30733944954129,67.59599083002317
