fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-30,0.24,0.23,0.01,4.3478,33.56,34.958333333333336,34.958333333333336
1996-06-30,1996-07-23,0.35,0.35,0.0,0.0,33.56,23.97142857142857,23.97142857142857
1996-09-30,1996-10-15,0.32,0.35,-0.03,-8.5714,33.56,26.21875,26.21875
1996-12-31,1997-02-04,0.24,0.33,-0.09,-27.2727,33.56,34.958333333333336,30.02671130952381
1997-03-31,1997-04-29,0.27,0.24,0.03,12.5,33.56,31.074074074074076,29.055646494708995
1997-06-30,1997-07-22,0.4,0.37,0.03,8.1081,33.56,20.975,28.306539351851853
1997-09-30,1997-10-22,0.35,0.36,-0.01,-2.7778,33.56,23.97142857142857,27.744708994708997
1997-12-31,1998-02-03,0.29,0.31,-0.02,-6.4516,33.56,28.931034482758623,26.23788428206532
1998-03-31,1998-04-28,0.24,0.23,0.01,4.3478,33.56,34.958333333333336,27.208949096880133
1998-06-30,1998-07-16,0.33,0.33,0.0,0.0,33.56,25.424242424242426,28.32125970294074
1998-09-30,1998-10-13,0.37,0.4,-0.03,-7.5,33.56,22.67567567567568,27.997321479002515
1998-12-31,1999-02-01,0.24,0.23,0.01,4.3478,33.56,34.958333333333336,29.504146191646196
1999-03-31,1999-04-22,0.25,0.25,0.0,0.0,33.56,33.56,29.15456285831286
1999-06-30,1999-07-20,0.31,0.3,0.01,3.3333,33.56,27.06451612903226,29.56463128451032
1999-09-30,1999-10-06,0.34,0.33,0.01,3.0303,33.56,24.676470588235293,30.064830012650223
1999-12-31,2000-02-09,0.33,0.31,0.02,6.4516,35.25,26.704545454545453,28.00138304295325
2000-03-31,2000-04-19,0.29,0.28,0.01,3.5714,34.88,30.068965517241384,27.128624422263595
2000-06-30,2000-07-13,0.38,0.36,0.02,5.5556,44.44,29.23684210526316,27.67170591632132
2000-09-30,2000-10-04,0.4,0.39,0.01,2.5641,46.0,28.75,28.6900882692625
2000-12-31,2001-02-05,0.38,0.38,0.0,0.0,49.56,32.60526315789474,30.165267695099818
2001-03-31,2001-04-23,0.34,0.32,0.02,6.25,43.95,32.31617647058823,30.72707043343653
2001-06-30,2001-07-19,0.44,0.43,0.01,2.3256,44.2,25.113636363636367,29.69626899802984
2001-09-30,2001-10-10,0.48,0.46,0.02,4.3478,48.94,25.48958333333333,28.88116483136317
2001-12-31,2002-02-06,0.42,0.42,0.0,0.0,48.69,28.982142857142858,27.975384756175195
2002-03-31,2002-04-23,0.38,0.37,0.01,2.7027,51.43,33.83552631578947,28.355222217475507
2002-06-30,2002-07-08,0.52,0.52,0.0,0.0,49.02,23.567307692307693,27.968640049643337
2002-09-30,2002-10-08,0.54,0.55,-0.01,-1.8182,36.95,17.10648148148148,25.87286458668038
2002-12-31,2003-02-06,0.5,0.5,0.0,0.0,42.22,21.11,23.90482887239466
2003-03-31,2003-04-17,0.4,0.42,-0.02,-4.7619,40.0,25.0,21.695947293447293
2003-06-30,2003-07-10,0.54,0.58,-0.04,-6.8966,44.5,20.60185185185185,20.95458333333333
2003-09-30,2003-10-07,0.58,0.62,-0.04,-6.4516,45.83,19.754310344827587,21.61654054916986
2003-12-31,2004-02-05,0.52,0.51,0.01,1.9608,46.62,22.413461538461537,21.94240593378524
2004-03-31,2004-04-15,0.46,0.46,0.0,0.0,53.85,29.26630434782609,23.008982020741765
2004-06-30,2004-07-15,0.61,0.61,0.0,0.0,53.88,22.081967213114755,23.37901086105749
2004-12-31,2005-02-03,0.58,0.58,0.0,0.0,52.2,22.500000000000004,24.065433274850594
2005-03-31,2005-04-14,0.53,0.5,0.03,6.0,53.03,25.014150943396224,24.71560562608427
2005-06-30,2005-07-12,0.7,0.67,0.03,4.4776,53.93,19.26071428571429,22.21420811055632
2005-12-31,2006-02-08,0.65,0.65,0.0,0.0,59.08,22.72307692307692,22.37448553804685
2006-03-31,2006-04-26,0.6,0.58,0.02,3.4483,57.79,24.079166666666666,22.769277204713525
2006-06-30,2006-07-13,0.8,0.77,0.03,3.8961,60.04,18.7625,21.206364468864468
2006-09-30,2006-10-12,0.88,0.86,0.02,2.3256,65.26,18.53977272727273,21.02612907925408
2006-12-31,2007-02-08,0.72,0.72,0.0,0.0,62.55,21.71875,20.77504734848485
2007-03-31,2007-04-25,0.65,0.61,0.04,6.5574,63.56,24.446153846153845,20.86679414335665
2007-06-30,2007-07-24,0.94,0.89,0.05,5.618,64.85,17.247340425531913,20.48800424973962
2007-09-30,2007-10-11,0.99,0.96,0.03,3.125,74.01,18.68939393939394,20.52540955276993
2007-12-31,2008-02-07,0.8,0.79,0.01,1.2658,75.9,23.71875,21.02540955276993
2008-03-31,2008-04-24,0.7,0.7,0.0,0.0,72.2,25.78571428571429,21.36029966266004
2008-06-30,2008-07-23,1.03,1.02,0.01,0.9804,63.59,15.434466019417476,20.907081061131425
2008-09-30,2008-10-14,1.06,1.08,-0.02,-1.8519,71.27,16.808962264150942,20.43697314232068
2008-12-31,2009-02-13,0.88,0.88,0.0,0.0,54.77,15.559659090909092,18.39720041504795
2009-03-31,2009-04-20,0.71,0.67,0.04,5.9701,51.48,18.12676056338028,16.482461984464447
2009-06-30,2009-07-22,1.02,1.0,0.02,2.0,54.96,13.470588235294118,15.991492538433608
2009-09-30,2009-10-08,1.08,1.03,0.05,4.8544,58.66,13.578703703703702,15.183927898321798
2009-12-31,2010-02-11,0.9,0.9,0.0,0.0,60.8,16.88888888888889,15.516235347816748
2010-03-31,2010-04-22,0.76,0.75,0.01,1.3333,66.16,21.76315789473684,16.42533468065589
2010-06-30,2010-07-20,1.1,1.08,0.02,1.8519,60.95,13.852272727272728,16.520755803650538
2010-09-30,2010-10-07,1.22,1.22,0.0,0.0,66.44,13.614754098360656,16.52976840231478
2010-12-31,2011-02-10,1.05,1.04,0.01,0.9615,65.33,15.554761904761904,16.196236656283034
2011-03-31,2011-04-28,0.74,0.73,0.01,1.3699,64.41,21.760135135135133,16.195480966382604
2011-06-30,2011-07-21,1.21,1.21,0.0,0.0,70.43,14.551652892561986,16.370326007704918
2011-09-30,2011-10-12,1.31,1.3,0.01,0.7692,61.9,11.81297709923664,15.919881757923916
2011-12-31,2012-02-09,1.15,1.13,0.02,1.7699,66.35,14.42391304347826,15.637169542603004
2012-03-31,2012-04-26,0.69,0.67,0.02,2.9851,66.35,24.03985507246377,16.207099526935163
2012-06-30,2012-07-25,1.12,1.09,0.03,2.7523,70.66,15.772321428571429,16.512266660937524
2012-09-30,2012-10-17,1.2,1.16,0.04,3.4483,70.65,14.718750000000002,17.238709886128365
2012-12-31,2013-02-14,1.09,1.05,0.04,3.8095,68.43,15.694954128440369,17.556470157368892
2013-03-31,2013-04-18,0.77,0.71,0.06,8.4507,79.1,25.68181818181818,17.966960934707494
2013-06-30,2013-07-24,1.31,1.19,0.12,10.084,82.04,15.656488549618322,17.93800271496922
2013-09-30,2013-10-16,1.24,1.17,0.07,5.9829,79.5,16.028225806451612,18.26537166658212
2013-12-31,2014-02-13,1.05,1.01,0.04,3.9604,82.94,19.747619047619047,19.27853789637679
2014-03-31,2014-04-17,0.83,0.75,0.08,10.6667,83.5,25.150602409638555,19.145733953331884
2014-06-30,2014-07-23,1.32,1.23,0.09,7.3171,89.34,16.920454545454547,19.46172545229094
2014-09-30,2014-10-09,1.36,1.29,0.07,5.4264,93.09,17.112132352941178,19.732702088913328
2014-12-31,2015-02-11,1.12,1.08,0.04,3.7037,94.56,21.10714285714285,20.072583041294283
2015-03-31,2015-04-23,0.83,0.79,0.04,5.0633,95.62,28.80120481927711,20.98523364370392
2015-06-30,2015-07-09,1.32,1.24,0.08,6.4516,93.34,17.678030303030305,21.174627583097863
2015-09-30,2015-10-06,1.35,1.26,0.09,7.1429,94.3,17.462962962962962,21.26233523560331
2015-12-31,2016-02-11,1.06,1.06,0.0,0.0,99.92,23.56603773584905,21.877058955279857
2016-03-31,2016-04-18,0.89,0.81,0.08,9.8765,102.48,28.786516853932586,21.87338696394373
2016-06-30,2016-07-07,1.35,1.3,0.05,3.8462,105.94,19.61851851851852,22.35850901781578
2016-12-31,2017-02-15,1.2,1.16,0.04,3.4483,104.63,21.797916666666666,23.442247443741703
2017-03-31,2017-04-26,0.94,0.92,0.02,2.1739,111.86,29.75,24.98823800977944
2017-06-30,2017-07-11,1.44,1.4,0.04,2.8571,115.49,20.05034722222222,22.80419560185185
2017-09-30,2017-10-04,1.48,1.43,0.05,3.4965,111.43,18.822635135135137,22.60522475600601
2017-12-31,2018-02-13,1.31,1.3,0.01,0.7692,119.92,22.885496183206108,22.877119635140865
2018-03-31,2018-04-26,0.96,0.93,0.03,3.2258,109.15,28.424479166666668,22.545739426807536
2018-06-30,2018-07-10,1.61,1.52,0.09,5.9211,108.87,16.90527950310559,21.759472497028376
2018-09-30,2018-10-02,1.59,1.57,0.02,1.2739,110.71,17.407232704402514,21.40562188934522
2018-12-31,2019-02-15,1.49,1.49,0.0,0.0,110.48,18.536912751677853,20.31847603146316
2019-03-31,2019-04-17,0.97,0.92,0.05,5.4348,122.0,31.443298969072167,21.07318098206453
2019-06-30,2019-07-09,1.54,1.5,0.04,2.6667,131.87,21.40746753246753,22.19872798940502
2019-09-30,2019-10-03,1.56,1.5,0.06,4.0,137.1,21.971153846153843,23.33970827484285
2019-12-31,2020-02-13,1.45,1.44,0.01,0.6944,136.67,23.56379310344828,24.596428362785453
2020-03-31,2020-04-28,1.07,1.03,0.04,3.8835,120.1,28.0607476635514,23.750790536405265
2020-06-30,2020-07-13,1.32,1.25,0.07,5.6,132.26,25.049242424242426,24.661234259348983
2020-09-30,2020-10-01,1.66,1.49,0.17,11.4094,138.6,20.873493975903614,24.386819291786427
2020-12-31,2021-02-11,1.47,1.46,0.01,0.6849,148.3,25.221088435374156,24.801143124767897
2021-03-31,2021-04-15,1.21,1.12,0.09,8.0357,141.45,29.225206611570247,25.09225786177261
2021-06-30,2021-07-13,1.72,1.53,0.19,12.4183,148.17,21.536337209302324,24.214031558037583
2021-09-30,2021-10-05,1.79,1.73,0.06,3.4682,150.41,21.006983240223462,24.24740387411755
2021-12-31,2022-02-10,1.53,1.52,0.01,0.6579,173.71,28.383986928104576,25.038128497300157
2022-03-31,2022-04-26,1.29,1.23,0.06,4.878,167.38,32.43798449612403,25.8413229684386
2022-06-30,2022-07-12,1.86,1.74,0.12,6.8966,166.66,22.4005376344086,26.05737307471517
2022-09-30,2022-10-12,1.97,1.84,0.13,7.0652,163.26,20.718274111675125,25.98519579257808
2022-12-31,2023-02-09,1.67,1.65,0.02,1.2121,180.66,27.04491017964072,25.65042660546212
2023-03-31,2023-04-25,1.5,1.39,0.11,7.9137,182.3,30.383333333333336,25.136763814764443
2023-06-30,2023-07-13,2.09,1.96,0.13,6.6327,185.22,22.1555023923445,25.07550500424842
2023-09-30,2023-10-10,2.25,2.15,0.1,4.6512,169.44,18.826666666666668,24.60260314299631
