fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
2020-06-30,2020-09-30,0.01,0.0,0.01,,9.5,237.5,237.5
2020-09-30,2020-11-12,0.09,0.02,0.07,350.0,9.5,26.38888888888889,26.38888888888889
2020-12-31,2021-02-16,0.06,0.02,0.04,200.0,23.55,98.125,98.125
2021-03-31,2021-05-11,0.04,0.04,0.0,0.0,23.29,145.5625,126.89409722222223
2021-06-30,2021-08-12,0.04,0.04,0.0,0.0,26.36,164.75,108.70659722222223
2021-09-30,2021-11-09,0.04,0.04,0.0,0.0,24.04,150.25,139.671875
2021-12-31,2022-02-17,0.02,0.04,-0.02,-50.0,18.21,227.625,172.046875
2022-03-31,2022-05-09,0.02,0.04,-0.02,-50.0,13.73,171.625,178.5625
2022-06-30,2022-08-08,-0.01,0.03,-0.04,-133.3333,9.07,-226.75,80.6875
2022-09-30,2022-11-07,0.01,0.02,-0.01,-50.0,8.13,203.25000000000003,93.9375
2022-12-31,2023-02-13,0.04,0.03,0.01,33.3333,6.42,40.125,47.06250000000001
2023-03-31,2023-05-08,0.05,0.04,0.01,25.0,8.45,42.24999999999999,14.71875
2023-06-30,2023-08-07,0.05,0.05,0.0,0.0,15.33,76.64999999999999,90.56875
2023-09-30,2023-11-02,0.07,0.06,0.01,16.6667,16.0,57.14285714285714,54.041964285714286
