fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
2008-03-31,2008-04-23,0.89,0.77,0.12,15.5844,50.58,14.207865168539325,14.207865168539325
2008-06-30,2008-07-23,0.87,0.83,0.04,4.8193,49.39,14.192528735632184,14.192528735632184
2008-09-30,2008-10-22,0.93,0.9,0.03,3.3333,48.1,12.93010752688172,12.93010752688172
2008-12-31,2009-02-04,0.71,0.62,0.09,14.5161,43.51,15.320422535211268,14.162730991566123
2009-03-31,2009-04-23,0.74,0.69,0.05,7.2464,35.58,12.02027027027027,13.61583226699886
2009-06-30,2009-07-23,0.83,0.77,0.06,7.7922,43.62,13.138554216867467,13.352338637307682
2009-09-30,2009-10-22,0.93,0.91,0.02,2.1978,48.74,13.102150537634408,13.395349389995854
2009-12-31,2010-02-11,0.81,0.79,0.02,2.5316,48.19,14.873456790123456,13.283607953723902
2010-03-31,2010-04-22,0.9,0.93,-0.03,-3.2258,52.16,14.488888888888887,13.900762608378557
2010-06-30,2010-07-22,1.0,0.97,0.03,3.0928,45.84,11.46,13.481124054161688
2010-09-30,2010-10-21,1.0,1.01,-0.01,-0.9901,56.02,14.005,13.706836419753088
2010-12-31,2011-02-10,0.97,0.96,0.01,1.0417,58.53,15.085051546391751,13.75973510882016
2011-03-31,2011-04-21,1.06,1.05,0.01,0.9524,65.63,15.478773584905658,14.007206282824354
2011-06-30,2011-07-21,1.34,1.22,0.12,9.8361,66.77,12.457089552238804,14.256478670884055
2011-09-30,2011-10-20,1.37,1.24,0.13,10.4839,62.38,11.383211678832115,13.601031590592084
2011-12-31,2012-02-09,1.1,1.09,0.01,0.9174,78.48,17.836363636363636,14.288859613085055
2012-03-31,2012-04-19,1.25,1.19,0.06,5.042,88.61,17.722,14.84966621685864
2012-06-30,2012-07-19,1.36,1.34,0.02,1.4925,87.26,16.040441176470587,15.745504122916586
2012-09-30,2012-10-18,1.38,1.39,-0.01,-0.7194,90.71,16.432971014492754,17.007943956831745
2012-12-31,2013-02-07,1.24,1.22,0.02,1.6393,83.64,16.862903225806452,16.76457885419245
2013-03-31,2013-04-18,1.29,1.34,-0.05,-3.7313,92.78,17.98062015503876,16.82923389295214
2013-06-30,2013-07-18,1.3,1.41,-0.11,-7.8014,87.53,16.83269230769231,17.02729667575757
2013-09-30,2013-10-17,1.44,1.43,0.01,0.6993,86.59,15.032986111111112,16.677300449912156
2013-12-31,2014-02-06,1.37,1.37,0.0,0.0,87.13,15.899635036496347,16.436483402584635
2014-03-31,2014-04-17,1.19,1.16,0.03,2.5862,81.87,17.199579831932773,16.241223321808135
2014-06-30,2014-07-17,1.41,1.24,0.17,13.7097,84.31,14.948581560283689,15.770195634955982
