fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-25,0.0,0.0,0.0,,27.06,inf,inf
1996-06-30,1996-07-25,0.01,0.01,0.0,0.0,27.06,676.5,676.5
1996-09-30,1996-11-14,0.01,0.01,0.0,0.0,27.06,676.5,676.5
1996-12-31,1997-01-23,0.01,0.01,0.0,0.0,27.06,676.5,inf
1997-03-31,1997-04-24,0.01,0.01,0.0,0.0,27.06,676.5,676.5
1997-06-30,1997-07-24,0.01,0.01,0.0,0.0,27.06,676.5,676.5
1997-09-30,1997-11-13,0.01,0.01,0.0,0.0,27.06,676.5,676.5
1997-12-31,1998-01-22,0.02,0.02,0.0,0.0,27.06,338.25,591.9375
1998-03-31,1998-04-23,0.01,0.01,0.0,0.0,27.06,676.5,591.9375
1998-06-30,1998-07-23,0.01,0.01,0.0,0.0,27.06,676.5,591.9375
1998-09-30,1998-11-12,0.02,0.02,0.0,0.0,27.06,338.25,507.375
1998-12-31,1999-01-21,0.02,0.02,0.0,0.0,27.06,338.25,507.375
1999-03-31,1999-04-22,0.01,0.01,0.0,0.0,27.06,676.5,507.375
1999-06-30,1999-07-22,0.02,0.02,0.0,0.0,27.06,338.25,422.8125
1999-09-30,1999-11-18,0.02,0.02,0.0,0.0,27.06,338.25,422.8125
1999-12-31,2000-01-27,0.02,0.02,0.0,0.0,24.25,303.125,414.03125
2000-03-31,2000-04-27,0.02,0.02,0.0,0.0,44.81,560.125,384.9375
2000-06-30,2000-07-27,0.02,0.02,0.0,0.0,38.19,477.375,419.71875
2000-09-30,2000-11-16,0.03,0.03,0.0,0.0,40.06,333.83333333333337,418.6145833333333
2000-12-31,2001-01-25,0.03,0.03,0.0,0.0,44.25,368.75,435.0208333333333
2001-03-31,2001-04-26,0.02,0.02,0.0,0.0,42.44,530.5,427.61458333333337
2001-06-30,2001-07-26,0.03,0.03,0.0,0.0,23.0,191.66666666666669,356.1875
2001-09-30,2001-11-15,0.04,0.03,0.01,33.3333,14.8,92.5,295.8541666666667
2001-12-31,2002-01-24,0.04,0.04,0.0,0.0,19.05,119.0625,233.43229166666669
2002-03-31,2002-04-25,0.03,0.02,0.01,50.0,23.3,194.16666666666669,149.34895833333334
2002-06-30,2002-07-25,0.04,0.03,0.01,33.3333,24.36,152.25,139.49479166666669
2002-09-30,2002-11-14,0.04,0.04,0.0,0.0,20.64,129.0,148.61979166666669
2002-12-31,2003-01-23,0.05,0.05,0.0,0.0,20.38,101.9,144.32916666666665
2003-03-31,2003-04-24,0.03,0.03,0.0,0.0,25.76,214.66666666666669,149.45416666666665
2003-06-30,2003-07-24,0.04,0.04,0.0,0.0,24.55,153.4375,149.75104166666665
2003-09-30,2003-11-13,0.04,0.04,0.0,0.0,28.8,180.0,162.50104166666668
2003-12-31,2004-01-21,0.07,0.06,0.01,16.6667,33.16,118.4285714285714,166.63318452380952
2004-03-31,2004-04-21,0.05,0.04,0.01,25.0,37.87,189.35,160.30401785714284
2004-06-30,2004-07-21,0.06,0.05,0.01,20.0,43.49,181.20833333333331,167.24672619047618
2004-09-30,2004-11-10,0.06,0.06,0.0,0.0,45.46,189.41666666666669,169.60089285714284
2004-12-31,2005-01-26,0.09,0.09,0.0,0.0,62.36,173.22222222222223,183.2993055555556
2005-03-31,2005-04-27,0.06,0.06,0.0,0.0,51.66,215.25,189.7743055555556
2005-06-30,2005-07-27,0.08,0.07,0.01,14.2857,51.66,161.4375,184.83159722222223
2005-09-30,2005-11-17,0.08,0.07,0.01,14.2857,50.1,156.5625,176.61805555555554
2005-12-31,2006-02-01,0.11,0.1,0.01,10.0,30.01,68.20454545454545,150.36363636363637
2006-03-31,2006-05-03,0.08,0.07,0.01,14.2857,37.63,117.59375,125.94957386363636
2006-06-30,2006-08-02,0.09,0.09,0.0,0.0,37.76,104.88888888888889,111.8124210858586
2006-09-30,2006-11-16,0.09,0.08,0.01,12.5,34.05,94.58333333333331,96.31762941919192
2006-12-31,2007-01-31,0.13,0.13,0.0,0.0,35.42,68.11538461538461,96.2953392094017
2007-03-31,2007-05-03,0.1,0.1,0.0,0.0,31.36,78.39999999999999,86.4969017094017
2007-06-30,2007-08-01,0.11,0.11,0.0,0.0,26.24,59.63636363636363,75.18377039627039
2007-09-30,2007-11-15,0.11,0.1,0.01,10.0,26.3201,59.81840909090909,66.49253933566433
2007-12-31,2008-01-30,0.14,0.14,0.0,0.0,20.47,36.55357142857142,58.60208603896103
2008-03-31,2008-04-30,0.09,0.08,0.01,12.5,17.5,48.61111111111112,51.15486381673881
2008-06-30,2008-07-30,0.08,0.09,-0.01,-11.1111,15.74,49.1875,48.542647907647904
2008-09-30,2008-11-10,0.05,0.07,-0.02,-28.5714,14.87,74.35,52.17554563492063
2008-12-31,2009-01-28,0.08,0.08,0.0,0.0,9.46,29.562500000000004,50.42777777777778
2009-03-31,2009-04-29,0.08,0.07,0.01,14.2857,11.11,34.71875,46.9546875
2009-06-30,2009-07-21,0.12,0.09,0.03,33.3333,13.89,28.937500000000004,41.8921875
2009-09-30,2009-11-05,0.12,0.1,0.02,20.0,20.65,43.02083333333333,34.059895833333336
2009-12-31,2010-01-20,0.17,0.14,0.03,21.4286,23.06,33.91176470588235,35.14721200980392
2010-03-31,2010-04-21,0.14,0.12,0.02,16.6667,24.27,43.33928571428571,37.30234593837535
2010-06-30,2010-07-21,0.14,0.14,0.0,0.0,24.3,43.39285714285714,40.91618522408963
2010-09-30,2010-11-04,0.19,0.16,0.03,18.75,25.55,33.61842105263158,38.56558215391419
2010-12-31,2011-01-26,0.23,0.2,0.03,15.0,32.13,34.923913043478265,38.818619238313175
2011-03-31,2011-04-27,0.17,0.17,0.0,0.0,36.95,54.338235294117645,41.56835663327116
2011-06-30,2011-07-28,0.18,0.17,0.01,5.8824,39.49,54.84722222222223,44.43194790311244
2011-09-30,2011-11-03,0.19,0.18,0.01,5.5556,37.29,49.065789473684205,48.29379000837558
2011-12-31,2012-01-26,0.25,0.24,0.01,4.1667,46.01,46.01,51.06531174750602
2012-03-31,2012-04-26,0.2,0.2,0.0,0.0,55.89,69.8625,54.94637792397661
2012-06-30,2012-07-26,0.22,0.23,-0.01,-4.3478,53.32,60.59090909090909,56.38229964114832
2012-09-30,2012-11-01,0.23,0.22,0.01,4.5455,50.145,54.505434782608695,57.74221096837944
2012-12-31,2013-01-24,0.28,0.29,-0.01,-3.4483,53.63,47.88392857142857,58.210693111236594
