fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
2015-03-31,2015-05-21,-0.0598,,,,25.68,-107.35785953177258,-107.35785953177258
2015-06-30,2015-07-30,-0.03,-0.01,-0.02,-200.0,33.95,-282.9166666666667,-282.9166666666667
2015-09-30,2015-11-04,-0.03,-0.01,-0.02,-200.0,35.2,-293.33333333333337,-293.33333333333337
2015-12-31,2016-02-17,-0.01,-0.01,0.0,0.0,25.8,-645.0,-332.1519648829432
2016-03-31,2016-05-04,-0.01,-0.01,0.0,0.0,28.21,-705.25,-481.62500000000006
2016-06-30,2016-08-03,-0.04,-0.01,-0.03,-300.0,30.76,-192.25,-458.95833333333337
2016-09-30,2016-11-02,-0.02,-0.03,0.01,33.3333,42.92,-536.5,-519.75
2016-12-31,2017-02-15,-0.0995,-0.02,-0.0795,-397.5,42.87,-107.71356783919596,-385.428391959799
2017-03-31,2017-05-02,-0.04,-0.01,-0.03,-300.0,68.09,-425.5625,-315.506516959799
2017-06-30,2017-08-01,-0.01,-0.01,0.0,0.0,86.9,-2172.5,-810.569016959799
2017-09-30,2017-10-31,0.01,-0.02,0.03,150.0,116.49,2912.25,51.618483040201006
2017-12-31,2018-02-15,0.02,0.05,-0.03,-60.0,101.0,1262.5,394.171875
2018-03-31,2018-05-01,0.04,-0.01,0.05,500.0,124.59,778.6875,695.234375
2018-06-30,2018-07-31,0.02,-0.03,0.05,166.6667,145.89,1823.625,1694.265625
2018-09-30,2018-10-25,0.04,-0.02,0.06,300.0,163.42,1021.375,1221.546875
2018-12-31,2019-02-12,0.03,0.02,0.01,50.0,138.45,1153.75,1194.359375
2019-03-31,2019-04-30,0.01,-0.04,0.05,125.0,206.04,5151.0,2287.4375
2019-06-30,2019-08-01,0.01,0.03,-0.02,-66.6667,304.68,7617.0,3735.78125
2019-09-30,2019-10-29,0.02,0.01,0.01,100.0,311.66,3895.750000000001,4454.375
2019-12-31,2020-02-12,0.04,0.02,0.02,100.0,397.58,2484.875,4787.15625
2020-03-31,2020-05-06,0.02,-0.02,0.04,200.0,416.93,5211.625,4802.3125
2020-06-30,2020-07-29,0.11,0.01,0.1,1000.0,949.2,2157.2727272727275,3437.380681818182
2020-09-30,2020-10-29,0.11,0.05,0.06,120.0,1022.97,2324.931818181818,3044.6761363636365
2020-12-31,2021-02-17,0.16,0.13,0.03,23.0769,1131.95,1768.671875,2865.6253551136365
2021-03-31,2021-04-28,0.2,0.07,0.13,185.7143,1106.5,1383.125,1908.5003551136365
2021-06-30,2021-07-28,0.22,0.1,0.12,120.0,1460.98,1660.2045454545455,1784.233309659091
2021-09-30,2021-10-28,0.08,0.12,-0.04,-33.3333,1355.78,4236.8125,2262.2034801136365
2021-12-31,2022-02-16,0.14,0.13,0.01,7.6923,1377.39,2459.625,2434.9417613636365
2022-03-31,2022-05-05,0.02,0.06,-0.04,-66.6667,675.96,8449.5,4201.535511363636
2022-06-30,2022-07-27,-0.03,0.02,-0.05,-250.0,31.24,-260.3333333333333,3721.401041666667
2022-09-30,2022-10-27,-0.02,-0.07,0.05,71.4286,26.94,-336.75,2578.010416666667
2022-12-31,2023-02-15,0.07,-0.01,0.08,800.0,34.71,123.96428571428572,1994.095238095238
2023-03-31,2023-05-04,0.01,-0.04,0.05,125.0,47.94,1198.5,181.34523809523813
2023-06-30,2023-08-02,0.14,0.05,0.09,180.0,64.6,115.35714285714285,275.2678571428572
2023-09-30,2023-11-02,0.24,0.14,0.1,71.4286,54.57,56.84375,373.6662946428572
