fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
2017-03-31,2017-05-04,-1.15,0.0,-1.15,,149.01,-32.393478260869564,-32.393478260869564
2017-06-30,2017-08-04,-1.24,0.0,-1.24,,149.01,-30.042338709677416,-30.042338709677416
2017-09-30,2017-11-04,-1.84,0.0,-1.84,,149.01,-20.24592391304348,-20.24592391304348
2017-12-31,2018-02-28,-0.57,,,,149.01,-65.35526315789474,-37.009251010371294
2018-03-31,2018-05-02,-1.01,-0.37,-0.64,-172.973,149.01,-36.88366336633664,-38.13179728673806
2018-06-30,2018-07-26,-2.2,-0.68,-1.52,-223.5294,168.24,-19.118181818181817,-35.40075806386417
2018-09-30,2018-11-01,0.23,-0.36,0.59,163.8889,180.4,196.08695652173915,18.68246204483148
2018-12-31,2019-02-06,2.32,-0.18,2.5,1388.8889,113.5,12.230603448275865,38.078928696374135
2019-03-31,2019-04-29,-0.79,-0.35,-0.44,-125.7143,140.06,-44.32278481012658,36.219148335426645
2019-06-30,2019-07-31,-0.42,-0.32,-0.1,-31.25,145.29,-86.48214285714286,19.378158075686382
2019-09-30,2019-10-28,0.36,-0.28,0.64,228.5714,114.0,79.16666666666667,-9.851914388081726
2019-12-31,2020-02-05,-1.14,-0.22,-0.92,-418.1818,149.55,-32.79605263157895,-21.10857840804543
2020-03-31,2020-04-29,-0.2,-0.49,0.29,59.1837,121.44,-151.79999999999998,-47.97788220551378
2020-06-30,2020-07-29,-1.91,-0.45,-1.46,-324.4444,258.19,-33.79450261780105,-34.805972145678325
2020-09-30,2020-10-29,-0.58,-0.56,-0.02,-3.5714,242.57,-104.55603448275862,-80.73664743303465
2020-12-31,2021-02-03,-0.66,-0.55,-0.11,-20.0,314.66,-119.18939393939394,-102.3349827599884
2021-03-31,2021-04-28,-0.25,-0.39,0.14,35.8974,267.95,-267.95,-131.3724827599884
2021-06-30,2021-07-28,-0.19,-0.37,0.18,48.6486,275.59,-362.6184210526316,-213.578462368696
2021-09-30,2021-10-27,-0.41,-0.18,-0.23,-127.7778,225.34,-137.40243902439025,-221.79006350410395
2021-12-31,2022-02-02,-0.21,-0.42,0.21,50.0,234.03,-278.6071428571429,-261.6445007335412
2022-03-31,2022-04-27,0.21,-0.24,0.45,187.5,151.02,179.7857142857143,-149.7105721621126
2022-06-30,2022-07-27,-0.85,-0.63,-0.22,-34.9206,93.83,-27.59705882352941,-65.95523160483705
2022-09-30,2022-10-25,-0.99,-0.84,-0.15,-17.8571,86.3,-21.79292929292929,-37.05285417197182
2022-12-31,2023-01-31,-1.4,-1.27,-0.13,-10.2362,78.95,-14.098214285714286,29.07437797088533
2023-03-31,2023-04-25,-1.16,-0.85,-0.31,-36.4706,133.62,-28.79741379310345,-23.07140404881911
2023-06-30,2023-07-25,-1.55,-0.63,-0.92,-146.0317,160.55,-25.89516129032258,-22.645929665517407
2023-09-30,2023-10-24,0.33,-0.22,0.55,250.0,154.64,117.15151515151514,12.090181445593709
