fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-05-31,1996-07-12,0.05,0.06,-0.01,-16.6667,58.63,293.15,293.15
1996-08-31,1996-10-11,0.03,0.03,0.0,0.0,58.63,488.58333333333337,488.58333333333337
1996-11-30,1997-01-14,0.05,0.04,0.01,25.0,58.63,293.15,293.15
1997-02-28,1997-04-28,0.04,0.04,0.0,0.0,58.63,366.4375,360.3302083333333
1997-05-31,1997-07-08,0.06,0.06,0.0,0.0,58.63,244.29166666666669,348.115625
1997-08-31,1997-09-30,0.08,0.06,0.02,33.3333,58.63,183.21875,271.77447916666665
1997-11-30,1997-12-23,0.11,0.09,0.02,22.2222,58.63,133.25,231.79947916666669
1998-02-28,1998-04-09,0.07,0.06,0.01,16.6667,58.63,209.3928571428572,192.53831845238096
1998-05-31,1998-06-24,0.09,0.08,0.01,12.5,58.63,162.86111111111111,172.18067956349205
1998-08-31,1998-09-29,0.1,0.1,0.0,0.0,58.63,146.575,163.01974206349206
1998-11-30,1998-12-22,0.13,0.13,0.0,0.0,58.63,112.75,157.89474206349206
1999-02-28,1999-04-15,0.09,0.09,0.0,0.0,58.63,162.86111111111111,146.26180555555555
1999-05-31,1999-06-23,0.1,0.1,0.0,0.0,58.63,146.575,142.1902777777778
1999-08-31,1999-09-27,0.14,0.13,0.01,7.6923,58.63,104.69642857142856,131.72063492063492
1999-11-30,2000-01-04,0.2,0.19,0.01,5.2632,53.25,66.5625,120.17375992063492
2000-02-29,2000-04-11,0.11,0.1,0.01,10.0,49.0,111.36363636363636,107.29939123376624
2000-05-31,2000-06-22,0.12,0.11,0.01,9.0909,52.38,109.125,97.93689123376625
2000-08-31,2000-09-27,0.18,0.17,0.01,5.8824,53.88,74.83333333333334,90.47111742424244
2000-11-30,2001-01-04,0.23,0.23,0.0,0.0,49.0,53.26086956521739,87.14570981554678
2001-02-28,2001-04-12,0.12,0.12,0.0,0.0,63.85,133.02083333333334,92.56000905797104
2001-05-31,2001-06-28,0.14,0.14,0.0,0.0,38.65,69.01785714285714,82.53322334368531
2001-08-31,2001-10-02,0.21,0.2,0.01,5.0,42.35,50.41666666666667,76.42905667701864
2001-11-30,2002-01-02,0.28,0.27,0.01,3.7037,37.9,33.83928571428571,71.57366071428572
2002-02-28,2002-04-10,0.16,0.16,0.0,0.0,54.35,84.921875,59.54892113095238
2002-05-31,2002-06-26,0.2,0.18,0.02,11.1111,29.47,36.8375,51.503831845238096
2002-08-31,2002-09-25,0.27,0.27,0.0,0.0,28.41,26.30555555555556,45.47605406746031
2002-11-30,2003-01-06,0.35,0.34,0.01,2.9412,23.52,16.8,41.21623263888889
2003-02-28,2003-04-09,0.22,0.2,0.02,10.0,24.63,27.988636363636363,26.982922979797976
2003-05-31,2003-07-01,0.25,0.24,0.01,4.1667,27.57,27.57,24.66604797979798
2003-08-31,2003-09-30,0.32,0.32,0.0,0.0,28.75,22.4609375,23.70489346590909
