fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
2010-06-30,2010-08-05,-0.0271,,,,23.83,-219.83394833948336,-219.83394833948336
2010-09-30,2010-11-09,-0.02,-0.03,0.01,33.3333,20.405,-255.0625,-255.0625
2010-12-31,2011-02-15,-0.03,-0.03,0.0,0.0,26.63,-221.91666666666663,-221.91666666666663
2011-03-31,2011-05-04,-0.03,-0.03,0.0,0.0,27.75,-231.25,-232.0157787515375
2011-06-30,2011-08-03,-0.04,-0.03,-0.01,-33.3333,29.13,-182.0625,-222.57291666666663
2011-09-30,2011-11-02,-0.04,-0.04,0.0,0.0,24.39,-152.4375,-196.91666666666663
2011-12-31,2012-02-15,-0.05,-0.04,-0.01,-25.0,28.56,-142.79999999999998,-177.1375
2012-03-31,2012-05-09,-0.05,-0.05,0.0,0.0,37.24,-186.2,-165.875
2012-06-30,2012-07-25,-0.06,-0.06,0.0,0.0,31.29,-130.375,-152.953125
2012-09-30,2012-11-05,-0.06,-0.06,0.0,0.0,29.16,-121.5,-145.21875
2012-12-31,2013-02-20,-0.04,-0.04,0.0,0.0,33.87,-211.6875,-162.440625
2013-03-31,2013-05-08,0.01,0.04,-0.03,-75.0,43.93,1098.25,158.671875
2013-06-30,2013-08-07,0.01,-0.01,0.02,200.0,117.179,2929.475,923.634375
2013-09-30,2013-11-05,0.01,0.01,0.0,0.0,193.37,4834.25,2162.571875
2013-12-31,2014-02-19,0.02,0.01,0.01,100.0,150.429,1880.3625,2685.584375
2014-03-31,2014-05-07,0.01,0.1,-0.09,-90.0,208.45,5211.25,3713.834375
2014-06-30,2014-07-31,0.01,0.04,-0.03,-75.0,240.06,6001.5,4481.840625
2014-09-30,2014-11-05,0.02,-0.01,0.03,300.0,242.68,3033.5,4031.653125
2014-12-31,2015-02-11,-0.01,0.02,-0.03,-150.0,222.41,-5560.25,2171.5
2015-03-31,2015-05-06,-0.36,-0.5,0.14,28.0,188.77,-131.0902777777778,835.9149305555557
2015-06-30,2015-08-05,-0.03,-0.6,0.57,95.0,268.26,-2235.5,-1223.3350694444443
2015-09-30,2015-11-03,-0.04,-0.04,0.0,0.0,248.4,-1552.5,-2369.8350694444443
2015-12-31,2016-02-10,-0.87,0.1,-0.97,-970.0,240.01,-68.9683908045977,-997.014667145594
2016-03-31,2016-05-04,-0.04,-0.05,0.01,20.0,229.77,-1436.0625,-1323.2577227011493
2016-06-30,2016-08-03,-0.07,-0.04,-0.03,-75.0,212.28,-758.1428571428571,-953.9184369868636
