fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1999-12-31,2000-01-31,0.56,0.55,0.01,1.8182,69.0,30.803571428571427,30.803571428571427
2000-03-31,2000-04-20,0.56,0.53,0.03,5.6604,62.99,28.12053571428571,28.12053571428571
2000-06-30,2000-07-20,0.6,0.6,0.0,0.0,58.9,24.541666666666668,24.541666666666668
2000-09-30,2000-10-19,0.6,0.58,0.02,3.4483,56.38,23.491666666666667,26.739360119047618
2000-12-31,2001-01-30,0.63,0.61,0.02,3.2787,58.75,23.313492063492063,24.866840277777776
2001-03-31,2001-04-19,0.51,0.5,0.01,2.0,56.9,27.892156862745097,24.809745564892623
2001-06-30,2001-07-19,0.55,0.54,0.01,1.8519,57.8,26.27272727272727,25.24251071640777
2001-09-30,2001-10-18,0.5,0.46,0.04,8.6957,50.64,25.32,25.69959404974111
2001-12-31,2002-01-29,0.57,0.5,0.07,14.0,54.5,23.903508771929825,25.847098226850548
2002-03-31,2002-04-18,0.5,0.47,0.03,6.383,60.55,30.275,26.442809011164275
2002-06-30,2002-07-12,0.54,0.54,0.0,0.0,61.23,28.34722222222221,26.96143274853801
2002-09-30,2002-10-22,0.51,0.54,-0.03,-5.5556,62.53,30.65196078431373,28.29442294461644
2002-12-31,2003-01-28,0.59,0.57,0.02,3.5088,63.08,26.728813559322035,29.000749141464496
2003-03-31,2003-04-22,0.52,0.51,0.01,1.9608,57.0,27.40384615384616,28.28296067992603
2003-06-30,2003-07-22,0.61,0.59,0.02,3.3898,63.7,26.10655737704918,27.72279446863277
2003-09-30,2003-10-21,0.62,0.6,0.02,3.3333,63.8,25.725806451612904,26.49125588545757
2003-12-31,2004-01-29,0.7,0.69,0.01,1.4493,74.55,26.625,26.465302495627057
2004-03-31,2004-04-22,0.67,0.62,0.05,8.0645,69.84,26.059701492537314,26.129266330299853
2004-06-30,2004-07-22,0.72,0.71,0.01,1.4085,75.17,26.100694444444446,26.127800597148664
2004-09-30,2004-10-21,0.7,0.72,-0.02,-2.7778,75.92,27.11428571428572,26.47492041281687
2004-12-31,2005-01-27,0.76,0.76,0.0,0.0,85.46,28.11184210526316,26.84663093913266
2005-03-31,2005-04-21,0.78,0.73,0.05,6.8493,72.74,23.31410256410256,26.16023120702397
2005-06-30,2005-07-21,0.88,0.86,0.02,2.3256,69.16,19.64772727272728,24.546989414094675
2005-09-30,2005-10-20,0.86,0.86,0.0,0.0,69.13,20.09593023255814,22.792400543662783
2005-12-31,2006-01-26,0.95,0.96,-0.01,-1.0417,75.15,19.776315789473685,20.708518964715417
2006-03-31,2006-04-20,0.89,0.88,0.01,1.1364,79.38,22.29775280898876,20.454431525936965
2006-06-30,2006-07-25,0.97,1.0,-0.03,-3.0,82.33,21.219072164948454,20.84726774899226
2006-09-30,2006-10-19,0.96,0.9,0.06,6.6667,71.94,18.734375,20.50687894085273
2006-12-31,2007-01-30,1.04,1.04,0.0,0.0,74.98,18.024038461538463,20.06880960886892
2007-03-31,2007-04-25,0.96,0.96,0.0,0.0,70.1,18.25520833333333,19.058173489955063
2007-06-30,2007-07-24,1.04,1.03,0.01,0.9709,73.0,17.548076923076923,18.14042467948718
2007-09-30,2007-10-23,1.05,1.02,0.03,2.9412,75.9,18.071428571428573,17.974688072344325
2007-12-31,2008-01-30,1.13,1.13,0.0,0.0,70.72,15.646017699115044,17.380182881738467
2008-03-31,2008-04-23,0.87,0.87,0.0,0.0,73.02,20.98275862068965,18.062070453577547
2008-06-30,2008-07-22,0.85,0.85,0.0,0.0,61.47,18.07941176470588,18.194904163984788
2008-09-30,2008-10-23,0.96,0.89,0.07,7.8652,62.89,16.377604166666668,17.771448062794313
2008-12-31,2009-02-03,0.83,0.85,-0.02,-2.3529,55.16,16.6144578313253,18.013558095846875
2009-03-31,2009-04-23,0.52,0.56,-0.04,-7.1429,49.22,23.663461538461537,18.683733825289845
2009-06-30,2009-07-23,0.49,0.49,0.0,0.0,49.99,25.50510204081633,20.54015639431746
2009-09-30,2009-10-22,0.55,0.52,0.03,5.7692,56.47,25.66818181818181,22.862800807196244
2009-12-31,2010-02-02,0.75,0.74,0.01,1.3514,57.37,19.12333333333333,23.49001968269825
2010-03-31,2010-04-27,0.71,0.58,0.13,22.4138,64.41,22.67957746478873,23.24404866428005
2010-06-30,2010-07-22,0.84,0.77,0.07,9.0909,56.89,16.93154761904762,21.100660058837875
2010-09-30,2010-10-21,0.93,0.88,0.05,5.6818,66.69,17.927419354838708,19.1654694430021
2010-12-31,2011-02-01,1.08,1.05,0.03,2.8571,72.58,16.800925925925924,18.58486759115025
2011-03-31,2011-04-26,0.88,0.85,0.03,3.5294,74.32,21.113636363636363,18.193382315862152
2011-06-30,2011-07-26,1.05,1.04,0.01,0.9615,72.93,17.364285714285714,18.30156683967168
2011-09-30,2011-10-25,1.06,1.05,0.01,0.9524,63.15,14.8938679245283,17.543178982094076
