fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
2008-03-31,2008-04-28,0.13,0.11,0.02,18.1818,62.36,119.92307692307692,119.92307692307692
2008-06-30,2008-07-30,0.15,0.12,0.03,25.0,81.31,135.51666666666668,135.51666666666668
2008-09-30,2008-10-29,0.14,0.14,0.0,0.0,61.39,109.625,109.625
2008-12-31,2009-02-04,0.2,0.17,0.03,17.6471,52.45,65.5625,107.65681089743588
2009-03-31,2009-04-29,0.18,0.16,0.02,12.5,55.6,77.22222222222223,96.98159722222223
2009-06-30,2009-07-29,0.17,0.16,0.01,6.25,62.26,91.55882352941175,85.9921364379085
2009-09-30,2009-10-27,0.19,0.18,0.01,5.5556,69.11,90.9342105263158,81.31943906948744
2009-12-31,2010-02-03,0.26,0.23,0.03,13.0435,87.46,84.09615384615384,85.95285253102591
2010-03-31,2010-04-28,0.24,0.23,0.01,4.3478,91.03,94.82291666666669,90.353026142137
2010-06-30,2010-07-28,0.24,0.23,0.01,4.3478,70.75,73.69791666666667,85.88779942645074
2010-09-30,2010-10-27,0.27,0.24,0.03,12.5,74.26,68.75925925925925,80.3440616096866
2010-12-31,2011-02-02,0.31,0.3,0.01,3.3333,70.38,56.75806451612903,73.50953927718041
2011-03-31,2011-05-05,0.31,0.3,0.01,3.3333,73.62,59.37096774193549,64.64655204599761
2011-06-30,2011-07-27,0.32,0.31,0.01,3.2258,84.26,65.828125,62.67910412933094
2011-09-30,2011-10-26,0.32,0.31,0.01,3.2258,85.72,66.96875,62.23147681451613
2011-12-31,2012-02-08,0.37,0.36,0.01,2.7778,101.53,68.60135135135135,65.19229852332171
2012-03-31,2012-05-02,0.4,0.38,0.02,5.2632,118.0,73.75,68.78705658783784
2012-06-30,2012-07-25,0.39,0.36,0.03,8.3333,123.63,79.25,72.14252533783784
2012-09-30,2012-10-31,0.39,0.37,0.02,5.4054,136.73,87.64743589743588,77.31219681219682
2012-12-31,2013-02-06,0.46,0.45,0.01,2.2222,151.58,82.3804347826087,80.75696767001115
2013-03-31,2013-05-01,0.48,0.45,0.03,6.6667,167.35,87.16145833333333,84.10983225334448
2013-06-30,2013-07-24,0.47,0.45,0.02,4.4444,185.22,98.52127659574468,88.92765140228065
2013-09-30,2013-10-30,0.46,0.46,0.0,0.0,191.1,103.8586956521739,92.98046634096517
2013-12-31,2014-01-30,0.55,0.54,0.01,1.8519,222.68,101.21818181818182,97.68990309985844
2014-03-31,2014-04-24,0.55,0.55,0.0,0.0,215.86,98.1181818181818,100.42908397107055
2014-06-30,2014-07-24,0.54,0.52,0.02,3.8462,210.71,97.55092592592592,100.18649630361584
2014-09-30,2014-10-29,0.55,0.52,0.03,5.7692,213.37,96.98636363636363,98.4684132996633
2014-12-31,2015-01-29,0.63,0.62,0.01,1.6129,262.2,104.04761904761904,99.1757726070226
2015-03-31,2015-04-30,0.63,0.62,0.01,1.6129,65.41,25.95634920634921,81.13531445406446
2015-06-30,2015-07-23,0.63,0.59,0.04,6.7797,67.15,26.6468253968254,63.40928932178932
2015-09-30,2015-11-02,0.62,0.63,-0.01,-1.5873,69.66,28.088709677419352,46.18487583205325
2015-12-31,2016-01-28,0.69,0.68,0.01,1.4706,77.55,28.097826086956523,27.19742759188762
2016-03-31,2016-04-21,0.68,0.67,0.01,1.4925,76.48,28.11764705882353,27.7377520550062
2016-06-30,2016-07-21,0.69,0.66,0.03,4.5455,74.17,26.873188405797105,27.79434280724913
2016-09-30,2016-10-24,0.78,0.73,0.05,6.8493,82.7,26.50641025641025,27.39876795199685
2016-12-31,2017-02-02,0.86,0.78,0.08,10.2564,78.02,22.680232558139533,26.044369569792607
2017-03-31,2017-04-20,0.86,0.79,0.07,8.8608,88.87,25.8343023255814,25.47353338648207
2017-06-30,2017-07-20,0.86,0.81,0.05,6.1728,93.78,27.261627906976745,25.570643261776983
2017-09-30,2017-10-25,0.9,0.85,0.05,5.8824,105.24,29.23333333333333,26.25237403100775
2017-12-31,2018-02-01,1.08,0.99,0.09,9.0909,114.02,26.393518518518515,27.1806955211025
2018-03-31,2018-04-25,1.11,1.02,0.09,8.8235,119.62,26.94144144144144,27.45748030006751
2018-06-30,2018-07-25,1.2,1.09,0.11,10.0917,132.45,27.59375,27.540510823323324
2018-09-30,2018-10-24,1.21,1.2,0.01,0.8333,150.79,31.15495867768595,28.02091715941148
2018-12-31,2019-01-30,1.3,1.25,0.05,4.0,131.94,25.373076923076923,27.76580676055108
2019-03-31,2019-04-24,1.31,1.24,0.07,5.6452,157.26,30.011450381679385,28.533308995610565
2019-06-30,2019-07-23,1.37,1.32,0.05,3.7879,173.94,31.74087591240876,29.57009047371276
2019-09-30,2019-10-24,1.47,1.43,0.04,2.7972,172.01,29.253401360544217,29.09470114442732
2019-12-31,2020-01-30,1.46,1.46,0.0,0.0,187.9,32.17465753424658,30.79509629721973
2020-03-31,2020-04-30,1.38,1.35,0.03,2.2222,161.12,29.188405797101453,30.58933515107525
2020-06-30,2020-07-28,1.07,1.03,0.04,3.8835,193.17,45.13317757009345,33.93741056549642
2020-09-30,2020-10-28,1.12,1.09,0.03,2.7523,199.97,44.63616071428571,37.7831004039318
2020-12-31,2021-01-28,1.42,1.28,0.14,10.9375,218.73,38.50880281690141,39.36663672459551
2021-03-31,2021-04-27,1.38,1.27,0.11,8.6614,211.73,38.356884057971016,41.6587562898129
2021-06-30,2021-07-27,1.49,1.35,0.14,10.3704,233.82,39.23154362416107,40.1833478033298
2021-09-30,2021-10-26,1.62,1.54,0.08,5.1948,222.75,34.375,37.61805762475838
2021-12-31,2022-01-27,1.81,1.7,0.11,6.4706,216.71,29.93232044198895,35.47393703103026
2022-03-31,2022-04-26,1.79,1.65,0.14,8.4848,221.77,30.97346368715084,33.62808193832522
2022-06-30,2022-07-26,1.98,1.75,0.23,13.1429,196.89,24.859848484848484,30.03515815349707
2022-09-30,2022-10-25,1.93,1.86,0.07,3.7634,177.65,23.01165803108809,27.19432266126909
2022-12-31,2023-01-26,2.18,2.01,0.17,8.4577,207.76,23.82568807339449,25.667664569120475
2023-03-31,2023-04-25,2.09,1.99,0.1,5.0251,225.46,26.968899521531103,24.66652352771554
2023-06-30,2023-07-25,2.16,2.12,0.04,1.8868,237.48,27.486111111111107,25.3230891842812
2023-09-30,2023-10-24,2.33,2.24,0.09,4.0179,230.01,24.679184549356226,25.73997081384823
