fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-04-30,1996-05-14,0.13,0.13,0.0,0.0,56.25,108.17307692307692,108.17307692307692
1996-07-31,1996-08-13,0.16,0.15,0.01,6.6667,56.25,87.890625,87.890625
1996-10-31,1996-11-12,0.15,0.15,0.0,0.0,56.25,93.75,93.75
1997-01-31,1997-02-25,0.24,0.24,0.0,0.0,56.25,58.59375,87.10186298076923
1997-04-30,1997-05-12,0.14,0.14,0.0,0.0,56.25,100.44642857142856,85.17020089285714
1997-07-31,1997-08-12,0.18,0.18,0.0,0.0,56.25,78.125,82.72879464285714
1997-10-31,1997-11-11,0.18,0.17,0.01,5.8824,56.25,78.125,78.82254464285714
1998-01-31,1998-02-24,0.28,0.28,0.0,0.0,56.25,50.22321428571428,76.72991071428571
1998-04-30,1998-05-12,0.19,0.17,0.02,11.7647,56.25,74.01315789473684,70.12159304511277
1998-07-31,1998-08-11,0.23,0.22,0.01,4.5455,56.25,61.141304347826086,65.8756691320693
1998-10-31,1998-11-10,0.23,0.22,0.01,4.5455,56.25,61.141304347826086,61.62974521902582
1999-01-31,1999-02-16,0.35,0.33,0.02,6.0606,56.25,40.17857142857143,59.11858450474011
1999-04-30,1999-05-11,0.25,0.22,0.03,13.6364,56.25,56.25,54.6777950310559
1999-07-31,1999-08-10,0.31,0.28,0.03,10.7143,56.25,45.36290322580645,50.73319475055099
1999-10-31,1999-11-09,0.29,0.28,0.01,3.5714,56.25,48.49137931034483,47.57071349118068
2000-01-31,2000-02-15,0.43,0.42,0.01,2.381,54.75,31.83139534883721,45.48391947124712
2000-04-30,2000-05-09,0.3,0.28,0.02,7.1429,57.94,48.28333333333333,43.49225280458046
2000-07-31,2000-08-09,0.36,0.36,0.0,0.0,55.25,38.36805555555556,41.74354088701773
2000-10-31,2000-11-14,0.31,0.31,0.0,0.0,45.38,36.59677419354839,38.76988960781863
2001-01-31,2001-03-15,0.45,0.45,0.0,0.0,56.8,31.55555555555556,38.70092965949821
2001-04-30,2001-06-15,0.31,0.31,0.0,0.0,51.74,41.7258064516129,37.061547939068106
2001-07-31,2001-09-14,0.37,0.37,0.0,0.0,55.9,37.77027027027027,36.91210161774678
2001-10-31,2001-11-13,0.33,0.33,0.0,0.0,51.4,38.93939393939394,37.49775655420816
2002-01-31,2002-02-19,0.49,0.49,0.0,0.0,59.98,30.60204081632653,37.25937786940091
2002-04-30,2002-05-14,0.37,0.36,0.01,2.7778,55.86,37.74324324324324,36.26373706730849
2002-07-31,2002-08-13,0.46,0.45,0.01,2.2222,49.18,26.72826086956521,33.50323471713223
2002-10-31,2002-11-13,0.41,0.4,0.01,2.5,53.55,32.65243902439025,31.931495988381307
