fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,4. close,PE Ratio,PE Ratio (SMA)
1996-03-31,1996-04-22,0.35,0.33,0.02,6.0606,74.75,53.392857142857146,53.392857142857146
1996-06-30,1996-07-22,0.32,0.33,-0.01,-3.0303,74.75,58.3984375,58.3984375
1996-09-30,1996-10-21,0.31,0.3,0.01,3.3333,74.75,60.28225806451613,60.28225806451613
1996-12-31,1997-01-21,0.42,0.38,0.04,10.5263,74.75,44.49404761904762,54.14190008160522
1997-03-31,1997-04-21,0.44,0.41,0.03,7.3171,74.75,42.47159090909091,51.411583523163664
1997-06-30,1997-07-21,0.4,0.35,0.05,14.2857,74.75,46.71875,48.491661648163664
1997-09-30,1997-10-21,0.37,0.35,0.02,5.7143,74.75,50.50675675675676,46.04778632122382
1997-12-31,1998-01-21,0.5,0.37,0.13,35.1351,74.75,37.375,44.26802441646192
1998-03-31,1998-04-21,0.38,0.34,0.04,11.7647,74.75,49.17763157894737,45.94453458392603
1998-06-30,1998-07-21,0.33,0.32,0.01,3.125,74.75,56.62878787878788,48.422044053623
1998-09-30,1998-10-21,0.29,0.29,0.0,0.0,74.75,64.4396551724138,51.90526865753726
1998-12-31,1999-01-21,0.31,0.3,0.01,3.3333,74.75,60.28225806451613,57.632083173666295
1999-03-31,1999-04-21,0.24,0.23,0.01,4.3478,74.75,77.86458333333334,64.80382111226278
1999-06-30,1999-07-21,0.25,0.27,-0.02,-7.4074,74.75,74.75,69.33412414256581
1999-09-30,1999-10-25,0.31,0.3,0.01,3.3333,74.75,60.28225806451613,68.29477486559139
1999-12-31,2000-01-25,0.39,0.38,0.01,2.6316,80.56,51.64102564102564,66.13446675971878
2000-03-31,2000-04-25,0.48,0.44,0.04,9.0909,78.0,40.625,56.82457092638544
2000-06-30,2000-07-25,0.59,0.53,0.06,11.3208,78.5,33.26271186440678,46.452748892487136
2000-09-30,2000-10-24,0.61,0.45,0.16,35.5556,89.11,36.52049180327869,40.51230732717778
2000-12-31,2001-01-24,0.73,0.62,0.11,17.7419,86.94,29.773972602739725,35.0455440676063
2001-03-31,2001-04-23,0.37,0.67,-0.3,-44.7761,81.0,54.72972972972973,38.571726500038736
2001-06-30,2001-07-24,0.64,0.65,-0.01,-1.5385,87.35,34.12109375,38.78632197143703
2001-09-30,2001-10-23,0.48,0.51,-0.03,-5.8824,39.09,20.359375000000004,34.746042770617365
2001-12-31,2002-01-23,0.42,0.39,0.03,7.6923,39.3,23.392857142857142,33.15076390564672
2002-03-31,2002-04-23,0.31,0.4,-0.09,-22.5,43.83,35.346774193548384,28.30502502160138
