,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,80.0,80.69,77.37,77.62,2487300,78.56,,78.56,,,0
1999-11-02,78.0,81.69,77.31,80.25,3564600,79.75,0.84145706961199,79.155,80.83791413922398,77.47208586077602,0
1999-11-03,81.62,83.25,81.0,81.5,2932700,81.91666666666667,1.7018497561749093,80.07555555555557,83.47925506790538,76.67185604320575,0
1999-11-04,82.06,85.37,80.62,83.62,3384700,83.20333333333333,2.092034938806038,80.8575,85.04156987761208,76.67343012238793,0
1999-11-05,84.62,88.37,84.0,88.31,3721500,86.89333333333333,3.250955927791768,82.06466666666667,88.56657852225021,75.56275481108312,0
1999-11-08,87.75,97.73,86.75,96.37,8490400,93.61666666666667,5.540435201518219,83.99,95.07087040303644,72.90912959696355,1
1999-11-09,94.37,94.5,88.0,89.62,7224800,90.70666666666666,5.659077083690718,84.9495238095238,96.26767797690523,73.63136964214236,0
1999-11-10,88.25,93.25,88.12,91.44,5159800,90.93666666666668,5.650740346915081,85.69791666666666,96.9993973604968,74.3964359728365,0
1999-11-11,91.59,92.62,89.87,92.25,2409600,91.58,5.6377150392865305,86.35148148148147,97.62691156005454,75.0760514029084,0
1999-11-12,91.94,92.0,87.37,90.62,2491600,89.99666666666667,5.438844693952777,86.71599999999998,97.59368938790551,75.83831061209443,0
1999-11-15,89.62,92.87,88.5,89.44,2320600,90.27,5.2698380938462925,87.03909090909089,97.57876709678348,76.4994147213983,0
1999-11-16,90.0,91.75,88.5,91.19,2088000,90.48,5.121835041459183,87.32583333333334,97.5695034162517,77.08216325041496,0
1999-11-17,90.69,94.75,90.0,90.25,3255100,91.66666666666669,5.0494102078652165,87.65974358974358,97.758564005474,77.56092317401315,0
1999-11-18,91.06,91.12,88.44,89.62,3257000,89.72666666666667,4.882665864696861,87.80738095238095,97.57271268177468,78.04204922298723,0
1999-11-19,89.5,92.87,88.06,92.44,2790300,91.12333333333332,4.782318934526889,88.02844444444445,97.59308231349824,78.46380657539066,0
1999-11-22,91.75,91.75,89.25,90.62,1806800,90.54,4.662629503712352,88.18541666666667,97.51067567409136,78.86015765924196,0
1999-11-23,91.75,95.25,88.5,92.81,4851000,92.18666666666668,4.617696565239801,88.42078431372549,97.6561774442051,79.18539118324588,0
1999-11-24,93.0,95.0,91.69,94.69,1920600,93.79333333333334,4.65536159453695,88.71925925925926,98.02998244833316,79.40853607018536,0
1999-11-26,94.75,95.5,94.12,95.06,1179200,94.89333333333332,4.740742875852346,89.0442105263158,98.52569627802048,79.5627247746111,0
1999-11-29,94.25,99.75,93.25,94.56,4144300,95.85333333333334,4.859009645683173,89.38466666666667,99.10268595803302,79.66664737530033,0
1999-11-30,98.12,103.75,97.37,97.87,7528400,99.66333333333334,4.672425078169913,90.43983333333335,99.78468348967318,81.09498317699352,0
1999-12-01,101.0,104.5,100.06,103.06,5522900,102.54,4.707059970645315,91.57933333333334,100.99345327462396,82.1652133920427,1
1999-12-02,103.12,110.62,101.75,110.19,5065700,107.52,5.375054714803795,92.8595,103.6096094296076,82.1093905703924,1
1999-12-03,112.19,115.56,111.87,115.0,5785000,114.14333333333332,6.731031348292467,94.4065,107.86856269658496,80.94443730341507,1
1999-12-06,114.56,117.31,111.44,116.0,4167700,114.91666666666669,7.899975949330479,95.80766666666668,111.60761856532764,80.00771476800571,1
1999-12-07,116.56,118.0,114.0,117.81,3973400,116.60333333333334,9.13933865190212,96.957,115.23567730380424,78.67832269619576,1
1999-12-08,116.25,117.87,109.5,110.06,3681700,112.47666666666667,9.638517713499846,98.0455,117.32253542699968,78.7684645730003,0
1999-12-09,111.0,111.0,100.87,105.25,7635700,105.70666666666666,9.631007404510235,98.784,118.04601480902048,79.52198519097954,0
1999-12-10,105.31,109.25,99.0,103.0,5694300,103.75,9.535881997373725,99.3925,118.46426399474744,80.32073600525257,0
1999-12-13,102.39,102.5,98.94,99.0,4731800,100.14666666666666,9.276069443869282,99.9,118.45213888773856,81.34786111226144,0
1999-12-14,98.37,99.75,94.75,94.87,3891700,96.45666666666666,9.0381347762643,100.20933333333336,118.28560288586196,82.13306378080475,0
1999-12-15,93.25,97.25,91.06,97.0,5562300,95.10333333333334,8.832989220374461,100.4405,118.10647844074892,82.7745215592511,0
1999-12-16,98.0,98.37,94.0,98.31,4141300,96.89333333333332,8.63483949979005,100.70183333333333,117.97151233291342,83.43215433375323,0
1999-12-17,100.87,102.0,98.5,100.0,4419700,100.16666666666669,8.243118503383215,101.22383333333336,117.71007034009978,84.73759632656692,0
