,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,40.5,41.13,40.0,40.31,8656500,40.48,,40.48,,,0
1999-11-02,39.06,39.63,37.56,38.0,22183400,38.39666666666667,1.4731391274719707,39.43833333333333,42.38461158827728,36.49205507838939,0
1999-11-03,37.75,38.25,36.81,36.81,19538700,37.29,1.6197267716546546,38.72222222222222,41.96167576553153,35.48276867891291,0
1999-11-04,37.44,38.25,37.0,37.88,15124600,37.71,1.416036134190554,38.469166666666666,41.30123893504778,35.637094398285555,0
1999-11-05,37.88,38.88,37.88,38.44,13604600,38.4,1.2267133143304316,38.455333333333336,40.9087599619942,36.00190670467247,0
1999-11-08,38.56,38.88,38.44,38.88,9546200,38.73333333333333,1.103059885550693,38.501666666666665,40.70778643776805,36.29554689556528,0
1999-11-09,39.0,39.0,36.75,37.0,11980600,37.583333333333336,1.0650950723890849,38.3704761904762,40.500666335254365,36.24028604569803,0
1999-11-10,36.69,37.19,36.56,37.0,7764200,36.91666666666666,1.112007961459451,38.18875,40.4127659229189,35.9647340770811,0
1999-11-11,38.13,38.25,36.5,36.5,29938300,37.083333333333336,1.103523117838922,38.06592592592593,40.272972161603775,35.85887969024809,0
1999-11-12,36.5,36.88,36.13,36.44,13167300,36.48333333333333,1.1545198884555876,37.90766666666666,40.21670644357784,35.59862688975549,0
1999-11-15,36.44,37.19,36.38,36.63,13534800,36.73333333333333,1.1510836352557243,37.80090909090909,40.10307636142054,35.49874182039765,0
1999-11-16,37.5,38.13,37.25,37.94,16435300,37.77333333333333,1.0975440520215782,37.79861111111111,39.993699215154265,35.60352300706795,0
1999-11-17,37.81,38.06,36.88,37.31,11573100,37.41666666666666,1.0561444151445505,37.76923076923077,39.88151959951987,35.656941938941664,0
1999-11-18,38.5,38.56,37.31,38.0,14108100,37.95666666666667,1.0159465112875343,37.78261904761904,39.81451207019411,35.750726025043974,0
1999-11-19,37.94,38.0,37.5,37.5,9158600,37.66666666666666,0.9794482303719962,37.77488888888889,39.73378534963288,35.815992428144895,0
1999-11-22,38.0,38.94,37.88,38.88,13446400,38.56666666666666,0.9667193232784782,37.824375,39.75781364655696,35.890936353443045,0
1999-11-23,38.44,38.56,37.38,38.0,9020200,37.98,0.936782666740734,37.83352941176471,39.707094745246174,35.95996407828324,0
1999-11-24,38.19,39.0,37.94,38.5,6721500,38.48,0.921497963498577,37.86944444444444,39.7124403714416,36.026448517447285,0
1999-11-26,38.0,38.31,37.81,38.0,3066600,38.04,0.8963894438734306,37.87842105263157,39.67119994037844,36.08564216488471,0
1999-11-29,37.69,38.88,37.56,38.88,8969500,38.44,0.8814717059673847,37.9065,39.66944341193477,36.14355658806523,0
1999-11-30,38.0,38.88,37.63,38.0,9266700,38.17,0.6465528024189431,37.791,39.08410560483788,36.49789439516211,0
1999-12-01,38.0,38.19,37.0,37.44,8490600,37.54333333333333,0.6324837330039558,37.748333333333335,39.013300799341245,36.48336586732543,0
1999-12-02,37.69,37.88,37.25,37.57,5763000,37.56666666666666,0.6249119470137111,37.762166666666666,39.01199056069409,36.51234277263924,0
