,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,19.94,20.44,19.88,20.31,1563700,20.21,,20.21,,,0
1999-11-02,20.31,20.81,20.31,20.56,1898100,20.56,0.2474873734152926,20.385,20.879974746830584,19.89002525316941,0
1999-11-03,20.69,21.5,20.56,21.31,2236000,21.12333333333333,0.4608004308125579,20.63111111111111,21.552711972736223,19.709510249485994,0
1999-11-04,21.13,21.31,19.94,20.63,2415000,20.626666666666665,0.3762485388183777,20.63,21.382497077636756,19.877502922363245,0
1999-11-05,20.75,21.38,20.25,21.25,2148000,20.96,0.357704098693631,20.696,21.41140819738726,19.980591802612736,0
1999-11-08,21.0,21.63,20.94,21.44,1598300,21.33666666666667,0.4132441660093246,20.802777777777777,21.629266109796426,19.97628944575913,0
1999-11-09,21.31,21.38,20.44,21.06,1496500,20.96,0.3818903136244919,20.82523809523809,21.58901872248708,20.06145746798911,0
1999-11-10,21.94,23.0,21.81,23.0,4536200,22.60333333333333,0.7212549688970832,21.0475,22.490009937794166,19.604990062205832,1
1999-11-11,23.13,29.0,22.31,28.25,8333800,26.52,1.944933589268968,21.655555555555555,25.54542273409349,17.765688377017618,1
1999-11-12,27.0,28.0,24.88,26.56,11484800,26.48,2.385369086538255,22.138,26.90873817307651,17.367261826923492,0
1999-11-15,26.69,26.69,25.5,25.56,3578400,25.916666666666668,2.5335777792750647,22.481515151515158,27.548670710065284,17.414359592965024,0
1999-11-16,25.81,26.44,25.25,25.75,3024300,25.813333333333333,2.600106495487981,22.75916666666667,27.959379657642632,17.558953675690706,0
1999-11-17,25.81,27.75,25.81,26.69,5369100,26.75,2.724391486985484,23.06615384615385,28.514936820124813,17.617370872182878,0
1999-11-18,26.75,26.94,25.69,26.0,2651300,26.21,2.74906267742218,23.290714285714284,28.78883964055864,17.792588930869925,0
1999-11-19,26.0,27.31,25.81,27.13,2810300,26.75,2.795588020605394,23.52133333333333,29.11250937454412,17.930157292122548,0
1999-11-22,26.25,27.25,26.25,26.94,1967800,26.813333333333333,2.8234058432247315,23.727083333333333,29.3738950197828,18.08027164688387,0
1999-11-23,26.81,27.0,25.75,26.81,2415600,26.52,2.816423327462888,23.89137254901961,29.524219203945385,18.25852589409384,0
1999-11-24,27.25,28.0,27.06,27.25,3166200,27.436666666666667,2.8572577579603906,24.08833333333333,29.802848849254115,18.373817817412554,0
1999-11-26,27.5,28.13,26.75,27.69,1880400,27.52333333333333,2.886413435583615,24.269122807017546,30.04194967818477,18.496295935850316,0
