,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,68.06,71.88,66.31,69.13,12824100,69.10666666666667,,69.10666666666667,,,0
1999-11-02,69.75,70.0,65.06,66.44,13243200,67.16666666666667,1.3717871555019006,68.13666666666667,70.88024097767047,65.39309235566287,0
1999-11-03,68.19,68.5,65.0,65.81,10772100,66.43666666666667,1.3799396122053074,67.57000000000001,70.32987922441062,64.8101207755894,0
1999-11-04,67.19,67.19,61.0,63.06,16759200,63.75,2.2175637282587606,66.61500000000001,71.05012745651753,62.17987254348249,0
1999-11-05,64.75,65.5,62.25,64.94,11091400,64.23,2.1967787022517014,66.138,70.5315574045034,61.7444425954966,0
1999-11-08,64.81,80.0,63.5,78.0,32339400,73.83333333333333,3.70545029002574,67.42055555555557,74.83145613560704,60.009654975504084,1
1999-11-09,80.88,83.06,70.0,70.81,26477100,74.62333333333333,4.34204996327747,68.44952380952381,77.13362373607875,59.765423882968875,0
1999-11-10,71.56,75.0,70.13,72.0,11506700,72.37666666666667,4.252982683523317,68.94041666666666,77.44638203371329,60.43445129962003,0
1999-11-11,74.75,75.0,71.38,73.0,9293900,73.12666666666667,4.215930106947535,69.40555555555555,77.83741576945062,60.97369534166048,0
1999-11-12,73.75,75.0,70.81,74.94,10319600,73.58333333333333,4.188621860041765,69.82333333333334,78.20057705341686,61.44608961324981,0
1999-11-15,75.63,76.0,73.31,73.5,6437200,74.27,4.19376073362669,70.22757575757576,78.61509722482914,61.840054290322385,0
1999-11-16,74.25,79.63,73.75,78.94,15238700,77.44,4.5081787534880045,70.82861111111112,79.84496861808712,61.81225360413511,0
1999-11-17,77.94,80.0,75.44,76.5,6657400,77.31333333333333,4.675978636694803,71.32743589743589,80.67939317082549,61.97547862404628,0
1999-11-18,76.75,78.19,75.25,77.94,5810400,77.12666666666667,4.752377317821066,71.74166666666666,81.24642130230879,62.23691203102453,0
