,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,150.0,151.1,148.5,149.0,3521400,149.53333333333333,,149.53333333333333,,,0
1999-11-02,149.3,151.5,147.1,147.5,2797067,148.70000000000002,0.5892556509887762,149.11666666666667,150.29517796864423,147.93815536468912,-1
1999-11-03,147.5,148.4,145.6,147.0,2731167,147.0,1.2911378845952277,148.41111111111113,150.99338688030159,145.82883534192067,0
1999-11-04,148.0,150.6,145.9,146.3,2485200,147.6,1.1295279249904977,148.20833333333334,150.46738918331434,145.94927748335235,0
1999-11-05,150.0,151.3,148.3,149.8,2028533,149.8,1.2097750020378029,148.52666666666667,150.94621667074227,146.10711666259107,0
1999-11-08,150.6,150.6,146.3,146.9,2150000,147.9333333333333,1.1088365607782475,148.42777777777778,150.64545089933426,146.2101046562213,0
1999-11-09,147.5,148.4,145.1,146.1,2560700,146.53333333333333,1.2398796664602576,148.15714285714287,150.63690219006338,145.67738352422236,0
1999-11-10,146.1,148.0,144.8,145.0,2419733,145.93333333333334,1.3913494078063866,147.87916666666666,150.66186548227944,145.0964678510539,-1
1999-11-11,145.8,146.9,144.1,145.8,2355867,145.6,1.5070001269794435,147.6259259259259,150.6399261798848,144.61192567196701,0
1999-11-12,148.5,155.0,148.1,154.3,2614633,152.46666666666667,2.0885372044378334,148.11,152.28707440887567,143.93292559112436,1
1999-11-15,155.0,157.9,154.1,157.3,2356667,156.43333333333334,3.197464273104204,148.86666666666665,155.26159521287505,142.47173812045824,1
1999-11-16,158.5,160.3,155.2,159.5,3051400,158.33333333333334,4.094202191207906,149.65555555555554,157.84395993797136,141.4671511731397,1
1999-11-17,158.0,158.5,154.6,154.6,1495367,155.9,4.285450439578726,150.13589743589742,158.70679831505487,141.56499655673997,0
1999-11-18,156.5,157.3,154.8,154.9,2196933,155.66666666666666,4.3746250493435825,150.53095238095239,159.28020247963954,141.78170228226523,0
1999-11-19,155.3,156.9,154.6,155.0,1295067,155.5,4.406414276085124,150.8622222222222,159.67505077439245,142.04939367005193,0
1999-11-22,154.5,156.4,153.8,154.7,1332900,154.96666666666667,4.378922051525164,151.11874999999998,159.8765941030503,142.36090589694965,0
1999-11-23,154.9,157.1,154.0,155.4,1869633,155.5,4.371002375280286,151.3764705882353,160.11847533879586,142.63446583767472,0
1999-11-24,155.0,155.3,153.0,153.0,1082233,153.76666666666668,4.277755283872617,151.50925925925924,160.06476982700448,142.953748691514,0
1999-11-26,154.0,154.3,152.6,152.6,381000,153.16666666666666,4.174583511965666,151.5964912280702,159.94565825200152,143.24732420413886,0
1999-11-29,151.6,151.6,147.3,147.8,1685467,148.9,4.107734467579467,151.46166666666664,159.67713560182557,143.24619773150772,0
1999-11-30,148.0,153.6,148.0,151.3,2140500,150.96666666666667,4.084759865389244,151.53333333333333,159.70285306411182,143.36381360255484,0
1999-12-01,150.0,153.5,149.3,152.8,1671400,151.86666666666667,4.030162230275502,151.69166666666666,159.75199112721768,143.63134220611565,0
1999-12-02,154.0,154.8,152.0,153.4,1390133,153.4,3.8896665471417,152.01166666666668,159.7909997609501,144.23233357238328,0
1999-12-03,157.0,159.4,156.3,157.3,1764967,157.66666666666669,3.9397431418040236,152.51500000000004,160.3944862836081,144.63551371639198,0
1999-12-06,157.0,158.9,155.8,157.2,1458667,157.3,4.023761296443947,152.89000000000001,160.93752259288792,144.8424774071121,0
1999-12-07,158.3,159.9,156.3,158.9,1994833,158.36666666666667,4.023647569815465,153.41166666666666,161.4589618062976,145.36437152703573,0
1999-12-08,158.5,160.4,157.0,158.3,1365000,158.56666666666666,3.836305483936581,154.01333333333335,161.68594430120652,146.34072236546018,0
1999-12-09,158.3,162.8,158.3,159.8,2215900,160.3,3.5802328487770185,154.73166666666668,161.8921323642207,147.57120096911265,0
1999-12-10,161.8,168.9,161.1,167.8,2695967,165.93333333333334,3.734343143506004,155.74833333333336,163.21701962034538,148.27964704632134,1
1999-12-13,168.4,168.4,164.5,166.3,2047500,166.4,4.34040280287764,156.445,165.12580560575526,147.76419439424473,1
1999-12-14,163.5,164.3,160.5,160.5,1847567,161.76666666666668,4.500529858344234,156.71166666666667,165.71272638335515,147.7106069499782,0
1999-12-15,160.0,161.0,158.1,158.2,1808967,159.1,4.518299374738917,156.75,165.78659874947783,147.71340125052217,0
1999-12-16,157.2,157.2,151.6,152.6,2794567,153.79999999999998,4.563269001122792,156.645,165.7715380022456,147.51846199775443,0
1999-12-17,154.81,156.19,153.38,155.13,3177633,154.9,4.575124706701596,156.60666666666668,165.75691608006989,147.45641725326348,0
1999-12-20,156.5,157.6,153.1,155.2,1534767,155.29999999999998,4.577888632053581,156.59666666666666,165.75244393077384,147.4408894025595,0
1999-12-21,153.8,159.9,152.8,157.8,2524933,156.83333333333334,4.561908136728888,156.69,165.81381627345777,147.56618372654222,0
1999-12-22,157.6,158.3,155.4,155.4,902867,156.36666666666667,4.554119014694281,156.73333333333335,165.8415713627219,147.6250953039448,0
1999-12-23,155.4,159.8,155.4,159.3,989467,158.16666666666669,4.509319783767916,156.95333333333335,165.9719729008692,147.9346937657975,0
