,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,25.31,26.06,24.94,25.69,7585800,25.563333333333333,,25.563333333333333,,,0
1999-11-02,25.56,26.31,25.5,26.25,6240800,26.02,0.3229120967418569,25.791666666666664,26.43749086015038,25.14584247318295,0
1999-11-03,27.38,27.38,26.69,26.88,8196800,26.98333333333333,0.7249086787951942,26.188888888888886,27.638706246479277,24.7390715312985,0
1999-11-04,27.75,29.0,26.0,26.5,13492400,27.166666666666668,0.7676853136153786,26.433333333333334,27.96870396056409,24.89796270610257,0
1999-11-05,25.5,25.5,24.06,24.31,26165000,24.62333333333333,1.0474853486114046,26.07133333333333,28.166304030556145,23.97636263611053,0
1999-11-08,23.94,24.25,23.38,23.5,14218600,23.71,1.344282818567692,25.677777777777777,28.36634341491316,22.989212140642397,0
1999-11-09,23.56,24.13,23.5,23.63,14069200,23.75333333333333,1.426528327367905,25.40285714285714,28.25591379759295,22.54980048812133,0
1999-11-10,23.56,24.19,23.5,23.88,11321600,23.856666666666666,1.429373752871106,25.20958333333333,28.068330839075543,22.350835827591123,0
1999-11-11,24.06,24.38,23.44,24.31,9720900,24.043333333333333,1.3924249431198168,25.08,27.864849886239632,22.295150113760364,0
1999-11-12,24.5,26.06,24.06,25.06,10986100,25.06,1.312806060728858,25.078,27.70361212145772,22.45238787854228,0
1999-11-15,25.56,26.63,25.5,25.88,15236800,26.00333333333333,1.2763047987819922,25.16212121212121,27.714730809685197,22.609511614557228,0
1999-11-16,26.0,26.25,25.81,26.13,11693400,26.063333333333333,1.244407151317108,25.23722222222222,27.726036524856436,22.748407919588004,0
1999-11-17,25.63,26.38,25.5,26.0,10157000,25.96,1.2081757339015733,25.29282051282051,27.70917198062365,22.87646904501736,0
1999-11-18,26.0,27.19,26.0,27.13,11389200,26.77333333333333,1.226364730319024,25.398571428571422,27.851300889209472,22.94584196793338,0
1999-11-19,26.88,27.19,26.63,26.75,6558400,26.856666666666666,1.24027420589969,25.495777777777786,27.97632618957716,23.015229365978403,0
1999-11-22,26.5,27.25,26.5,27.25,6706000,27.0,1.255844687702118,25.589791666666667,28.1014810420709,23.078102291262432,0
1999-11-23,27.06,27.31,26.69,27.0,7789100,27.0,1.2631531507908855,25.67274509803921,28.199051399620988,23.14643879645744,0
1999-11-24,27.44,28.69,27.19,28.25,10519600,28.043333333333333,1.3468127468818374,25.80444444444444,28.49806993820812,23.11081895068077,0
1999-11-26,28.69,28.69,27.25,27.56,4464200,27.83333333333333,1.389166732442984,25.91122807017544,28.689561535061408,23.132894605289472,0
1999-11-29,28.06,28.94,27.88,28.44,9894400,28.42,1.463869341947019,26.03666666666667,28.964405350560707,23.10892798277263,0
1999-11-30,28.81,28.94,27.69,27.88,8684600,28.17,1.533875152173782,26.167,29.234750304347564,23.09924969565244,0
1999-12-01,27.63,28.19,27.56,28.0,7080900,27.916666666666668,1.582179441032443,26.261833333333332,29.42619221539822,23.09747445126845,0
1999-12-02,28.0,28.13,27.5,27.86,8515700,27.83,1.6135166906825331,26.304166666666667,29.53120004803173,23.0771332853016,0
1999-12-03,28.44,28.94,27.75,28.25,10163400,28.313333333333333,1.665317866502137,26.3615,29.692135733004275,23.030864266995724,0
1999-12-06,27.88,28.25,27.69,27.81,5916300,27.916666666666668,1.6471251847594977,26.526166666666672,29.820417036185667,23.23191629714768,0
1999-12-07,28.06,28.06,27.44,27.5,8214000,27.666666666666668,1.5240975088144038,26.724,29.772195017628807,23.675804982371197,0
1999-12-08,27.56,28.0,27.13,27.25,9954400,27.46,1.360426747631976,26.909333333333336,29.63018682859729,24.188479838069384,0
1999-12-09,27.44,27.94,27.31,27.63,11966800,27.626666666666665,1.1618860826285209,27.09783333333333,29.42160549859037,24.77406116807629,0
1999-12-10,27.94,28.44,27.75,28.04,11107300,28.076666666666664,0.9308841769399642,27.2995,29.16126835387993,25.437731646120078,0
1999-12-13,27.81,27.88,27.38,27.63,8867200,27.63,0.7687305553096404,27.428,28.96546111061928,25.89053888938072,0
1999-12-14,27.5,28.75,27.31,28.5,8453100,28.186666666666667,0.7084281876633822,27.537166666666668,28.95402304199343,26.120310291339905,0
1999-12-15,28.75,29.38,27.88,28.88,10543700,28.71333333333333,0.6647357123334531,27.66966666666667,28.999138091333577,26.34019524199977,0
1999-12-16,28.31,28.31,27.81,28.0,6311300,28.040000000000003,0.5327912815611787,27.773666666666667,28.839249229789026,26.70808410354431,0
1999-12-17,28.0,28.37,27.75,28.25,11931400,28.12333333333333,0.4825338517955559,27.84116666666667,28.80623437025778,26.87609896307556,0
1999-12-20,28.19,28.75,27.88,28.14,6948200,28.256666666666664,0.4309927001729142,27.911166666666663,28.773152067012497,27.04918126632084,0
1999-12-21,28.56,29.19,28.38,28.44,7119600,28.67,0.4062341674827584,27.994666666666667,28.807135001632183,27.18219833170115,0
1999-12-22,28.13,29.06,28.13,29.0,5294900,28.73,0.3654273713649411,28.081166666666668,28.81202140939655,27.350311923936783,1
1999-12-23,29.0,29.38,28.88,29.13,4760200,29.13,0.4338799184402654,28.1355,29.00325983688053,27.26774016311947,1
1999-12-27,29.31,30.0,29.13,29.31,8227900,29.48,0.52101034886625,28.217833333333328,29.259854031065828,27.175812635600828,1
1999-12-28,29.44,29.75,28.81,29.0,4180600,29.186666666666667,0.5631659410804092,28.25616666666666,29.38249854882748,27.12983478450584,0
1999-12-29,28.94,29.25,28.56,28.63,4098400,28.813333333333333,0.57620709808457,28.28833333333333,29.440747529502477,27.135919137164198,0
1999-12-30,28.81,29.38,28.81,29.13,4360900,29.106666666666666,0.5968781111183121,28.34783333333334,29.541589555569963,27.15407711109672,0
1999-12-31,29.06,29.38,28.81,29.25,2946900,29.146666666666665,0.6092406355839898,28.413666666666664,29.632147937834645,27.195185395498683,0
2000-01-03,29.13,29.88,29.06,29.88,8404800,29.606666666666666,0.6641914576367727,28.47833333333333,29.806716248606875,27.149950418059788,1
2000-01-04,30.06,31.88,30.0,31.63,16056100,31.17,0.8820504421268321,28.641,30.405100884253667,26.876899115746337,1
2000-01-05,32.13,33.0,31.63,32.75,19829900,32.46,1.1980000878657382,28.880666666666677,31.27666684239815,26.4846664909352,1
2000-01-06,33.0,33.13,31.63,31.63,7905600,32.13,1.3517689839484088,29.11416666666667,31.817704634563487,26.41062869876985,0
2000-01-07,32.0,32.13,30.81,31.13,6775600,31.356666666666666,1.3924384770181777,29.300666666666665,32.08554362070302,26.51578971263031,0
2000-01-10,35.0,35.94,34.0,35.88,33976400,35.27333333333333,1.8976964413798456,29.660499999999995,33.455892882759684,25.865107117240303,1
2000-01-11,35.56,36.75,35.25,36.25,20141000,36.083333333333336,2.316766115497663,30.08316666666667,34.716698897662,25.449634435671346,1
2000-01-12,35.88,35.94,33.31,33.69,13105000,34.31333333333333,2.4537993633933226,30.3895,35.29709872678664,25.481901273213357,0
2000-01-13,34.44,35.0,33.81,34.81,8735100,34.54,2.586616448011341,30.68083333333333,35.85406622935601,25.507600437310646,0
2000-01-14,34.81,35.0,33.44,33.56,8154000,34.0,2.609576442744362,30.97883333333333,36.19798621882205,25.759680447844605,0
2000-01-18,33.75,34.81,33.06,34.5,8104200,34.123333333333335,2.60891079309274,31.27883333333333,36.49665491951882,26.06101174714785,0
2000-01-19,34.31,34.94,34.06,34.75,6553300,34.583333333333336,2.606740133347975,31.595166666666664,36.80864693336262,26.381686399970715,0
2000-01-20,35.0,35.44,33.44,33.63,7214300,34.169999999999995,2.571784706958841,31.870166666666663,37.01373608058435,26.726597252748984,0
2000-01-21,33.56,33.63,32.69,32.75,8286700,33.02333333333333,2.473171478839001,32.08483333333333,37.03117629101133,27.138490375655326,0
2000-01-24,33.0,34.0,32.38,33.31,8345600,33.23,2.3836596451871164,32.28983333333334,37.05715262370757,27.52251404295911,0
2000-01-25,38.0,38.0,36.5,37.5,29920500,37.333333333333336,2.538263179963858,32.682500000000005,37.75902635992773,27.60597364007229,0
2000-01-26,37.44,37.44,36.38,36.63,10403900,36.81666666666666,2.558499331719545,33.064,38.18099866343909,27.94700133656091,0
2000-01-27,36.88,37.63,36.63,37.13,9821500,37.13,2.5066049532810046,33.47983333333333,38.49304323989534,28.46662342677132,0
2000-01-28,36.81,37.5,36.44,36.75,7503200,36.89666666666667,2.394008505654523,33.86933333333333,38.65735034464237,29.08131632202429,0
2000-01-31,36.06,36.44,35.81,36.31,7911500,36.18666666666667,2.170164086824472,34.221333333333334,38.56166150698228,29.881005159684392,0
2000-02-01,36.0,36.44,35.94,36.0,7239400,36.126666666666665,1.915205881165642,34.547333333333334,38.37774509566462,30.71692157100205,0
2000-02-02,35.94,37.94,35.81,37.25,9414200,37.0,1.815170082086135,34.83883333333333,38.4691734975056,31.208493169161063,0
2000-02-03,37.63,38.5,37.56,37.88,10911500,37.98,1.853681487872049,35.11483333333334,38.82219630907744,31.40747035758924,0
2000-02-04,38.0,38.25,37.06,38.13,6274900,37.81333333333333,1.8070654379617868,35.399,39.01313087592357,31.784869124076423,0
2000-02-07,38.0,38.44,37.56,38.0,6155400,38.0,1.6264632728032251,35.73116666666667,38.98409321227312,32.47824012106022,0
2000-02-08,37.63,37.94,37.0,37.56,5782000,37.5,1.6691241093452764,35.8425,39.18074821869055,32.50425178130945,0
2000-02-09,37.31,39.0,37.13,37.69,6160200,37.94,1.7336100993614991,35.93533333333333,39.40255353205633,32.468113134610334,0
2000-02-10,36.88,37.88,36.88,36.94,5677600,37.23333333333333,1.712650693416734,36.08133333333333,39.5066347201668,32.656031946499866,0
2000-02-11,37.06,38.63,36.81,37.88,7249200,37.77333333333333,1.7121041054317516,36.243,39.66720821086351,32.8187917891365,0
2000-02-14,37.0,37.38,36.63,37.0,5203200,37.00333333333334,1.6349918092682514,36.393166666666666,39.663150285203166,33.123183048130166,0
2000-02-15,36.56,37.19,35.38,36.88,7084900,36.48333333333333,1.5452520281201247,36.51116666666667,39.60167072290692,33.42066261042642,0
2000-02-16,36.56,37.25,36.56,36.94,4476600,36.91666666666666,1.47868966610813,36.62783333333333,39.58521266554959,33.670454001117065,0
2000-02-17,36.69,36.88,35.69,36.5,4757700,36.35666666666666,1.363768975564942,36.73716666666666,39.46470461779654,34.00962871553678,0
