,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,98.5,98.81,96.37,96.75,9551800,97.31,,97.31,,,0
1999-11-02,96.75,96.81,93.69,94.81,11105400,95.10333333333334,1.5603489638183126,96.20666666666668,99.3273645943033,93.08596873903004,0
1999-11-03,95.87,95.94,93.5,94.37,10369100,94.60333333333334,1.4402211764298676,95.67222222222222,98.55266457508196,92.79177986936249,0
1999-11-04,94.44,94.44,90.0,91.56,16697600,92.0,2.180396455625377,94.75416666666668,99.11495957791745,90.39337375541592,0
1999-11-05,92.75,92.94,90.19,90.25,13737600,91.12666666666668,2.4894472835908354,94.02866666666668,99.00756123384836,89.04977209948501,0
1999-11-08,90.5,93.94,90.5,93.94,8522300,92.79333333333334,2.2830286090256595,93.8227777777778,98.3888349958291,89.25672055972647,0
1999-11-09,95.06,95.5,92.12,93.62,9551200,93.74666666666668,2.0843089778974524,93.81190476190476,97.98052271769969,89.64328680610987,0
1999-11-10,94.62,97.06,94.12,97.0,8680300,96.06,2.086975055182114,94.09291666666668,98.2668667770309,89.91896655630244,0
1999-11-11,97.5,97.5,94.87,95.0,7147500,95.79,2.032496488387778,94.28148148148148,98.34647445825703,90.21648850470592,0
1999-11-12,96.0,96.25,93.0,95.87,9668400,95.04,1.9312100729022248,94.35733333333334,98.2197534791378,90.4949131875289,0
1999-11-15,96.0,96.37,93.87,94.06,6259400,94.76666666666668,1.836259042925937,94.39454545454548,98.06706354039734,90.7220273686936,0
1999-11-16,94.62,95.0,93.0,94.62,8537400,94.20666666666666,1.751644153090817,94.37888888888888,97.88217719507053,90.87560058270724,0
1999-11-17,94.87,94.87,92.62,93.75,8355100,93.74666666666668,1.6862134116165943,94.3302564102564,97.7026832334896,90.95782958702324,0
1999-11-18,94.0,98.25,93.56,98.0,18720500,96.60333333333334,1.730220172033562,94.49261904761904,97.95305939168615,91.03217870355192,1
1999-11-19,99.0,105.12,98.37,103.94,19678400,102.47666666666667,2.651319787154432,95.02488888888888,100.32752846319774,89.72224931458,1
1999-11-22,105.5,108.44,104.44,107.87,13681600,106.91666666666669,3.924189365451919,95.768125,103.61650373090384,87.91974626909617,1
1999-11-23,108.81,109.87,106.0,106.06,10665200,107.31,4.719425559787874,96.4470588235294,105.88590994310516,87.00820770395366,1
1999-11-24,105.0,105.0,101.81,104.5,9710400,103.77,4.893055803691516,96.85388888888887,106.64000049627192,87.06777728150585,0
1999-11-26,105.94,106.0,104.12,105.0,3108400,105.04,5.112617086804302,97.28473684210526,107.50997101571386,87.05950266849666,0
1999-11-29,104.94,104.94,103.37,104.19,5677700,104.16666666666669,5.20875918539742,97.62883333333332,108.04635170412816,87.21131496253848,0
1999-11-30,103.69,104.5,102.12,103.06,5758700,103.22666666666667,5.355646350932567,97.92466666666668,108.6359593685318,87.21337396480153,0
1999-12-01,102.56,104.44,102.25,103.42,5336400,103.37,5.444702173157498,98.338,109.22740434631498,87.448595653685,0
1999-12-02,103.44,106.31,103.37,105.27,6216900,104.98333333333332,5.563397075307844,98.857,109.9837941506157,87.7302058493843,0
1999-12-03,109.81,112.87,107.94,111.87,14680300,110.89333333333332,5.929779095123112,99.80166666666666,111.66122485691288,87.94210847642044,1
1999-12-06,113.0,116.5,112.5,116.0,9928300,115.0,6.4698500393876,100.99533333333332,113.93503341210854,88.05563325455813,1
1999-12-07,117.0,119.19,115.44,116.62,11326100,117.08333333333331,7.098446702257848,102.20983333333332,116.406726737849,88.01293992881763,1
1999-12-08,116.25,121.0,115.5,118.28,8139800,118.26,7.654748957881447,103.4355,118.7449979157629,88.12600208423711,0
1999-12-09,120.5,122.12,112.25,113.37,16643000,115.91333333333334,7.9302851637111855,104.42816666666668,120.28873699408904,88.5675963392443,0
1999-12-10,111.62,111.94,107.56,109.0,12588800,109.5,7.73442883196459,105.11366666666667,120.58252433059586,89.64480900273749,0
1999-12-13,108.12,112.75,106.56,109.7,7135200,109.67,7.416858343669404,105.84516666666666,120.67888335400546,91.01144997932784,0
1999-12-14,110.19,110.19,106.87,109.25,7437900,108.77,6.963070959927268,106.54533333333332,120.47147525318786,92.6191914134788,0
1999-12-15,107.75,107.94,104.5,107.0,9437900,106.48,6.330513508914556,107.15900000000002,119.82002701782912,94.49797298217092,0
1999-12-16,108.0,109.69,105.75,109.19,7122300,108.21,5.487723808860934,107.88216666666668,118.85761428438856,96.9067190489448,0
1999-12-17,110.69,111.06,108.62,110.0,7676800,109.89333333333332,4.813296520246062,108.54666666666664,118.17325970715878,98.92007362617451,0
1999-12-20,109.06,110.44,107.75,109.2,4836300,109.13,4.596741866743625,108.87933333333334,118.0728170668206,99.68584959984608,0
1999-12-21,108.5,110.12,108.06,110.12,4773500,109.43333333333334,4.5745799634617,109.00516666666668,118.15432659359008,99.85600673974326,0
1999-12-22,109.87,110.31,108.0,108.0,4005600,108.77,4.557723279360876,109.07816666666668,118.19361322538845,99.96272010794492,0
1999-12-23,109.12,110.44,108.19,108.62,4528700,109.08333333333331,4.383556631628025,109.34383333333332,118.11094659658936,100.57672007007729,0
1999-12-27,109.69,110.0,108.12,109.75,3740700,109.29,4.2653598464705205,109.55633333333331,118.08705302627436,101.0256136403923,0
1999-12-28,109.56,110.75,109.06,109.81,4083100,109.87333333333332,4.072347556371266,109.84166666666668,117.9863617794092,101.69697155392412,0
1999-12-29,110.44,110.5,108.75,109.0,2683300,109.41666666666669,3.766911849650975,110.15116666666664,117.6849903659686,102.6173429673647,0
1999-12-30,109.69,110.5,108.56,108.75,3435100,109.27,3.423253347260784,110.44616666666666,117.29267336118822,103.59965997214508,0
1999-12-31,109.19,109.5,106.62,107.87,2870300,107.99666666666668,3.2310834051073685,110.59683333333332,117.05900014354806,104.13466652311858,0
2000-01-03,112.44,116.0,111.87,116.0,10347700,114.62333333333332,3.354394167941228,110.78333333333336,117.4921216692158,104.07454499745089,0
2000-01-04,114.0,114.5,110.87,112.06,8227800,112.47666666666667,3.2326946873344635,110.65716666666668,117.1225560413356,104.19177729199774,0
2000-01-05,112.94,119.75,112.12,116.0,12733200,115.95666666666666,3.1227652828376176,110.60083333333333,116.84636389900857,104.35530276765807,0
2000-01-06,118.0,118.94,113.5,114.0,7971900,115.48,2.8101190324625387,110.46183333333332,116.0820713982584,104.84159526840826,0
2000-01-07,117.25,117.94,110.62,113.5,11856700,114.02,2.643771954272689,110.36716666666666,115.65471057521204,105.07962275812127,0
2000-01-10,117.25,119.37,115.37,118.0,8540500,117.58,3.084850413881262,110.77116666666667,116.9408674944292,104.60146583890416,1
2000-01-11,117.87,121.12,116.62,119.0,7873300,118.91333333333334,3.566068813641394,111.23333333333332,118.36547096061612,104.10119570605052,1
2000-01-12,119.62,122.0,118.25,119.5,6803800,119.91666666666669,4.004865111511687,111.79066666666668,119.80039688969003,103.78093644364333,0
