,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
2005-11-16,39.0,44.21,38.56,39.25,19551800,40.67333333333334,,40.67333333333334,,,0
2005-11-17,40.3,41.75,34.0,35.25,6861700,37.0,2.597438909558589,38.83666666666667,44.031544485783854,33.64178884754949,0
2005-11-18,36.2,36.95,34.56,35.0,2562000,35.50333333333334,2.660272194371876,37.72555555555556,43.046099944299314,32.4050111668118,0
2005-11-21,35.25,35.96,34.82,35.9,1280800,35.56,2.4270228294795295,37.18416666666667,42.03821232562573,32.33012100770761,0
2005-11-22,35.45,35.46,34.3,34.95,1306600,34.90333333333333,2.3362940739555906,36.728,41.40058814791118,32.055411852088824,0
2005-11-23,34.7,34.95,31.55,33.95,2484200,33.483333333333334,2.474117949821641,36.187222222222225,41.135458121865504,31.238986322578942,0
2005-11-25,33.75,34.45,33.65,34.15,263200,34.083333333333336,2.3944488270132633,35.88666666666667,40.6755643206932,31.097769012640143,0
2005-11-28,33.9,33.9,32.55,33.3,631000,33.24999999999999,2.4048558267844378,35.55708333333333,40.36679498690221,30.747371679764456,0
2005-11-29,33.3,33.49,31.27,31.97,895500,32.24333333333333,2.5060964555348737,35.18888888888889,40.20108179995864,30.176695977819143,0
2005-11-30,32.1,32.41,31.6,32.3,778900,32.10333333333333,2.5563155633175008,34.88033333333333,39.992964459968334,29.76770220669833,0
2005-12-01,32.3,35.2,32.15,35.0,1137700,34.11666666666667,2.436040088572297,34.81090909090909,39.68298926805369,29.9388289137645,0
2005-12-02,35.0,36.3,34.9,36.1,1024000,35.76666666666666,2.339002564477646,34.89055555555555,39.56856068451084,30.21255042660026,0
2005-12-05,36.18,37.45,36.18,36.81,918500,36.81333333333333,2.302045232116923,35.03846153846154,39.64255200269539,30.434371074227695,0
2005-12-06,36.81,37.61,36.45,36.58,640500,36.88,2.2658328028780717,35.17,39.70166560575615,30.63833439424386,0
2005-12-07,36.65,36.65,34.5,35.45,494600,35.53333333333334,2.185425557580234,35.19422222222222,39.56507333738269,30.823371107061753,0
2005-12-08,35.7,36.28,35.55,36.0,364700,35.943333333333335,2.1196113266176733,35.24104166666666,39.480264319902005,31.001819013431316,0
2005-12-09,36.0,36.46,35.78,36.2,161600,36.14666666666667,2.064025114479623,35.29431372549019,39.42236395444944,31.166263496530945,0
2005-12-12,36.45,36.5,36.05,36.45,190700,36.333333333333336,2.017318850591746,35.352037037037036,39.38667473822053,31.317399335853544,0
