,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
2006-05-25,40.3,47.2,40.2,46.0,39534300,44.46666666666667,,44.46666666666667,,,0
2006-05-26,46.31,46.74,44.11,44.93,10304400,45.26,0.5609713797413249,44.86333333333333,45.98527609281598,43.74139057385068,0
2006-05-30,44.97,44.98,42.85,44.0,4989800,43.94333333333333,0.6629312013910489,44.556666666666665,45.882529069448765,43.230804263884565,0
2006-05-31,44.35,45.36,44.35,44.94,3000200,44.88333333333333,0.5653874449994131,44.63833333333333,45.76910822333216,43.5075584433345,0
2006-06-01,44.93,48.1,44.9,47.51,6234400,46.836666666666666,1.0983082951116745,45.078,47.27461659022335,42.881383409776646,1
2006-06-02,47.51,48.7,46.79,46.99,3725300,47.49333333333334,1.3918802896588296,45.480555555555554,48.26431613487321,42.696794976237896,0
2006-06-05,47.05,49.75,47.0,49.15,3718800,48.63333333333333,1.7419653803228674,45.93095238095238,49.41488314159811,42.44702162030664,0
2006-06-06,49.61,50.63,47.8,48.3,4904500,48.91,1.9262118428387027,46.30333333333333,50.155757019010736,42.45090964765592,0
2006-06-07,48.33,48.4,46.75,47.6,2501300,47.583333333333336,1.85163441316044,46.44555555555556,50.14882438187644,42.74228672923468,0
2006-06-08,47.25,47.72,45.5,47.72,3443900,46.98,1.7538993946118344,46.499,50.00679878922367,42.99120121077633,0
2006-06-09,48.8,48.8,47.68,47.91,1337200,48.13,1.7350445515777395,46.64727272727273,50.11736183042821,43.17718362411725,0
2006-06-12,47.94,48.25,46.3,46.95,1454600,47.16666666666666,1.6610808415876592,46.69055555555556,50.01271723873088,43.368393872380246,0
2006-06-13,46.75,47.35,45.3,45.5,1671600,46.05,1.600256078154218,46.64128205128205,49.84179420759048,43.44076989497361,0
2006-06-14,45.27,45.45,44.44,45.12,1597100,45.00333333333333,1.5985829347479603,46.524285714285725,49.72145158378164,43.327119844789806,0
2006-06-15,45.4,46.12,45.13,45.95,1650000,45.73333333333333,1.5539115348696857,46.471555555555554,49.57937862529492,43.363732485816186,0
2006-06-16,45.95,46.0,45.0,45.02,1228000,45.34,1.5276423374308248,46.40083333333334,49.45611800819499,43.345548658471685,0
2006-06-19,45.05,45.45,44.1,44.34,1150900,44.63,1.5402263542162316,46.296666666666674,49.377119375099134,43.21621395823421,0
2006-06-20,44.74,45.0,43.47,44.02,2379200,44.16333333333333,1.5765753496012258,46.17814814814815,49.3312988473506,43.024997448945705,0
2006-06-21,44.02,46.25,44.0,45.3,1806300,45.18333333333334,1.5490605843404304,46.125789473684215,49.22391064236508,43.02766830500335,0
2006-06-22,46.4,47.0,45.88,46.6,1303800,46.49333333333333,1.5099831047426286,46.14416666666667,49.164132876151925,43.124200457181416,0
2006-06-23,47.0,47.93,46.87,46.95,1161200,47.25,1.4750993622990187,46.28333333333334,49.23353205793138,43.3331346087353,0
2006-06-26,47.0,47.5,46.43,47.5,856500,47.14333333333334,1.466422178585674,46.37750000000001,49.31034435717136,43.44465564282866,0
2006-06-27,47.5,48.03,47.25,47.31,982600,47.53,1.369159675265916,46.55683333333333,49.29515268386516,43.8185139828015,0
2006-06-28,46.85,47.4,46.5,46.96,875600,46.95333333333334,1.313086582929323,46.66033333333333,49.28650649919198,44.03416016747469,0
2006-06-29,46.95,48.09,46.95,48.0,1447000,47.68000000000001,1.3324452634599893,46.7025,49.367390526919976,44.037609473080025,0
2006-06-30,47.65,48.0,46.6,48.0,2596400,47.53333333333333,1.3337241861338358,46.7045,49.37194837226768,44.03705162773233,0
2006-07-03,47.9,48.0,46.8101,47.3,702900,47.37003333333333,1.2657497078263829,46.641335000000005,49.17283441565277,44.10983558434724,0
2006-07-05,47.4,47.84,46.71,47.6,1326600,47.38333333333333,1.1636491880305218,46.56500166666667,48.89230004272771,44.23770329060562,0
2006-07-06,47.0,47.35,46.79,46.8,809700,46.98,1.1435064472019372,46.534835,48.821847894403874,44.24782210559613,0
2006-07-07,46.75,46.85,45.75,46.12,838000,46.24,1.1403117925664372,46.497835,48.77845858513287,44.21721141486712,0
2006-07-10,46.2,46.57,46.12,46.49,497800,46.39333333333334,1.073657451905478,46.41100166666666,48.55831657047762,44.263686762855706,0
2006-07-11,46.49,46.49,45.3,46.35,807900,46.04666666666666,1.0613064579641336,46.355001666666666,48.47761458259493,44.2323887507384,0
2006-07-12,46.4,46.4,45.54,45.55,767200,45.830000000000005,1.0657647930981784,46.34400166666667,48.47553125286303,44.21247208047031,0
2006-07-13,45.18,45.18,44.3,44.72,1662500,44.73333333333333,1.0851740871725428,46.33050166666667,48.50084984101176,44.160153492321584,0
2006-07-14,44.62,44.68,43.9,43.95,966300,44.17666666666667,1.1817847302252502,46.25266833333333,48.61623779378383,43.88909887288283,0
2006-07-17,44.1,44.17,43.75,43.99,645800,43.97,1.2736076826461604,46.18416833333333,48.731383698625656,43.63695296804101,0
2006-07-18,43.99,44.1,43.67,43.9,1248300,43.89000000000001,1.3306081551789224,46.14716833333334,48.808384643691184,43.485952022975496,0
2006-07-19,43.91,45.45,43.8,45.28,1584000,44.84333333333333,1.2851603952721324,46.18116833333333,48.7514891238776,43.61084754278907,0
2006-07-20,45.4,45.78,45.1,45.55,882900,45.47666666666667,1.2748055223988466,46.195835,48.74544604479769,43.6462239552023,0
