,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,41.75,42.0,41.25,41.69,3932900,41.64666666666667,,41.64666666666667,,,0
1999-11-02,42.06,42.13,41.06,41.25,2250000,41.48,0.1178511301977612,41.56333333333333,41.79903559372885,41.32763107293781,-1
1999-11-03,41.25,43.44,41.06,41.94,7600400,42.14666666666667,0.3469443332443573,41.75777777777778,42.4516664442665,41.063889111289065,0
1999-11-04,43.69,45.25,43.44,45.19,9834800,44.626666666666665,1.4621483432872933,42.475,45.39929668657459,39.550703313425416,0
1999-11-05,45.69,46.63,45.63,46.5,7184900,46.25333333333333,2.111532355633909,43.23066666666666,47.45373137793448,39.00760195539885,0
1999-11-08,45.88,47.06,45.75,47.0,7536900,46.60333333333333,2.3372352296075194,43.79277777777778,48.467248236992816,39.11830731856274,0
1999-11-09,47.0,47.13,45.81,46.38,5760500,46.44,2.356551713592548,44.17095238095238,48.88405580813748,39.45784895376728,0
1999-11-10,45.69,46.25,45.5,46.06,3561800,45.93666666666667,2.269299591266132,44.391666666666666,48.93026584919893,39.8530674841344,0
1999-11-11,46.25,47.31,46.0,47.0,2985900,46.77,2.2659439888253696,44.65592592592592,49.18781390357666,40.12403794827518,0
1999-11-12,47.69,49.56,47.44,48.38,6391000,48.46,2.451754448663897,45.03633333333333,49.93984223066113,40.132824436005535,0
1999-11-15,47.56,48.13,46.44,46.88,2396900,47.15,2.411666258298221,45.22848484848485,50.05181736508129,40.4051523318884,0
1999-11-16,46.5,47.13,46.19,46.19,2486800,46.50333333333333,2.328697324461946,45.33472222222222,49.99211687114611,40.67732757329833,0
1999-11-17,46.06,46.31,45.81,46.13,2465700,46.083333333333336,2.2392047135730464,45.39230769230768,49.87071711945377,40.91389826516159,0
1999-11-18,46.0,48.0,45.81,47.0,7491500,46.93666666666667,2.190594181803848,45.502619047619056,49.88380741122676,41.12143068401136,0
1999-11-19,46.0,47.44,45.63,47.38,5732100,46.81666666666666,2.1380021332293198,45.59022222222222,49.86622648868087,41.31421795576358,0
1999-11-22,46.81,47.13,46.63,46.91,3827500,46.89000000000001,2.0909101221451127,45.67145833333333,49.85327857762356,41.48963808904311,0
