,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
2012-05-18,42.05,45.0,38.0,38.2318,573576400,40.4106,,40.4106,,,0
2012-05-21,36.53,36.66,33.0,34.03,168192700,34.56333333333333,4.1346419114060575,37.48696666666666,45.75625048947877,29.217682843854547,0
2012-05-22,32.61,33.59,30.94,31.0,101786600,31.843333333333334,4.377727447144403,35.605755555555554,44.36121044984437,26.850300661266747,0
2012-05-23,31.37,32.5,31.36,32.0,73600000,31.953333333333333,4.013898199589353,34.69265,42.72044639917871,26.664853600821296,0
2012-05-24,32.95,33.21,31.77,33.03,50237200,32.67,3.591901539853227,34.28812,41.47192307970646,27.104316920293545,0
2012-05-25,32.9,32.95,31.11,31.91,37149800,31.99,3.3468838133404017,33.9051,40.5988676266808,27.211332373319195,0
2012-05-29,31.48,31.69,28.65,28.84,78063400,29.72666666666667,3.4393137633166977,33.30818095238095,40.186808479014346,26.42955342574756,0
2012-05-30,28.695,29.55,27.86,28.19,57267900,28.53333333333333,3.604016579500911,32.711325,39.919358159001824,25.50329184099818,0
2012-05-31,28.545,29.67,26.83,29.6,111639200,28.7,3.626730933254108,32.26562222222222,39.51908408873044,25.012160355714,0
2012-06-01,28.892,29.15,27.39,27.72,41855500,28.086666666666662,3.6657986954422586,31.847726666666667,39.17932405755119,24.51612927578215,0
2012-06-04,27.2,27.65,26.44,26.9,35230300,26.99666666666667,3.772746478135368,31.40672121212121,38.95221416839195,23.86122825585048,0
2012-06-05,26.7,27.76,25.75,25.869,42473400,26.459666666666667,3.8702837908109697,30.994466666666664,38.735034248288606,23.25389908504473,0
2012-06-06,26.07,27.17,25.52,26.81,61489200,26.5,3.909565508250864,30.648738461538457,38.467869478040186,22.82960744503673,0
2012-06-07,27.0,27.35,26.15,26.31,26159500,26.60333333333333,3.908696241632606,30.35978095238095,38.17717343564616,22.54238846911574,0
2012-06-08,26.55,27.76,26.44,27.1,38034000,27.100000000000005,3.859409118559896,30.14246222222222,37.86128045934201,22.42364398510243,0
2012-06-11,27.18,28.07,26.835,27.005,28219600,27.30333333333333,3.795500884526894,29.965016666666667,37.55601843572045,22.37401489761288,0
2012-06-12,27.48,27.77,26.96,27.4,15816800,27.376666666666665,3.72821060191815,29.812760784313724,37.26918198815002,22.356339580477425,0
2012-06-13,27.66,28.1,27.1,27.27,17102800,27.49,3.658096194202951,29.68371851851852,36.99991090692442,22.367526130112616,0
2012-06-14,27.65,28.32,27.38,28.29,16855000,27.99666666666667,3.5760367488441465,29.59492631578948,36.74699981347777,22.442852818101187,0
2012-06-15,28.505,30.1,28.35,30.014,43563800,29.488,3.4807406992936563,29.589580000000005,36.55106139858732,22.62809860141269,0
2012-06-18,29.955,32.08,29.41,31.41,42978900,30.966666666666665,2.4120100866677845,29.11738333333334,33.941403506668905,24.29336315999777,0
2012-06-19,31.535,32.18,30.7,31.911,30849000,31.597,2.134777582947453,28.96906666666667,33.23862183256158,24.699511500771763,0
2012-06-20,31.92,31.9288,31.15,31.6,15553600,31.5596,2.1155273088364392,28.954880000000003,33.185934617672885,24.723825382327124,0
2012-06-21,31.67,32.5,31.51,31.84,21875300,31.950000000000003,2.1152787667585127,28.95471333333333,33.18527086685036,24.724155799816305,0
2012-06-22,32.41,33.45,32.06,33.05,74834000,32.85333333333333,2.1325532423071767,28.96388,33.22898648461435,24.698773515385646,0
2012-06-25,32.86,33.02,31.55,32.06,24352900,32.21,2.149484100824173,28.97488,33.27384820164835,24.675911798351656,0
2012-06-26,32.69,33.44,32.5,33.1,24858700,33.01333333333333,2.3281929895891205,29.13921333333333,33.79559931251158,24.48282735415509,0
2012-06-27,32.46,32.9,31.9,32.23,28568000,32.343333333333334,2.4296703126866563,29.32971333333334,34.18905395870665,24.470372707960028,0
2012-06-28,31.96,32.19,30.9,31.36,17713300,31.48333333333333,2.471062543018442,29.46888,34.41100508603689,24.52675491396312,0
2012-06-29,31.92,31.99,30.76,31.095,19526900,31.281666666666663,2.480260303493913,29.62863,34.58915060698782,24.668109393012173,0
2012-07-02,31.25,31.73,30.55,30.771,14122000,31.017,2.4178537519657253,29.82964666666667,34.66535417059812,24.993939162735217,0
2012-07-03,30.91,31.44,30.8,31.2,8763600,31.146666666666665,2.298210935557436,30.063996666666668,34.66041853778154,25.4675747955518,0
2012-07-05,31.32,31.625,31.02,31.47,10032100,31.371666666666663,2.1542487805965567,30.307579999999994,34.61607756119311,25.99908243880688,0
2012-07-06,31.44,31.9,31.26,31.73,10945600,31.63,1.9859897541121891,30.558913333333333,34.53089284155771,26.586933825108957,0
