,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
2002-05-23,16.19,17.4,16.04,16.75,7485000,16.73,,16.73,,,0
2002-05-24,17.0,17.15,16.76,16.94,793200,16.95,0.15556349186103965,16.84,17.15112698372208,16.52887301627792,0
2002-05-28,16.99,17.25,16.2,16.2,472100,16.55,0.20033305601755552,16.743333333333336,17.143999445368447,16.342667221298225,-1
2002-05-29,16.3,16.3,15.2,15.45,482700,15.65,0.570613704707484,16.470000000000002,17.61122740941497,15.328772590585034,0
2002-05-30,15.51,15.51,15.0,15.0,725300,15.17,0.7630203142774115,16.21,17.736040628554825,14.683959371445178,0
2002-05-31,15.1,15.1,15.0,15.07,604600,15.056666666666667,0.8291298428450735,16.017777777777777,17.676037463467924,14.35951809208763,0
2002-06-03,15.12,16.09,15.07,15.8,225100,15.653333333333334,0.7693208026268998,15.965714285714286,17.504355890968085,14.427072680460487,0
2002-06-04,15.9,15.96,15.55,15.65,221800,15.72,0.7175310402002086,15.934999999999999,17.370062080400416,14.499937919599581,0
2002-06-05,15.55,16.23,15.5,16.06,109400,15.93,0.6711908984947741,15.934444444444445,17.276826241433994,14.592062647454897,0
2002-06-06,16.1,17.25,16.08,16.55,164700,16.626666666666665,0.6695962483485618,16.003666666666668,17.34285916336379,14.664474169969544,0
2002-06-07,16.49,16.49,15.45,15.66,97800,15.866666666666665,0.6365763857931699,15.991212121212119,17.264364892798458,14.71805934962578,0
2002-06-10,15.89,16.45,15.89,16.19,34600,16.176666666666666,0.6093082681669152,16.006666666666664,17.225283203000494,14.788050130332834,0
2002-06-11,16.19,16.64,15.8,16.15,71700,16.196666666666665,0.5857434947103052,16.02128205128205,17.19276904070266,14.849795061861439,0
2002-06-12,16.15,16.55,15.25,15.3,128500,15.700000000000001,0.5692771695110348,15.998333333333333,17.136887672355403,14.859778994311263,0
2002-06-13,15.46,15.71,15.12,15.16,183400,15.329999999999998,0.5750705500772383,15.953777777777777,17.103918877932255,14.8036366776233,0
2002-06-14,15.15,15.2,13.72,13.81,341700,14.243333333333334,0.7010779728917989,15.846875,17.2490309457836,14.444719054216403,-1
2002-06-17,14.19,14.83,12.85,12.91,346800,13.530000000000001,0.881220929618325,15.710588235294116,17.473030094530767,13.948146376057466,-1
2002-06-18,13.14,13.15,11.79,12.75,772000,12.563333333333333,1.1318836204036087,15.535740740740742,17.79950798154796,13.271973499933525,-1
2002-06-19,12.76,13.95,12.5,13.32,391600,13.256666666666666,1.2179338110222528,15.415789473684212,17.85165709572872,12.979921851639705,0
2002-06-20,13.6,14.56,13.3,13.4,436500,13.753333333333332,1.242368328768681,15.332666666666665,17.817403324204026,12.847930009129303,0
2002-06-21,13.75,13.85,13.27,13.71,167600,13.61,1.253509226179432,15.176666666666666,17.68368511902553,12.669648214307802,0
2002-06-24,13.71,14.2,13.4,13.7,183400,13.766666666666666,1.2180901910163684,15.017499999999998,17.453680382032736,12.581319617967262,0
2002-06-25,13.84,14.1,13.26,13.5,281500,13.62,1.2001389295795706,14.870999999999999,17.27127785915914,12.470722140840858,0
2002-06-26,13.49,13.95,12.9,13.84,208900,13.563333333333333,1.2193997181050271,14.766666666666666,17.20546610287672,12.327867230456611,0
2002-06-27,14.13,14.26,13.21,13.21,272700,13.56,1.244261341740435,14.686166666666669,17.17468935014754,12.197643983185799,0
2002-06-28,13.45,14.19,13.45,13.99,659600,13.876666666666667,1.2537090119121372,14.627166666666664,17.13458469049094,12.119748642842389,0
2002-07-01,14.0,14.65,13.9,14.39,327500,14.313333333333333,1.2315935927804178,14.56016666666667,17.023353852227505,12.096979481105834,0
2002-07-02,14.75,16.74,14.55,16.42,644300,15.903333333333334,1.2413243258195437,14.569333333333333,17.05198198497242,12.086684681694246,0
2002-07-03,16.5,17.0,15.65,17.0,354100,16.55,1.284097926709687,14.600333333333333,17.168529186752707,12.03213747991396,0
2002-07-05,17.0,18.19,16.99,17.87,143100,17.683333333333334,1.38928753460224,14.653166666666667,17.431741735871146,11.874591597462187,1
2002-07-08,17.53,17.53,16.35,16.46,139500,16.78,1.445162640839962,14.698833333333331,17.589158615013254,11.808508051653407,0
2002-07-09,16.45,16.75,15.6,16.25,209700,16.2,1.4464273389229156,14.699999999999998,17.59285467784583,11.807145322154167,0
2002-07-10,16.26,16.5,15.85,16.29,111000,16.213333333333335,1.4473395132679368,14.70083333333333,17.595512359869204,11.806154306797456,0
2002-07-11,16.16,17.9,15.86,17.77,180700,17.176666666666666,1.5359452962968358,14.774666666666665,17.846557259260337,11.702776074072993,0
2002-07-12,17.9,17.92,16.9,16.91,202700,17.243333333333336,1.6291151761953306,14.870333333333331,18.128563685723993,11.61210298094267,0
2002-07-15,17.4,17.48,15.07,16.0,302800,16.183333333333334,1.647469652925341,14.967333333333334,18.262272639184015,11.672394027482653,0
2002-07-16,16.14,16.2,15.46,15.77,138700,15.81,1.6214549815859653,15.081333333333333,18.324243296505266,11.838423370161403,0
2002-07-17,16.03,16.29,15.06,15.25,90100,15.533333333333333,1.5109450491399312,15.229833333333332,18.251723431613193,12.20794323505347,0
2002-07-18,15.64,16.33,15.55,16.09,207100,15.99,1.4452655010139328,15.366499999999998,18.257031002027865,12.475968997972133,0
2002-07-19,16.14,16.25,15.71,16.24,128000,16.066666666666666,1.4012664593354403,15.482166666666666,18.284699585337545,12.679633747995785,0
2002-07-22,15.9,16.51,15.62,16.39,142400,16.173333333333336,1.3367591515451718,15.610333333333333,18.283851636423677,12.93681503024299,0
2002-07-23,16.47,16.99,15.83,16.05,112700,16.290000000000003,1.2710554048133638,15.736500000000001,18.278610809626727,13.194389190373274,0
2002-07-24,16.05,16.23,15.04,15.6,239700,15.623333333333333,1.170439013951653,15.836666666666668,18.177544694569974,13.495788638763361,0
2002-07-25,15.75,15.79,14.49,14.51,339700,14.93,1.065962212555629,15.905000000000001,18.03692442511126,13.773075574888743,0
2002-07-26,14.7,14.82,11.9,12.2,503300,12.973333333333334,1.1394289633729255,15.875666666666666,18.154524593412518,13.596808739920814,-1
2002-07-29,12.55,12.94,11.9,12.27,232900,12.37,1.3148516915455655,15.800333333333333,18.430036716424464,13.170629950242201,-1
2002-07-30,12.51,13.2,12.51,12.8,269800,12.836666666666668,1.4384016775452235,15.726499999999998,18.603303355090446,12.849696644909551,-1
2002-07-31,13.0,13.44,12.68,13.35,238100,13.156666666666666,1.5476051580251984,15.589166666666666,18.684376982717062,12.49395635061627,0
2002-08-01,13.3,13.44,12.29,12.48,323500,12.736666666666665,1.6542295515909293,15.398499999999999,18.70695910318186,12.09004089681814,0
2002-08-02,12.41,12.43,9.89,10.89,475400,11.07,1.8255737782634374,15.067833333333335,18.71898088986021,11.41668577680646,-1
2002-08-05,10.9,11.38,10.65,10.85,272000,10.96,1.9943450683023713,14.776833333333332,18.765523469938074,10.78814319672859,0
2002-08-06,11.14,11.25,10.4,10.65,229800,10.766666666666666,2.1539536543364255,14.505166666666668,18.81307397533952,10.197259357993817,0
2002-08-07,10.65,11.11,10.4,11.11,197000,10.873333333333333,2.2594527813931036,14.238166666666668,18.757072229452874,9.719261103880461,0
