,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,55.75,56.38,55.25,56.31,896200,55.98,,55.98,,,0
1999-11-02,55.5,55.94,52.5,52.5,1542600,53.64666666666667,1.6499158227686077,54.81333333333333,58.11316497887055,51.51350168779612,0
1999-11-03,51.5,51.56,47.75,50.19,3235000,49.833333333333336,3.102887544064576,53.153333333333336,59.35910842146249,46.947558245204185,0
1999-11-04,50.06,51.25,49.88,50.38,1494300,50.50333333333333,2.859061455689157,52.490833333333335,58.20895624471165,46.77271042195502,0
1999-11-05,50.19,50.81,47.0,47.94,1653700,48.583333333333336,3.0305751196028035,51.70933333333333,57.77048357253894,45.64818309412773,0
1999-11-08,47.13,47.44,45.38,46.88,2252400,46.56666666666666,3.428606886941865,50.852222222222224,57.70943599610595,43.995008448338496,0
1999-11-09,46.88,48.13,46.25,47.44,1284600,47.27333333333333,3.4096772489194547,50.34095238095239,57.160306878791296,43.52159788311348,0
1999-11-10,47.19,48.56,46.63,47.0,1015400,47.39666666666667,3.3239522457078152,49.97291666666666,56.62082115808229,43.32501217525103,0
1999-11-11,47.25,47.31,46.0,46.13,951000,46.48,3.320118016272209,49.58481481481481,56.22505084735923,42.9445787822704,0
1999-11-12,46.38,46.75,45.5,46.13,679100,46.126666666666665,3.315759991463142,49.239,55.87051998292628,42.60748001707371,0
1999-11-15,46.25,47.69,45.63,47.31,1095200,46.876666666666665,3.2252390405498423,49.02424242424242,55.474720505342106,42.57376434314274,0
1999-11-16,47.06,47.75,44.06,44.31,1616100,45.373333333333335,3.2507348042676085,48.72,55.221469608535216,42.21853039146478,0
1999-11-17,44.25,45.25,44.06,44.25,2818400,44.52,3.323190251444152,48.39692307692307,55.04330357981138,41.75054257403477,0
1999-11-18,45.0,47.38,44.75,47.0,2740500,46.376666666666665,3.238150305230966,48.25261904761904,54.728919658080976,41.77631843715711,0
1999-11-19,49.5,49.63,48.0,49.25,2086800,48.96,3.125700547932241,48.29977777777778,54.55117887364226,42.0483766819133,0
1999-11-22,49.0,49.38,47.81,48.56,934100,48.583333333333336,3.0205455725010264,48.3175,54.35859114500205,42.27640885499795,0
1999-11-23,48.44,48.5,47.13,47.38,892100,47.67,2.928843921359804,48.27941176470589,54.13709960742549,42.42172392198628,0
1999-11-24,47.44,47.5,46.19,46.56,516600,46.75,2.864171965115159,48.19444444444444,53.92278837467476,42.466100514214126,0
1999-11-26,47.0,47.38,46.63,47.0,182500,47.00333333333333,2.796855899751828,48.13175438596491,53.72546618546857,42.53804258646125,0
1999-11-29,45.81,46.63,45.81,46.38,714500,46.27333333333333,2.753794463529989,48.03883333333333,53.54642226039331,42.53124440627335,0
1999-11-30,46.38,46.75,45.88,46.0,1062000,46.21,2.0467452125050354,47.55033333333334,51.643823758343416,43.45684290832327,0
1999-12-01,45.75,47.19,45.63,47.0,665900,46.60666666666666,1.4661316807378382,47.19833333333334,50.13059669480901,44.26606997185766,0
1999-12-02,47.25,47.25,44.5,45.59,1560700,45.78,1.3589521677204262,46.995666666666665,49.71357100210752,44.277762331225816,0
1999-12-03,45.19,46.94,45.19,46.38,1474400,46.17,1.0888762918474113,46.779,48.95675258369483,44.60124741630518,0
1999-12-06,46.25,47.63,45.56,47.06,907300,46.75,1.0027474538189316,46.687333333333335,48.6928282409712,44.681838425695474,0
1999-12-07,46.38,46.88,45.75,46.44,1005400,46.35666666666666,1.005174027002988,46.676833333333335,48.68718138733931,44.66648527932736,0
