,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,21.75,24.38,21.75,23.5,1630300,23.209999999999997,,23.209999999999997,,,0
1999-11-02,23.94,25.13,23.75,25.0,1744800,24.626666666666665,1.0017346066809432,23.91833333333333,25.921802546695215,21.914864119971444,0
1999-11-03,26.0,28.13,25.81,27.44,4191000,27.126666666666665,1.9831465831779487,24.987777777777776,28.954070944133672,21.02148461142188,0
1999-11-04,27.75,29.94,27.75,29.19,2625700,28.959999999999997,2.56252822929347,25.98083333333333,31.10588979192027,20.85577687474639,0
1999-11-05,30.0,30.25,26.88,28.25,1284100,28.459999999999997,2.4807592923672916,26.476666666666667,31.43818525140125,21.515148081932082,0
1999-11-08,27.38,29.88,26.5,29.06,979200,28.48,2.3647883782854815,26.810555555555553,31.540132312126516,22.08097879898459,0
1999-11-09,29.0,29.13,27.5,28.63,567400,28.419999999999998,2.2428176958752615,27.04047619047619,31.526111582226715,22.554840798725667,0
1999-11-10,28.72,28.75,27.81,28.38,300100,28.313333333333333,2.1246523058220426,27.19958333333333,31.448887944977415,22.950278721689244,0
1999-11-11,28.38,31.88,27.75,30.38,1172300,30.00333333333333,2.196206957460977,27.51111111111111,31.903525026033062,23.118697196189157,0
1999-11-12,31.69,32.0,29.88,32.0,1044800,31.293333333333333,2.3912173664949745,27.889333333333333,32.67176806632328,23.106898600343385,0
1999-11-15,32.22,33.19,30.88,31.38,754600,31.816666666666663,2.558965700150249,28.246363636363636,33.36429503666413,23.128432236063137,0
1999-11-16,32.13,35.0,32.0,34.38,1507900,33.79333333333333,2.9184032780962075,28.708611111111107,34.545417667303525,22.871804554918693,0
1999-11-17,35.0,37.5,34.5,35.69,1638300,35.89666666666667,3.4324617597569436,29.26153846153846,36.126461981052344,22.396614942024573,0
1999-11-18,36.44,36.75,35.5,35.81,491600,36.02,3.760070564115872,29.744285714285706,37.26442684251745,22.22414458605396,0
1999-11-19,40.13,44.38,40.0,42.88,4510800,42.419999999999995,4.8826065118137825,30.589333333333332,40.354546356960896,20.82412030970577,1
1999-11-22,43.97,44.0,40.25,42.81,1125400,42.35333333333333,5.558777226986098,31.324583333333333,42.442137787305526,20.207028879361136,1
1999-11-23,38.25,40.19,38.0,39.75,1152600,39.31333333333333,5.720391515007283,31.794509803921567,43.235292833936136,20.353726773907,0
1999-11-24,39.56,40.0,35.56,38.5,847600,38.02,5.740309696376344,32.14037037037038,43.62098976312306,20.65975097761769,0
1999-11-26,38.13,38.5,37.0,38.25,149500,37.916666666666664,5.733813723697665,32.444385964912286,43.912013412307616,20.976758517516956,0
1999-11-29,38.13,38.63,36.0,36.88,622100,37.169999999999995,5.6800389793572315,32.680666666666674,44.04074462538114,21.32058870795221,0
1999-11-30,37.0,37.63,34.63,34.63,655600,35.63,5.253000312269337,33.30166666666666,43.807667291205334,22.79566604212799,0
1999-12-01,34.63,36.88,34.63,36.38,465700,35.96333333333334,4.8649610655780835,33.868500000000004,43.59842213115617,24.13857786884384,0
1999-12-02,36.5,39.56,36.5,39.06,645600,38.373333333333335,4.691570875591858,34.43083333333333,43.81397508451705,25.047691582149618,0
1999-12-03,39.44,40.13,37.63,38.13,714100,38.63,4.595383534000335,34.914333333333325,44.10510040133399,25.723566265332657,0
