,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
2020-09-30,10.0,11.42,9.11,9.5,338584433,10.01,,10.01,,,0
2020-10-01,9.69,10.1,9.23,9.46,124297587,9.596666666666666,0.2922708028904401,9.803333333333333,10.387874939114212,9.218791727552453,0
2020-10-02,9.06,9.28,8.94,9.2,55018343,9.139999999999999,0.43517982660215526,9.58222222222222,10.452581875426532,8.71186256901791,0
2020-10-05,9.43,9.49,8.92,9.03,36316878,9.146666666666667,0.41675110255580805,9.473333333333333,10.306835538444949,8.639831128221717,0
2020-10-06,9.04,10.18,8.9,9.9,90864039,9.659999999999998,0.37044567752910823,9.510666666666665,10.251558021724883,8.769775311608448,0
2020-10-07,10.04,10.49,9.99,10.0,54672419,10.16,0.42433040934665117,9.618888888888888,10.46754970758219,8.770228070195586,0
2020-10-08,10.29,10.4,9.99,10.0,34989186,10.13,0.4328581032695795,9.691904761904762,10.55762096844392,8.826188555365604,0
2020-10-09,10.13,10.19,9.89,9.95,19653450,10.01,0.4162302476365929,9.731666666666666,10.564127161939851,8.89920617139348,0
2020-10-12,10.04,10.05,9.66,9.89,20623565,9.866666666666667,0.3919396212003413,9.746666666666666,10.53054590906735,8.962787424265983,0
2020-10-13,9.88,9.88,9.41,9.47,21847177,9.586666666666666,0.3729720474085806,9.730666666666668,10.47661076148383,8.984722571849506,0
2020-10-14,9.6,9.66,9.29,9.34,13785097,9.43,0.36526094173283274,9.703333333333333,10.433855216799,8.972811449867667,0
2020-10-15,9.27,9.91,9.18,9.91,12924093,9.666666666666666,0.3484234574822797,9.700277777777776,10.397124692742336,9.003430862813216,0
2020-10-16,9.94,9.95,9.66,9.71,11142464,9.773333333333333,0.3342048436107379,9.705897435897436,10.37430712311891,9.03748774867596,0
2020-10-19,9.79,9.82,9.53,9.57,9126352,9.64,0.3215762650776554,9.701190476190474,10.344343006345785,9.058037946035164,0
2020-10-20,9.6,9.66,9.27,9.27,11138223,9.4,0.31948785074316516,9.68111111111111,10.32008681259744,9.042135409624779,0
2020-10-21,9.3,9.48,9.2,9.2,9189978,9.293333333333333,0.32352106520229834,9.656875,10.303917130404596,9.009832869595403,0
2020-10-22,9.37,9.75,9.22,9.68,17928578,9.549999999999999,0.3143185647248968,9.650588235294117,10.279225364743912,9.021951105844323,0
2020-10-23,9.71,9.83,9.47,9.49,12618010,9.596666666666666,0.3051985436613582,9.647592592592593,10.25798967991531,9.037195505269876,0
2020-10-26,9.72,9.97,9.6,9.95,23767344,9.84,0.29986633366164644,9.657719298245613,10.257451965568906,9.05798663092232,0
2020-10-27,10.0,11.04,9.92,10.95,53695925,10.636666666666667,0.3648343371548951,9.706666666666667,10.436335340976457,8.976997992356877,1
2020-10-28,10.66,10.985,10.1,10.85,30941720,10.645000000000001,0.4165822633811274,9.738416666666668,10.571581193428923,8.905252139904412,1
2020-10-29,10.9,11.1,10.56,10.75,20515706,10.803333333333333,0.4778475358771456,9.79875,10.754445071754292,8.843054928245708,0
2020-10-30,10.61,10.68,9.85,10.13,19728372,10.22,0.4601834350122236,9.852749999999999,10.773116870024445,8.932383129975552,0
2020-11-02,10.23,10.57,10.23,10.54,11677845,10.446666666666667,0.4468186030539552,9.917749999999998,10.81138720610791,9.024112793892087,0
2020-11-03,10.57,10.94,10.44,10.5,21652807,10.626666666666667,0.46919281034011384,9.966083333333334,10.904468954013561,9.027697712653106,0
2020-11-04,10.82,10.92,10.55,10.72,15783356,10.729999999999999,0.4980179648113649,9.994583333333335,10.990619262956065,8.998547403710605,0
2020-11-05,10.9,12.13,10.85,11.88,48560380,11.62,0.6166570589578725,10.069083333333335,11.30239745124908,8.83576921541759,1
2020-11-06,12.22,14.96,12.05,13.83,89977555,13.613333333333335,1.0035219375976623,10.24925,12.256293875195325,8.242206124804675,1
2020-11-09,14.96,15.9,14.11,14.67,60098963,14.893333333333333,1.4380513206687702,10.500583333333335,13.376685974670876,7.624480691995794,1
2020-11-10,14.99,15.01,13.18,14.0,38078742,14.063333333333333,1.6246093795017043,10.724416666666666,13.973635425670075,7.475197907663258,1
2020-11-11,14.57,15.97,14.4,15.96,47027940,15.443333333333333,1.9047365917412644,11.025083333333333,14.834556516815862,7.215610149850804,1
2020-11-12,16.66,17.06,14.41,14.58,99287571,15.35,2.104844070220291,11.309250000000002,15.518938140440584,7.0995618595594205,0
2020-11-13,14.49,16.0,14.49,15.8,76622565,15.430000000000001,2.2617953896192566,11.592083333333331,16.115674112571845,7.068492554094818,0
2020-11-16,15.96,16.1,15.01,15.93,65325988,15.68,2.3871917286668043,11.894083333333334,16.668466790666944,7.119699875999726,0
2020-11-17,16.29,18.75,16.18,17.85,116618543,17.593333333333334,2.6275810966724973,12.303749999999999,17.558912193344995,7.0485878066550045,1
2020-11-18,18.28,19.25,17.54,17.9,89957892,18.23,2.8399786505148445,12.750583333333335,18.430540634363023,7.070626032303646,0
2020-11-19,18.5,18.98,17.96,18.98,56225400,18.64,3.022322094126183,13.205083333333334,19.2497275215857,7.160439145080969,0
