,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
2008-03-17,50.0,52.65,49.24,49.39,1988000,50.42666666666667,,50.42666666666667,,,0
2008-03-18,49.85,52.0,47.75,49.6,8067600,49.78333333333333,0.45490536256334885,50.105000000000004,51.0148107251267,49.19518927487331,0
2008-03-19,49.6,51.0,46.9,50.1,3007700,49.333333333333336,0.5495081976269869,49.847777777777786,50.94679417303176,48.74876138252381,0
2008-03-20,50.2,50.2,48.87,49.15,3007700,49.406666666666666,0.4999509235174254,49.737500000000004,50.73740184703485,48.737598152965155,0
2008-03-24,49.81,51.0,49.81,51.0,1437000,50.60333333333333,0.5808585599495512,49.91066666666667,51.07238378656577,48.74894954676757,0
2008-03-25,51.4,51.75,50.6,51.75,1100800,51.36666666666667,0.7894555085627054,50.153333333333336,51.73224435045875,48.57442231620792,1
2008-03-26,51.7,52.47,50.3,50.3,2023200,51.02333333333333,0.7921459701944068,50.27761904761905,51.861910988007864,48.69332710723023,0
2008-03-27,50.95,52.03,50.0,50.68,8653300,50.903333333333336,0.7660240578094512,50.35583333333334,51.887881448952236,48.82378521771444,0
2008-03-28,51.82,52.5,50.56,51.06,9961200,51.373333333333335,0.7927659035161504,50.46888888888889,52.054420695921195,48.88335708185659,0
2008-03-31,52.55,54.7,50.0,50.58,19408900,51.76,0.8516711241457605,50.598,52.30134224829152,48.89465775170848,0
2008-04-01,51.11,52.19,49.01,50.58,23322500,50.59333333333333,0.8079673960818672,50.597575757575754,52.21351054973949,48.98164096541202,0
2008-04-02,51.24,52.07,50.15,51.21,12944700,51.14333333333334,0.786311499604816,50.64305555555555,52.215678554765184,49.070432556345914,0
2008-04-03,51.0,51.5,50.4001,51.05,12439100,50.983366666666676,0.758729562175166,50.66923333333333,52.18669245768366,49.151774208983,0
2008-04-04,51.34,51.48,50.8,51.37,6651000,51.21666666666667,0.7435012746313964,50.70833571428572,52.19533826354851,49.221333165022926,0
