,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
2015-05-21,28.0,28.74,24.11,25.68,12303615,26.176666666666662,,26.176666666666662,,,0
2015-05-22,26.17,31.1,26.0,28.31,2842781,28.47,1.6216315515211488,27.32333333333333,30.56659643637563,24.08007023029103,0
2015-05-26,29.8,30.34,29.08,29.65,819733,29.69,1.7837829132160334,28.11222222222222,31.679788048654284,24.544656395790152,0
2015-05-27,30.67,30.81,27.0,27.5,797976,28.436666666666667,1.4654590988391212,28.19333333333333,31.124251531011573,25.26241513565509,0
2015-05-28,27.55,27.74,26.48,27.45,400367,27.223333333333333,1.3412150378584995,27.999333333333333,30.681763409050333,25.31690325761633,0
2015-05-29,27.25,27.38,26.87,27.2,255419,27.15,1.2487249793585744,27.85777777777778,30.35522773649493,25.360327819060632,0
2015-06-01,27.2,27.44,26.6,27.33,257040,27.12333333333333,1.1732377305928967,27.752857142857145,30.09933260404294,25.406381681671352,0
2015-06-02,27.47,27.47,26.65,26.95,379765,27.02333333333333,1.1164100629121128,27.661666666666665,29.89448679249089,25.42884654084244,0
2015-06-03,26.76,27.5,26.5,27.44,302948,27.146666666666665,1.0583215222438045,27.604444444444443,29.721087488932053,25.48780139995684,0
2015-06-04,27.42,27.49,25.51,26.78,322577,26.593333333333334,1.0477736538153786,27.50333333333333,29.598880640964087,25.40778602570257,0
2015-06-05,26.66,27.39,26.1,27.39,129560,26.96,1.0074145325555115,27.4539393939394,29.468768459050416,25.43911032882837,0
2015-06-08,26.9,27.48,26.82,26.98,280925,27.093333333333334,0.9661564309977182,27.42388888888889,29.356201750884324,25.491576026893448,0
2015-06-09,26.64,28.46,26.64,28.34,337785,27.813333333333333,0.9313091603419092,27.453846153846147,29.316464474529965,25.59122783316233,0
2015-06-10,28.45,28.88,27.95,28.1,273588,28.31,0.9235668037698416,27.515,29.36213360753968,25.667866392460315,0
2015-06-11,28.49,30.73,28.49,30.73,461719,29.98333333333333,1.0946354518682342,27.67955555555556,29.868826459292023,25.49028465181909,1
2015-06-12,31.32,33.7,31.25,33.63,848352,32.86000000000001,1.672022062587029,28.00333333333333,31.347377458507392,24.65928920815928,1
2015-06-15,33.97,38.12,32.9201,35.5,1694460,35.51336666666666,2.436926662599613,28.4451,33.318953325199224,23.57124667480077,1
2015-06-16,36.06,38.379,35.84,38.11,1109542,37.443,3.1760323852551537,28.94498333333333,35.29704810384364,22.592918562823023,1
2015-06-17,39.63,42.13,38.01,38.63,1595702,39.59,3.9358357078798014,29.505247368421053,37.37691878418066,21.63357595266145,1
2015-06-18,38.42,38.8899,34.3265,35.55,1148173,36.25546666666666,4.117495639567421,29.84275833333333,38.07774961246817,21.607767054198487,0
2015-06-19,36.33,36.74,32.55,35.52,978292,34.93666666666667,4.172544537905389,30.28075833333333,38.625847409144114,21.935669257522555,0
2015-06-22,36.76,38.5,36.09,36.94,792238,37.17666666666667,4.420507438560798,30.71609166666667,39.557106543788265,21.87507678954508,0
2015-06-23,37.75,38.1,35.17,35.43,294227,36.23333333333334,4.579836616354344,31.04325833333333,40.202931566042025,21.883585100624646,0
2015-06-24,35.12,37.429,34.14,35.96,564367,35.843,4.656764612651814,31.413575,40.72710422530363,22.100045774696376,0
2015-06-25,36.34,36.5,34.8,34.84,208183,35.38,4.627557716636725,31.82140833333333,41.07652376660678,22.566292900059885,0
2015-06-26,34.87,35.32,32.63,33.52,346533,33.82333333333333,4.512150245931172,32.155075,41.17937549186234,23.13077450813765,0
2015-06-29,32.52,33.51,31.2,31.32,315520,32.01,4.354907358947447,32.39940833333334,41.10922305122824,23.689593615438447,0
2015-06-30,31.5,34.44,31.5,33.95,473587,33.29666666666667,4.169275454856026,32.713075,41.05162590971206,24.374524090287952,0
2015-07-01,34.03,34.97,29.88,31.11,1012614,31.986666666666665,3.9646184251528425,32.955075,40.884311850305686,25.02583814969432,0
2015-07-02,31.51,31.73,30.62,31.31,304253,31.22,3.700029956380629,33.18640833333333,40.58646824609459,25.786348420572075,0
2015-07-06,31.07,31.74,30.38,30.53,149336,30.883333333333336,3.4479633834922767,33.38257499999999,40.27850176698454,26.48664823301544,0
2015-07-07,30.47,30.83,28.5,30.76,348945,30.03,3.221102918481086,33.529408333333336,39.97161417029551,27.08720249637116,0
2015-07-08,30.02,30.3599,29.03,29.19,187364,29.526633333333333,3.0808107329078167,33.61507333333333,39.77669479914896,27.453451867517693,0
2015-07-09,29.73,30.38,28.8,29.06,249100,29.41333333333333,2.989335865348632,33.67024,39.648911730697264,27.69156826930273,0
2015-07-10,29.32,30.29,29.1,29.6,280486,29.663333333333338,3.010886822218751,33.65424,39.676013644437504,27.6324663555625,0
2015-07-13,29.85,30.99,29.76,30.42,220053,30.39,3.094670718543498,33.530739999999994,39.72008143708699,27.341398562913,0
2015-07-14,30.78,31.3268,30.5,30.86,145520,30.8956,3.111182852895201,33.29985166666667,39.52221737245707,27.077485960876267,0
2015-07-15,30.89,31.01,28.91,29.34,357137,29.75333333333333,3.0467003863824624,32.91536833333333,39.008769106098256,26.82196756056841,0
2015-07-16,29.06,29.87,28.9307,29.39,148265,29.3969,2.704764108692755,32.40571333333333,37.81524155071884,26.99618511594782,0
2015-07-17,29.32,32.35,29.15,32.27,1619618,31.25666666666667,2.557234693060419,32.15577333333333,37.27024271945417,27.04130394721249,0
2015-07-20,32.37,33.93,31.6413,33.75,414154,33.1071,2.484200869266126,32.064295,37.03269673853225,27.09589326146775,0
2015-07-21,33.95,34.6599,32.09,33.22,414769,33.3233,2.2000018303447995,31.871626666666668,36.27163032735626,27.47162300597707,0
2015-07-22,32.99,33.49,31.36,32.14,255700,32.33,1.9518408790839368,31.67646,35.58014175816788,27.77277824183213,0
2015-07-23,32.59,34.43,32.58,33.11,265771,33.37333333333333,1.7411178259587552,31.552976666666662,35.03521231858418,28.07074101474916,0
2015-07-24,33.45,34.75,33.24,33.57,357721,33.85333333333333,1.591545624757332,31.47664333333333,34.659734582848,28.29355208381867,0
2015-07-27,33.4,33.95,32.05,32.87,200495,32.95666666666667,1.53508600125197,31.43331,34.50348200250394,28.363137997496057,0
2015-07-28,33.5,34.48,32.83,34.06,174784,33.79,1.619556274408705,31.52231,34.76142254881741,28.283197451182588,0
2015-07-29,34.1,34.85,33.2,34.16,201544,34.07,1.6725141573925046,31.560976666666665,34.90600498145167,28.215948351881657,0
2015-07-30,38.655,40.25,37.01,38.13,1162785,38.46333333333333,2.277033198439433,31.88481,36.43887639687887,27.33074360312113,1
2015-07-31,38.13,38.25,36.35,37.39,525888,37.33,2.5736952785431524,32.19031,37.3377005570863,27.042919442913693,1
2015-08-03,37.49,40.49,36.6,40.36,534990,39.15,2.9838728661811578,32.60364333333332,38.57138906569564,26.635897600971006,1
2015-08-04,40.11,41.11,38.13,38.41,573350,39.21666666666667,3.2610552354695894,33.06297666666666,39.58508713760584,26.54086619572748,0
2015-08-05,39.02,39.97,38.16,38.45,291094,38.86,3.3934868918358,33.529645,40.3166187836716,26.742671216328404,0
2015-08-06,38.4,38.75,35.2,36.28,383039,36.74333333333333,3.320563033922768,33.896145000000004,40.53727106784554,27.255018932154467,0
2015-08-07,36.27,36.27,34.25,35.16,321548,35.22666666666667,3.1772439049056698,34.17431166666666,40.528799476478,27.81982385685532,0
2015-08-10,35.3,36.14,32.87,33.47,480393,34.16,3.050204849266406,34.362811666666666,40.46322136519948,28.26240196813385,0
2015-08-11,33.66,35.59,32.9637,35.14,269300,34.56456666666667,2.9390056082912204,34.54626,40.42427121658244,28.66824878341756,0
2015-08-12,34.85,35.21,33.75,34.73,236872,34.56333333333333,2.7143736876938003,34.78676,40.2155073753876,29.3580126246124,0
2015-08-13,34.79,36.49,34.51,35.31,226228,35.43666666666667,2.4010580408911544,35.08874833333334,39.89086441511565,30.28663225155104,0
2015-08-14,35.0,35.75,34.09,34.56,143713,34.800000000000004,2.227900590044332,35.26591500000001,39.72171618008867,30.810113819911344,0
2015-08-17,34.77,35.0,33.3,34.41,162323,34.236666666666665,2.1841818127041,35.32239333333334,39.69075695874154,30.954029707925137,0
2015-08-18,34.18,34.18,32.48,32.6,186996,33.086666666666666,2.1961887254004435,35.31056166666668,39.702939117467565,30.9181842158658,0
2015-08-19,32.37,32.47,30.6,31.1,444710,31.39,2.2720791471490065,35.26356166666667,39.80771996096468,30.719403372368653,0
2015-08-20,30.76,31.1,29.15,29.22,269845,29.82333333333333,2.549277767008824,35.08606166666667,40.18461720068432,29.987506132649024,-1
2015-08-21,28.75,29.97,27.31,27.77,404195,28.35,2.954195048244631,34.810895,40.71928509648927,28.90250490351074,-1
2015-08-24,25.51,28.49,22.7,26.28,427101,25.82333333333333,3.558621695456991,34.45422833333335,41.57147172424733,27.336984942419363,-1
2015-08-25,28.29,29.78,26.85,26.93,304294,27.85333333333333,3.8524113707680296,34.157395,41.86221774153606,26.452572258463945,0
2015-08-26,28.5,28.57,26.3001,28.22,390064,27.696700000000003,4.11468735382828,33.83873000000001,42.06810470765657,25.60935529234345,0
2015-08-27,28.98,29.6,27.8,28.51,268224,28.63666666666667,4.120096616264808,33.34739666666667,41.58758989919629,25.10720343413705,0
2015-08-28,28.25,29.008,27.72,28.0,137040,28.242666666666665,4.158674410044652,32.89303,41.2103788200893,24.5756811799107,0
2015-08-31,27.89,28.77,27.09,27.54,130524,27.8,4.032401923148641,32.32553,40.39033384629728,24.26072615370272,0
2015-09-01,27.11,27.29,26.39,26.6,130089,26.76,3.870767450943875,31.702696666666668,39.444231568554414,23.96116176477892,0
2015-09-02,26.8,27.549,26.06,26.7,167011,26.769666666666662,3.630810830831943,31.098180000000003,38.35980166166389,23.83655833833612,0
2015-09-03,26.56,28.0,26.5101,27.15,132496,27.220033333333333,3.4725279868015297,30.622015,37.56707097360306,23.676959026396936,0
2015-09-04,26.98,27.23,26.37,26.81,129080,26.80333333333333,3.3945966913460666,30.200848333333333,36.990041716025466,23.4116549506412,0
2015-09-08,27.03,27.645,26.745,27.14,107437,27.176666666666662,3.3243510870715864,29.85168166666666,36.50038384080983,23.20297949252349,0
2015-09-09,27.9,28.51,25.89,26.01,320389,26.80333333333333,3.195755394166617,29.46361999999999,35.85513078833323,23.07210921166676,0
2015-09-10,26.05,26.4743,25.5801,25.77,139050,25.941466666666667,3.0498132559569164,29.03252666666668,35.13215317858051,22.93290015475284,0
2015-09-11,25.55,26.47,25.55,26.36,187353,26.126666666666665,2.7127677188086943,28.567026666666663,33.992562104284055,23.14149122904928,0
2015-09-14,26.27,27.26,26.01,27.21,220890,26.826666666666668,2.3035814148423355,28.16836,32.77552282968467,23.561197170315328,0
2015-09-15,27.14,28.46,27.1,28.11,251146,27.89,1.8073299433918264,27.85102666666668,31.465686553450325,24.23636677988302,0
2015-09-16,28.13,29.26,28.04,28.91,133105,28.736666666666665,1.3472915513283314,27.633526666666672,30.328109769323333,24.93894356401001,0
2015-09-17,29.89,37.95,29.85,35.55,2112254,34.45,1.8690517263734705,27.786526666666667,31.524630119413608,24.04842321391973,1
