,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,60.63,60.63,58.31,58.63,178000,59.19,,59.19,,,0
1999-11-02,58.63,58.81,58.19,58.75,90800,58.583333333333336,0.4289781139198356,58.88666666666667,59.74462289450634,58.028710438827,0
1999-11-03,59.0,59.38,58.25,59.38,64300,59.00333333333333,0.310721978862369,58.92555555555556,59.54699951328029,58.30411159783082,0
1999-11-04,59.38,59.94,59.13,59.25,92700,59.44,0.3612875637268771,59.05416666666667,59.77674179412042,58.33159153921292,0
1999-11-05,59.38,60.0,59.38,59.88,60000,59.75333333333333,0.4423384827632926,59.194,60.07867696552659,58.309323034473415,0
1999-11-08,59.75,59.75,59.56,59.63,26500,59.64666666666667,0.4366713316120616,59.269444444444446,60.14278710766857,58.39610178122032,0
1999-11-09,59.69,59.69,59.31,59.56,74700,59.52,0.4097192224802748,59.305238095238096,60.12467654019864,58.48579965027755,0
1999-11-10,59.56,59.88,59.38,59.44,39000,59.56666666666666,0.3904248296651317,59.33791666666667,60.11876632599694,58.55706700733641,0
1999-11-11,59.25,59.38,59.0,59.06,31300,59.14666666666667,0.3707312593600196,59.316666666666656,60.0581291853867,58.57520414794661,0
1999-11-12,59.13,59.13,57.88,58.0,59200,58.336666666666666,0.4671299287889504,59.21866666666667,60.15292652424457,58.28440680908877,-1
1999-11-15,58.0,58.63,57.63,57.88,39900,58.046666666666674,0.5667985586260819,59.11212121212122,60.24571832937338,57.97852409486905,-1
1999-11-16,58.0,58.38,57.72,57.81,39400,57.97,0.6330548962637442,59.01694444444445,60.283054236971935,57.75083465191696,0
1999-11-17,58.0,58.5,57.94,58.5,60600,58.31333333333333,0.6367449721388918,58.962820512820514,60.2363104570983,57.68933056854273,0
1999-11-18,58.38,58.81,58.13,58.38,60900,58.44,0.6275193423556948,58.9254761904762,60.18051487518758,57.67043750576481,0
1999-11-19,58.38,58.38,57.44,57.81,39700,57.876666666666665,0.662560768901066,58.85555555555555,60.18067709335768,57.53043401775341,0
1999-11-22,57.75,57.88,57.5,57.5,30400,57.626666666666665,0.7100045644089064,58.77875,60.19875912881781,57.35874087118219,0
1999-11-23,57.56,57.56,56.25,56.38,22800,56.73,0.8482360108279767,58.65823529411765,60.35470731577361,56.961763272461695,-1
1999-11-24,56.25,56.25,55.13,55.56,48800,55.64666666666667,1.086758570368184,58.490925925925936,60.6644430666623,56.31740878518957,-1
1999-11-26,55.5,55.5,54.88,55.31,19200,55.23,1.294254911707208,58.31929824561403,60.90780806902845,55.73078842219961,-1
1999-11-29,55.38,55.38,54.13,54.13,21200,54.546666666666674,1.5161036548988522,58.13066666666667,61.162873976464375,55.098459356868965,-1
1999-11-30,54.13,54.19,53.0,53.25,64200,53.48,1.8144035396455669,57.84516666666666,61.47397374595779,54.21635958737552,-1
1999-12-01,53.31,53.75,53.25,53.38,63900,53.46,2.050949886905209,57.589,61.690899773810415,53.48710022618958,-1
1999-12-02,53.44,53.69,53.44,53.5,44100,53.54333333333333,2.210001349527253,57.31600000000001,61.73600269905452,52.8959973009455,0
1999-12-03,53.5,53.63,52.69,52.69,101400,53.00333333333333,2.348730869194348,56.99416666666667,61.69162840505537,52.296704928277975,0
1999-12-06,52.69,53.0,51.69,51.88,45000,52.19,2.4859713058145574,56.61600000000001,61.58794261162912,51.64405738837089,0
