,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
2010-06-29,19.0,25.0,17.54,23.89,18766300,22.14333333333333,,22.14333333333333,,,0
2010-06-30,25.79,30.4192,23.3,23.83,17187100,25.849733333333333,2.620820573789819,23.99653333333333,29.23817448091297,18.754892185753693,0
2010-07-01,25.0,25.92,20.27,21.96,8218800,22.71666666666667,1.9950864145398508,23.56991111111111,27.56008394019081,19.57973828203141,0
2010-07-02,23.0,23.1,18.71,19.2,5139800,20.33666666666667,2.2950048533798424,22.7616,27.351609706759685,18.17159029324032,0
2010-07-06,20.0,20.0,15.83,16.11,6866900,17.313333333333333,3.144361205714127,21.671946666666667,27.96066907809492,15.383224255238414,0
2010-07-07,16.4,16.63,14.98,15.8,6921700,15.803333333333333,3.694551347091592,20.693844444444444,28.082947138627627,13.30474175026126,0
2010-07-08,16.14,17.52,15.57,17.46,7711400,16.85,3.672259842220192,20.14472380952381,27.4892434939642,12.800204125083429,0
2010-07-09,17.58,17.9,16.55,17.4,4050600,17.283333333333335,3.547173223000007,19.78705,26.88139644600001,12.692703553999989,0
2010-07-12,17.95,18.07,17.0,17.05,2202500,17.373333333333335,3.414230455094358,19.518859259259266,26.34732016944798,12.690398349070543,0
2010-07-13,17.3938,18.64,16.9,18.14,2680100,17.893333333333334,3.25975216996327,19.35630666666667,25.87581100659321,12.836802326740129,0
2010-07-14,17.94,20.15,17.7601,19.84,4195200,19.25003333333333,3.092638439559074,19.34664545454545,25.5319223336636,13.161368575427304,0
2010-07-15,19.94,21.5,19.0,19.89,3739800,20.13,2.957373412239177,19.411925000000004,25.32667182447836,13.49717817552165,0
2010-07-16,20.7,21.3,20.05,20.64,2621300,20.66333333333333,2.8526623824179893,19.50818717948718,25.21351194432316,13.802862414651202,0
2010-07-19,21.37,22.25,20.92,21.91,2486500,21.69333333333333,2.8022792102224887,19.66426904761905,25.26882746806403,14.059710627174072,0
2010-07-20,21.85,21.85,20.05,20.3,1825300,20.73333333333333,2.714415212656017,19.73554,25.16437042531204,14.306709574687964,0
2010-07-21,20.66,20.9,19.5,20.22,1252500,20.206666666666667,2.625017930971386,19.76498541666667,25.01502127860944,14.514949554723897,0
2010-07-22,20.5,21.25,20.37,21.0,957800,20.87333333333333,2.555838430005722,19.830182352941176,24.94185921295262,14.71850549292973,0
2010-07-23,21.19,21.56,21.06,21.29,653600,21.30333333333333,2.50372158154278,19.912024074074072,24.91946723715963,14.904580910988512,0
2010-07-26,21.5,21.5,20.3,20.95,922200,20.916666666666668,2.444071684886554,19.964900000000004,24.85304336977311,15.076756630226896,0
2010-07-27,20.91,21.18,20.26,20.55,619700,20.66333333333333,2.3840056283116526,19.99982166666667,24.767832923289973,15.231810410043364,0
2010-07-28,20.55,20.9,20.51,20.72,467200,20.71,2.3372629365674813,19.928155,24.60268087313496,15.253629126865034,0
2010-07-29,20.77,20.88,20.0,20.35,616000,20.41,1.8845732780675928,19.65616833333333,23.42531488946852,15.887021777198145,0
2010-07-30,20.2,20.44,19.55,19.94,426900,19.97666666666667,1.744787749134329,19.519168333333333,23.00874383160199,16.029592835064676,0
2010-08-02,20.5,20.97,20.333,20.92,718100,20.741,1.7570578926672304,19.539385000000003,23.053500785334464,16.025269214665542,0
2010-08-03,21.0,21.95,20.82,21.95,1230500,21.57333333333333,1.7310181993859168,19.752385000000004,23.21442139877184,16.29034860122817,0
2010-08-04,21.95,22.18,20.85,21.26,913000,21.430000000000003,1.496811879661733,20.033718333333333,23.0273420926568,17.040094574009867,0
2010-08-05,21.54,21.55,20.05,20.45,796200,20.683333333333334,1.3001960430892376,20.225385000000003,22.82577708617848,17.62499291382153,0
2010-08-06,20.1,20.1601,19.52,19.59,741900,19.7567,1.1092388510603808,20.349053333333337,22.5675310354541,18.130575631212576,0
2010-08-09,19.9,19.98,19.45,19.6,812700,19.676666666666662,0.8798843474906597,20.46422,22.22398869498132,18.704451305018683,0
2010-08-10,19.65,19.65,18.82,19.03,1281300,19.166666666666668,0.7146162144570413,20.527886666666667,21.95711909558075,19.098654237752584,-1
2010-08-11,18.69,18.88,17.85,17.9,797600,18.21,0.839437666931704,20.475885,22.154760333863408,18.79700966613659,-1
2010-08-12,17.8,17.9,17.39,17.6,691000,17.63,1.0527003206443872,20.350885,22.456285641288776,18.245484358711227,-1
2010-08-13,18.18,18.45,17.6604,18.32,634000,18.143466666666665,1.158787176160706,20.224891666666668,22.54246601898808,17.907317314345256,0
2010-08-16,18.45,18.8,18.2616,18.78,485800,18.613866666666667,1.157990354194038,20.07091833333333,22.386899041721406,17.754937624945256,0
