,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-10,65.0,70.31,64.5,68.25,80793700,67.68666666666667,,67.68666666666667,,,0
1999-11-11,68.75,76.94,68.75,75.0,28309000,73.56333333333333,4.155430850772944,70.625,78.93586170154589,62.31413829845411,0
1999-11-12,76.0,76.63,69.25,70.5,14768100,72.12666666666667,3.063571505672809,71.12555555555555,77.25269856690117,64.99841254420993,0
1999-11-15,70.5,70.88,67.31,69.0,8675100,69.06333333333333,2.7055813368609654,70.61,76.02116267372193,65.19883732627807,0
1999-11-16,67.88,68.0,65.0,66.0,6978600,66.33333333333333,3.024583166873303,69.75466666666667,75.80383300041328,63.70550033292006,0
1999-11-17,65.56,68.19,65.13,67.69,5806900,67.00333333333333,2.9291845028696737,69.2961111111111,75.15448011685045,63.43774210537176,0
1999-11-18,67.94,68.94,66.13,66.31,4718700,67.12666666666667,2.7968655925619927,68.98619047619047,74.57992166131446,63.39245929106649,0
1999-11-19,66.31,66.31,64.25,65.0,5091100,65.18666666666667,2.917106599474625,68.51124999999999,74.34546319894925,62.67703680105074,0
1999-11-22,64.06,64.25,61.0,63.13,4785400,62.79333333333333,3.328445907701345,67.87592592592594,74.53281774132863,61.21903411052325,0
1999-11-23,63.38,67.0,63.25,66.19,2832200,65.48,3.2282577382686406,67.63633333333334,74.09284880987062,61.179817856796056,0
1999-11-24,66.0,68.19,65.94,67.69,2179400,67.27333333333333,3.0645492690153024,67.60333333333334,73.73243187136394,61.474234795302735,0
1999-11-26,68.44,69.44,68.19,69.13,1322500,68.92,2.94655061417338,67.71305555555557,73.60615678390234,61.81995432720881,0
1999-11-29,70.0,70.25,67.0,68.13,1987000,68.46,2.8287036836534383,67.77051282051283,73.42792018781971,62.11310545320596,0
1999-11-30,67.38,67.63,66.06,66.06,1686100,66.58333333333333,2.73618907371743,67.6857142857143,73.15809243314916,62.21333613827944,0
1999-12-01,66.25,67.38,65.63,65.88,1405700,66.29666666666667,2.660938629794831,67.59311111111111,72.91498837070077,62.27123385152145,0
1999-12-02,66.0,67.06,65.88,67.06,1391000,66.66666666666667,2.5811234903084785,67.53520833333334,72.6974553139503,62.37296135271639,0
1999-12-03,67.44,67.69,66.31,66.44,1753500,66.81333333333333,2.505287252130237,67.49274509803922,72.5033196022997,62.48217059377875,0
1999-12-06,66.5,66.5,65.38,66.25,1398900,66.04333333333334,2.454377974524312,67.41222222222223,72.32097817127085,62.5034662731736,0
1999-12-07,65.94,68.0,65.88,68.0,1793100,67.29333333333334,2.385382589327316,67.4059649122807,72.17673009093532,62.63519973362607,0
1999-12-08,68.0,68.38,66.75,68.38,1774000,67.83666666666666,2.3237575124371705,67.42750000000001,72.07501502487435,62.77998497512567,0
1999-12-09,68.38,68.75,66.63,67.5,1713600,67.62666666666667,2.3234440243963106,67.4245,72.07138804879261,62.777611951207376,0
