,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
2008-03-19,59.5,69.0,55.0,56.5,177121500,60.16666666666666,,60.16666666666666,,,0
2008-03-20,58.47,65.0,57.5,64.35,49746300,62.28333333333333,1.496709353511526,61.225,64.21841870702305,58.23158129297694,1
2008-03-24,67.24,67.7,59.0,59.73,37391600,62.14333333333334,1.183715118380046,61.53111111111111,63.8985413478712,59.163680874351016,0
2008-03-25,60.63,64.25,59.82,63.25,21773000,62.44,1.0680078373966844,61.75833333333333,63.8943490081267,59.62231765853996,0
2008-03-26,62.5,64.48,61.57,63.96,10777900,63.33666666666667,1.1634894833120684,62.074,64.40097896662414,59.74702103337586,0
2008-03-27,64.05,64.74,62.65,62.91,9957400,63.43333333333333,1.1793772681973922,62.30055555555556,64.65931009195035,59.94180101916077,0
2008-03-28,63.1,63.44,62.16,62.76,6168800,62.78666666666666,1.0921843556225608,62.37,64.55436871124512,60.18563128875488,0
2008-03-31,62.7,63.48,62.05,62.36,5539300,62.63,1.015335975358474,62.4025,64.43317195071695,60.37182804928305,0
2008-04-01,63.0,63.68,60.31,61.61,15102700,61.866666666666674,0.966408650112542,62.34296296296296,64.27578026318805,60.41014566273788,0
2008-04-02,61.79,62.32,60.5,62.32,10959100,61.71333333333333,0.9326399540822908,62.28,64.14527990816458,60.41472009183541,0
2008-04-03,61.93,66.29,61.82,65.5,25217000,64.53666666666668,1.1161514867678786,62.48515151515151,64.71745448868727,60.25284854161575,1
2008-04-04,64.87,65.32,63.75,64.48,9098600,64.51666666666667,1.21509723045577,62.65444444444444,65.08463890535597,60.2242499835329,0
2008-04-07,65.02,65.8,64.02,65.04,7075400,64.95333333333333,1.326632145322452,62.831282051282045,65.48454634192694,60.17801776063714,0
2008-04-08,65.2,68.24,64.81,68.09,13481400,67.04666666666667,1.701123022012088,63.13238095238095,66.53462699640512,59.73013490835677,1
2008-04-09,68.35,68.72,65.61,65.79,12081100,66.70666666666666,1.8811749958681048,63.370666666666665,67.13301665840288,59.60831667493046,0
2008-04-10,66.67,66.73,65.11,66.11,5593000,65.98333333333333,1.93119775489682,63.53395833333333,67.39635384312697,59.67156282353969,0
2008-04-11,65.25,66.77,65.25,66.11,6605400,66.04333333333334,1.966427993161098,63.681568627450986,67.61442461377318,59.74871264112879,0
2008-04-14,66.98,67.24,65.53,65.68,7110900,66.14999999999999,1.994463952059276,63.8187037037037,67.80763160782226,59.82977579958515,0
2008-04-15,66.54,66.55,64.0,64.35,5972000,64.96666666666667,1.956080687732507,63.87912280701756,67.79128418248257,59.96696143155255,0
2008-04-16,65.0,66.95,64.56,66.14,6284200,65.88333333333333,1.9559429905945973,63.979333333333344,67.89121931452254,60.06744735214415,0
2008-04-17,66.47,67.75,66.01,67.04,5614900,66.93333333333334,1.843749707106726,64.31766666666667,68.00516608088012,60.63016725245321,0
2008-04-18,68.1,70.447,67.2,69.0,26024900,68.88233333333334,2.0405001487423475,64.64761666666666,68.72861696415136,60.56661636918197,1
2008-04-21,69.7,72.5,68.85,70.97,14712000,70.77333333333333,2.3690804450805705,65.07911666666668,69.81727755682782,60.34095577650554,1
2008-04-22,72.1,72.4,70.0,70.28,11839400,70.89333333333333,2.6147913008643764,65.50178333333332,70.73136593506207,60.27220073160457,0
2008-04-23,71.15,71.7,69.69,70.08,9329900,70.49,2.786637323095316,65.85945000000001,71.43272464619064,60.28617535380938,0
2008-04-24,71.2,72.99,70.04,72.3,9521700,71.77666666666666,3.019135936718642,66.27661666666667,72.31488854010395,60.23834479322939,0
2008-04-25,76.0,76.08,73.91,75.1,25365000,75.03,3.4802863048103214,66.88878333333335,73.84935594295399,59.92821072371271,1
2008-04-28,76.22,77.29,74.9,75.63,33129300,75.94,3.873424604527504,67.55428333333332,75.30113254238833,59.80743412427831,1
2008-04-29,73.28,80.88,71.0,80.88,49327100,77.58666666666666,4.23648785255591,68.34028333333333,76.81325903844515,59.86730762822151,1
2008-04-30,81.21,84.81,81.07,83.45,36885900,83.11,5.090475906100017,69.41011666666665,79.59106847886669,59.22916485446662,1
2008-05-01,84.68,87.64,83.9,85.4,29098900,85.64666666666669,6.112710614436772,70.46561666666666,82.6910378955402,58.24019543779312,1
2008-05-02,87.25,87.5,81.0,82.75,34162200,83.75,6.619461613303611,71.42728333333334,84.66620655994056,58.18836010672612,0
2008-05-05,82.85,85.5,80.82,85.06,17594300,83.79333333333334,6.980378714465889,72.36928333333333,86.3300407622651,58.40852590440155,0
2008-05-06,85.39,88.15,84.75,87.53,18978300,86.81,7.561894205034126,73.35745,88.48123841006826,58.23366158993175,0
2008-05-07,88.99,89.84,87.66,88.5,25116200,88.66666666666667,8.119144858375579,74.45545,90.69373971675115,58.217160283248845,0
2008-05-08,89.5,89.75,85.94,87.3,23209100,87.66333333333334,8.37182006472899,75.53945,92.28309012945796,58.79580987054202,0
2008-05-09,85.77,86.6699,82.52,82.86,23578000,84.01663333333333,8.262771558092673,76.438115,92.96365811618534,59.91257188381465,0
2008-05-12,83.73,84.48,78.1,81.9,36867900,81.49333333333333,7.964174754416557,77.20528166666668,93.1336311754998,61.27693215783356,0
