,1. open,2. high,3. low,4. close,5. volume,TP,S.D.,SMA,BOLU,BOLD,state
1999-11-01,74.06,75.0,73.56,74.75,3394300,74.43666666666667,,74.43666666666667,,,0
1999-11-02,74.37,75.19,73.94,74.12,2950100,74.41666666666667,0.0141421356237281,74.42666666666668,74.45495093791413,74.39838239541922,-1
1999-11-03,74.62,74.62,72.56,73.0,3738600,73.39333333333333,0.5966790811868047,74.08222222222223,75.27558038459584,72.88886405984861,0
1999-11-04,73.69,73.94,72.5,73.0,3636000,73.14666666666666,0.6754011153874948,73.84833333333333,75.19913556410832,72.49753110255834,0
1999-11-05,73.0,73.0,70.06,70.62,7173300,71.22666666666667,1.3102489161309077,73.324,75.94449783226182,70.70350216773818,-1
1999-11-08,71.0,74.81,71.0,74.31,5511800,73.37333333333333,1.1720953064522543,73.33222222222223,75.67641283512674,70.98803160931772,0
1999-11-09,74.94,75.37,74.37,75.31,3166000,75.01666666666667,1.2450605051063413,73.57285714285715,76.06297815306982,71.08273613264447,0
1999-11-10,75.62,76.19,75.31,76.0,4447000,75.83333333333333,1.4026550079861282,73.85541666666667,76.66072668263892,71.05010665069442,0
1999-11-11,76.06,76.87,75.37,76.81,3797200,76.35000000000001,1.5533671113796792,74.1325925925926,77.23932681535196,71.02585836983324,0
1999-11-12,76.94,77.94,76.5,77.87,3487600,77.43666666666667,1.799037088123656,74.463,78.0610741762473,70.86492582375269,0
1999-11-15,77.87,78.06,77.37,78.0,3584900,77.81,1.9827460296724384,74.76727272727273,78.73276478661761,70.80178066792784,0
1999-11-16,78.25,79.19,77.0,79.19,4407000,78.46,2.1703099904265866,75.07499999999999,79.41561998085317,70.73438001914681,0
1999-11-17,79.12,81.25,79.0,80.25,7267200,80.16666666666667,2.5123616600941654,75.46666666666667,80.491389986855,70.44194334647834,0
1999-11-18,81.0,81.37,80.19,81.06,4589900,80.87333333333333,2.8132594646830595,75.85285714285715,81.47937607222326,70.22633821349103,0
1999-11-19,81.0,81.06,79.62,79.69,3767900,80.12333333333333,2.926586794296432,76.13755555555555,81.99072914414842,70.28438196696268,0
1999-11-22,79.69,80.06,79.19,79.55,3601300,79.60000000000001,2.956890062649032,76.35395833333334,82.2677384586314,70.44017820803528,0
1999-11-23,79.87,79.94,77.69,78.0,4162000,78.54333333333334,2.9118227002873134,76.48274509803922,82.30639049861384,70.6590996974646,0
1999-11-24,77.87,79.62,77.56,79.12,4761900,78.76666666666667,2.875718697072327,76.60962962962964,82.3610670237743,70.85819223548498,0
1999-11-26,78.5,79.06,78.0,78.0,1247800,78.35333333333334,2.8231814458662243,76.70140350877193,82.34776640050438,71.05504061703948,0
1999-11-29,77.87,79.5,77.56,79.37,4204800,78.81,2.7880405567708,76.80683333333334,82.38291444687495,71.23075221979174,0
1999-11-30,80.0,80.19,78.87,79.31,5867900,79.45666666666666,2.789398533965082,77.05783333333335,82.63663040126352,71.47903626540318,0
1999-12-01,79.25,82.88,79.25,82.5,6266000,81.54333333333334,2.887710980621562,77.41416666666669,83.18958862790981,71.63874470542356,0
1999-12-02,82.88,82.88,81.25,82.08,5470000,82.07,2.9035738011480694,77.848,83.65514760229614,72.04085239770386,0
1999-12-03,82.0,83.13,81.63,82.53,5658200,82.42999999999999,2.854057596840306,78.31216666666666,84.02028186034727,72.60405147298604,0
1999-12-06,82.25,84.0,82.0,83.88,4577200,83.29333333333334,2.5349632971955733,78.9155,83.98542659439114,73.84557340560885,0
1999-12-07,84.0,85.19,83.75,83.88,7831200,84.27333333333333,2.4510471028898624,79.4605,84.36259420577971,74.55840579422028,0
1999-12-08,83.63,84.5,82.63,83.48,4954700,83.53666666666668,2.377337809079629,79.88649999999998,84.64117561815924,75.13182438184073,0
1999-12-09,84.38,86.56,83.88,86.13,6212000,85.52333333333333,2.4924506130472315,80.371,85.35590122609446,75.38609877390553,1
1999-12-10,85.81,85.81,82.69,82.81,5278500,83.77,2.413403701600828,80.742,85.56880740320166,75.91519259679835,0
1999-12-13,83.38,83.81,81.06,82.66,6179500,82.51,2.3122043607449463,80.99566666666668,85.62007538815658,76.37125794517678,0
1999-12-14,82.0,83.13,82.0,82.38,5799000,82.50333333333333,2.207674519404009,81.23033333333333,85.64568237214135,76.81498429452532,0
1999-12-15,83.25,84.25,83.06,83.06,6933700,83.45666666666666,2.1598755852732903,81.48016666666669,85.79991783721327,77.16041549612011,0
1999-12-16,81.75,84.81,81.75,83.75,5914900,83.43666666666667,2.178895825307821,81.64366666666668,86.00145831728231,77.28587501605104,0
1999-12-17,83.94,84.25,82.25,82.62,10647400,83.04,2.192400324139399,81.752,86.1368006482788,77.3671993517212,0
1999-12-20,83.25,83.69,81.0,81.92,3466300,82.20333333333333,2.160172886734945,81.85599999999998,86.17634577346988,77.53565422653008,0
1999-12-21,81.0,82.0,80.63,80.75,3572600,81.12666666666667,2.1024602964730645,81.93233333333333,86.13725392627946,77.72741274038721,0
1999-12-22,80.69,81.88,80.06,81.0,4178200,80.98,1.9616212041416168,82.05416666666666,85.97740907494989,78.13092425838343,0
1999-12-23,82.44,84.06,81.5,83.81,3915200,83.12333333333333,1.813656253496772,82.27199999999999,85.89931250699354,78.64468749300644,0
1999-12-27,83.94,84.19,81.25,82.0,3513200,82.48,1.561603052496776,82.47833333333332,85.60153943832688,79.35512722833977,0
1999-12-28,81.56,82.56,80.5,80.69,4391300,81.25,1.33944079280381,82.60033333333334,85.27921491894097,79.92145174772571,0
1999-12-29,81.0,82.31,80.88,81.19,2189400,81.46,1.154054269655435,82.7005,85.00860853931087,80.39239146068914,0
1999-12-30,81.38,81.38,79.75,80.44,2740900,80.52333333333333,1.2280490280134089,82.64949999999999,85.1055980560268,80.19340194397317,0
1999-12-31,80.56,81.0,80.19,80.56,1379300,80.58333333333333,1.307401992793431,82.57516666666666,85.18997065225352,79.9603626810798,0
2000-01-03,79.5,80.75,77.88,78.31,6729100,78.98,1.5352991212831666,82.40266666666665,85.47326490923298,79.33206842410031,-1
2000-01-04,77.38,78.19,76.5,76.81,7255400,77.16666666666667,1.9129933984962035,82.09633333333332,85.92232013032573,78.27034653634091,-1
2000-01-05,78.0,81.25,77.81,80.63,8742500,79.89666666666666,1.901146122460704,81.8775,85.6797922449214,78.0752077550786,0
2000-01-06,80.63,85.81,80.19,85.19,9730800,83.73,1.9104949528622883,81.88716666666667,85.70815657239125,78.0661767609421,0
2000-01-07,85.94,86.25,84.0,84.94,8301900,85.06333333333333,1.866682604881832,81.86416666666665,85.59753187643031,78.13080145690299,0
2000-01-10,84.19,84.63,83.56,83.75,4272700,83.98,1.8785201342378108,81.87466666666667,85.63170693514229,78.11762639819105,0
2000-01-11,83.75,85.25,83.63,84.75,4361300,84.54333333333334,1.9676238824252112,81.97633333333333,85.91158109818375,78.04108556848291,0
2000-01-12,83.25,84.38,82.81,83.5,5157100,83.56333333333333,1.9966286204382675,82.02933333333334,86.02259057420987,78.03607609245681,0
2000-01-13,83.5,86.0,83.13,85.44,6028000,84.85666666666667,2.0724067427998643,82.09933333333332,86.24414681893305,77.9545198477336,0
2000-01-14,85.5,85.5,83.0,83.75,5634400,84.08333333333333,2.099240603435231,82.13166666666666,86.33014787353713,77.93318545979619,0
2000-01-18,82.75,85.5,82.38,84.75,5964700,84.21,2.141757346704744,82.19016666666667,86.47368136007616,77.90665197325718,0
2000-01-19,84.25,85.88,83.69,85.56,6544400,85.04333333333334,2.234802155116784,82.33216666666667,86.80177097690023,77.8625623564331,0
2000-01-20,85.19,85.25,82.69,83.69,4806700,83.87666666666667,2.2413177254014727,82.46966666666667,86.95230211746961,77.98703121586372,0
2000-01-21,84.0,85.19,83.31,85.0,7171800,84.5,2.256338725556171,82.64566666666667,87.15834411777901,78.13298921555433,0
2000-01-24,85.44,86.31,83.0,84.25,6229700,84.52,2.29321253124308,82.7155,87.30192506248616,78.12907493751385,0
2000-01-25,84.0,86.13,83.81,84.06,5960800,84.66666666666667,2.333172293941529,82.82483333333333,87.49117792121639,78.15848874545027,0
2000-01-26,84.06,84.56,82.69,83.5,4649000,83.58333333333333,2.308487384814557,82.94149999999999,87.5584747696291,78.32452523037088,0
2000-01-27,83.31,83.31,79.75,81.0,5274200,81.35333333333334,2.312210475000439,82.93616666666667,87.56058761666755,78.31174571666578,0
2000-01-28,80.0,81.0,78.88,78.88,5180500,79.58666666666666,2.372357773083304,82.88933333333334,87.63404887949994,78.14461778716674,0
2000-01-31,78.63,83.56,77.88,82.88,7306100,81.44,2.3359860297086863,82.93216666666667,87.60413872608405,78.2601946072493,0
2000-02-01,83.31,83.44,81.38,83.19,5332700,82.67,2.145351018866621,83.11666666666667,87.40736870439991,78.82596462893343,0
2000-02-02,83.25,84.88,83.25,83.81,5781400,83.98,1.6298184880819009,83.45733333333334,86.71697030949714,80.19769635716953,0
2000-02-03,83.44,84.0,80.06,82.38,5805400,82.14666666666666,1.437399566794107,83.56983333333334,86.44463246692155,80.69503419974512,0
2000-02-04,83.5,83.5,80.06,80.88,5718100,81.48,1.510400047700466,83.45733333333332,86.47813342873425,80.4365332379324,0
2000-02-07,79.5,81.25,79.5,80.75,3550600,80.5,1.5972054817327657,83.22916666666666,86.42357763013219,80.03475570320113,0
2000-02-08,81.0,81.88,78.69,78.94,4686000,79.83666666666666,1.7555503960246943,83.02199999999998,86.53310079204937,79.51089920795059,-1
2000-02-09,76.75,77.31,76.0,76.25,6204100,76.52,2.2395963177918183,82.62083333333332,87.10002596891695,78.1416406977497,-1
2000-02-10,76.25,77.69,75.31,75.88,6737800,76.29333333333334,2.63385195870058,82.25733333333332,87.52503725073448,76.98962941593216,-1
2000-02-11,76.0,76.69,72.69,73.88,6232900,74.42,3.086706694257533,81.7355,87.90891338851507,75.56208661148493,-1
2000-02-14,74.5,76.94,74.44,76.44,4876800,75.94,3.291034160860871,81.32833333333332,87.91040165505507,74.74626501161157,0
2000-02-15,77.75,80.56,77.44,79.31,5391800,79.10333333333334,3.253580465879585,81.073,87.58016093175917,74.56583906824082,0
2000-02-16,79.0,80.38,78.38,80.0,5132100,79.58666666666666,3.1295435227551502,80.80016666666668,87.05925371217698,74.54107962115638,0
2000-02-17,79.0,79.0,77.31,77.88,5839200,78.06333333333333,3.0985775410303646,80.5095,86.70665508206073,74.31234491793927,0
2000-02-18,77.31,77.38,75.0,75.0,6900300,75.79333333333334,3.119972236156271,80.07416666666667,86.31411113897921,73.83422219435413,0
2000-02-22,76.25,76.94,74.5,75.44,5427400,75.62666666666667,3.086563083215159,79.6295,85.80262616643031,73.45637383356967,0
2000-02-23,74.13,75.81,73.13,74.63,4440800,74.52333333333333,3.04843437911048,79.12233333333332,85.21920209155428,73.02546457511235,0
2000-02-24,72.69,73.44,71.5,72.81,5393200,72.58333333333333,3.190232553073532,78.57233333333332,84.95279843948038,72.19186822718626,0
2000-02-25,72.56,74.38,70.0,71.06,5900300,71.81333333333333,3.4547726797874634,78.09533333333334,85.00487869290826,71.18578797375842,-1
2000-02-28,71.0,75.31,69.88,73.5,5937600,72.89666666666666,3.622574586868697,77.76083333333335,85.00598250707074,70.51568415959596,0
2000-02-29,73.5,75.63,72.94,75.31,5234600,74.62666666666667,3.578470298655919,77.42016666666667,84.57710726397852,70.26322606935483,0
2000-03-01,75.38,76.25,73.19,76.06,4942300,75.16666666666667,3.387329763099042,77.045,83.81965952619808,70.27034047380192,0
2000-03-02,76.0,77.69,75.56,77.0,4901100,76.75,2.968121952342357,76.68350000000001,82.61974390468473,70.7472560953153,0
2000-03-03,76.5,76.5,74.25,75.69,5103900,75.48,2.6829403602406425,76.35016666666665,81.71604738714794,70.98428594618537,0
2000-03-06,74.0,75.0,72.0,72.94,5248700,73.31333333333333,2.474476606008675,75.94183333333334,80.89078654535068,70.99288012131599,0
2000-03-07,72.13,81.0,72.0,80.0,11405800,77.66666666666667,2.272657067443048,75.80016666666667,80.34548080155277,71.25485253178057,0
2000-03-08,77.5,82.0,77.5,79.63,9990700,79.71,2.260962708321624,75.79383333333334,80.31575874997658,71.2719079166901,0
2000-03-09,78.0,80.56,77.44,80.44,5453100,79.48,2.4033914816431987,75.94183333333334,80.74861629661973,71.13505037004694,0
2000-03-10,80.0,80.19,76.31,77.03,4715000,77.84333333333333,2.440033937066264,76.01933333333332,80.89940120746584,71.1392654592008,0
2000-03-13,76.5,77.94,74.38,75.88,4733700,76.06666666666666,2.41083458408346,76.10166666666666,80.92333583483358,71.27999749849974,0
2000-03-14,75.13,78.0,74.63,77.25,4523800,76.62666666666667,2.4132993115756416,76.136,80.96259862315128,71.30940137684871,0
2000-03-15,77.19,78.0,74.69,77.75,5939900,76.81333333333333,2.317527790228098,76.02149999999999,80.65655558045619,71.38644441954379,0
2000-03-16,78.0,79.94,75.88,79.75,5800400,78.52333333333333,2.242413982260247,75.96833333333333,80.45316129785382,71.48350536881284,0
2000-03-17,79.31,79.69,77.0,77.13,7464600,77.94,2.236511296143568,75.96216666666666,80.4351892589538,71.48914407437952,0
2000-03-20,76.19,77.31,74.31,74.88,5342800,75.5,2.238637554276084,75.94749999999999,80.42477510855215,71.47022489144783,0
2000-03-21,75.75,77.75,75.63,77.0,5440300,76.79333333333334,2.2450285232431773,76.00583333333334,80.4958903798197,71.51577628684699,0
2000-03-22,77.0,77.0,74.44,74.94,7126600,75.46,2.222127582780081,76.05266666666668,80.49692183222685,71.60841150110652,0
2000-03-23,74.63,76.06,74.31,75.5,5057800,75.29,2.077425701164701,76.18800000000002,80.34285140232942,72.03314859767062,0
2000-03-24,75.75,77.56,75.62,77.25,4402200,76.81,1.80640811090902,76.43783333333334,80.05064955515138,72.82501711151531,0
